component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.07525047,0.07525047,0.92474955
2,0.07086962,0.14612009,0.8538799
3,0.03703561,0.1831557,0.8168443
4,0.03244576,0.21560146,0.78439856
5,0.031570442,0.24717191,0.7528281
6,0.026148919,0.27332082,0.7266792
7,0.022316504,0.29563734,0.70436263
8,0.01954422,0.31518155,0.68481845
9,0.018257868,0.3334394,0.6665606
10,0.017292792,0.3507322,0.6492678
11,0.016536623,0.36726883,0.6327312
12,0.015797623,0.38306645,0.6169336
13,0.015018801,0.39808524,0.60191476
14,0.013457845,0.41154307,0.5884569
15,0.011996151,0.42353922,0.5764608
16,0.011217636,0.43475685,0.5652431
17,0.011049876,0.4458067,0.55419326
18,0.010277976,0.4560847,0.5439153
19,0.0101859085,0.4662706,0.53372943
20,0.009777132,0.47604772,0.52395225
21,0.009456727,0.48550445,0.51449555
22,0.009102222,0.49460667,0.5053933
23,0.008367428,0.5029741,0.4970259
24,0.008147171,0.5111213,0.48887873
25,0.007828054,0.51894933,0.48105067
26,0.0073540304,0.52630335,0.47369665
27,0.0072986647,0.533602,0.466398
28,0.0069589824,0.54056096,0.45943904
29,0.0067190407,0.54728,0.45272
30,0.006496024,0.553776,0.44622397
31,0.0063451207,0.5601211,0.43987888
32,0.006165761,0.56628686,0.43371314
33,0.006068007,0.57235485,0.42764515
34,0.005811253,0.5781661,0.42183387
35,0.005716997,0.5838831,0.4161169
36,0.0055492516,0.58943236,0.41056764
37,0.0053737117,0.5948061,0.40519392
38,0.0052928356,0.6000989,0.3999011
39,0.00516343,0.60526234,0.39473766
40,0.004900828,0.61016315,0.38983685
41,0.004740424,0.61490357,0.38509643
42,0.0046587577,0.6195623,0.38043767
43,0.004563192,0.62412554,0.37587446
44,0.004519724,0.62864524,0.37135476
45,0.004414915,0.63306016,0.36693984
46,0.0043012863,0.63736147,0.36263853
47,0.0042196857,0.6415812,0.35841882
48,0.004125335,0.64570653,0.35429347
49,0.0040502474,0.6497568,0.3502432
50,0.0039784084,0.6537352,0.34626478
51,0.0038567716,0.657592,0.342408
52,0.0037885536,0.6613805,0.33861947
53,0.0036866532,0.6650672,0.3349328
54,0.0036341164,0.6687013,0.3312987
55,0.0035708528,0.67227215,0.32772785
56,0.003466808,0.67573893,0.32426107
57,0.0034570368,0.67919594,0.32080406
58,0.003336056,0.682532,0.317468
59,0.003332348,0.6858644,0.3141356
60,0.0032017073,0.6890661,0.3109339
61,0.0031640858,0.6922302,0.30776978
62,0.0031281216,0.69535834,0.30464166
63,0.003079447,0.6984378,0.3015622
64,0.0030416949,0.7014795,0.2985205
65,0.0030075398,0.704487,0.29551297
66,0.002930441,0.7074175,0.2925825
67,0.002859011,0.7102765,0.28972352
68,0.0028339606,0.71311045,0.28688955
69,0.0027624744,0.71587294,0.28412706
70,0.002746944,0.7186199,0.28138012
71,0.0027079373,0.72132784,0.27867216
72,0.0026525273,0.72398037,0.27601963
73,0.0026234197,0.7266038,0.2733962
74,0.0025930505,0.72919685,0.27080315
75,0.002540678,0.73173755,0.26826245
76,0.0024715571,0.7342091,0.26579088
77,0.0024491749,0.7366583,0.26334172
78,0.0023862775,0.73904455,0.26095545
79,0.002340456,0.741385,0.25861502
80,0.0023112497,0.7436962,0.2563038
81,0.002262063,0.74595827,0.25404173
82,0.0022538074,0.7482121,0.2517879
83,0.0022411281,0.75045323,0.24954677
84,0.0022047146,0.75265795,0.24734205
85,0.002186201,0.7548441,0.24515587
86,0.0021484287,0.7569926,0.24300742
87,0.0021046584,0.7590972,0.24090278
88,0.0020896874,0.7611869,0.2388131
89,0.002075366,0.7632623,0.23673773
90,0.0020550527,0.7653173,0.23468268
91,0.0020473867,0.7673647,0.23263532
92,0.0020089846,0.76937366,0.23062634
93,0.0019776595,0.77135134,0.22864866
94,0.0019550733,0.7733064,0.22669357
95,0.0019118198,0.77521825,0.22478175
96,0.0018900333,0.77710825,0.22289175
97,0.0018400433,0.7789483,0.2210517
98,0.0018242862,0.78077257,0.21922743
99,0.0018011644,0.78257376,0.21742624
100,0.0017651698,0.78433895,0.21566105
101,0.0017490187,0.786088,0.21391201
102,0.001730079,0.7878181,0.21218193
103,0.0017116326,0.7895297,0.21047032
104,0.0016945658,0.79122424,0.20877576
105,0.0016672423,0.7928915,0.2071085
106,0.0016653602,0.79455686,0.20544314
107,0.0016522307,0.7962091,0.2037909
108,0.0016345105,0.79784364,0.20215636
109,0.0016226795,0.7994663,0.20053369
110,0.0016041537,0.80107045,0.19892955
111,0.0015680665,0.80263853,0.19736147
112,0.0015636742,0.8042022,0.1957978
113,0.0015354928,0.8057377,0.19426233
114,0.0015088865,0.80724657,0.19275343
115,0.0014938707,0.80874044,0.19125956
116,0.0014643667,0.8102048,0.1897952
117,0.0014590721,0.81166387,0.18833613
118,0.0014486073,0.8131125,0.1868875
119,0.0014393913,0.8145519,0.18544811
120,0.0014335758,0.81598544,0.18401456
121,0.0013971113,0.8173826,0.18261743
122,0.001374076,0.81875664,0.18124336
123,0.0013481369,0.8201048,0.17989522
124,0.0013419172,0.8214467,0.17855328
125,0.0013327996,0.82277954,0.17722046
126,0.001318186,0.8240977,0.1759023
127,0.0013088027,0.8254065,0.17459351
128,0.0013005525,0.82670707,0.17329293
