component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.04393161,0.04393161,0.9560684
2,0.036546756,0.08047837,0.91952163
3,0.025543246,0.10602161,0.89397836
4,0.017682103,0.12370372,0.8762963
5,0.016845796,0.14054951,0.85945046
6,0.015904276,0.15645379,0.8435462
7,0.014472783,0.17092657,0.8290734
8,0.014064538,0.1849911,0.8150089
9,0.013253632,0.19824474,0.80175525
10,0.012571988,0.21081673,0.78918326
11,0.01097276,0.22178948,0.7782105
12,0.010717829,0.2325073,0.7674927
13,0.010613344,0.24312064,0.7568793
14,0.009935489,0.25305614,0.74694383
15,0.009728532,0.26278466,0.73721534
16,0.00936644,0.2721511,0.7278489
17,0.009261618,0.28141272,0.7185873
18,0.008772916,0.29018563,0.70981437
19,0.008291922,0.29847756,0.70152247
20,0.008152735,0.30663028,0.69336975
21,0.007867111,0.31449738,0.68550265
22,0.0075832508,0.32208064,0.6779194
23,0.0073077255,0.32938838,0.6706116
24,0.007156538,0.33654493,0.66345507
25,0.007055308,0.34360024,0.6563997
26,0.0068433816,0.35044363,0.6495564
27,0.0067578983,0.35720152,0.6427985
28,0.0065528485,0.36375436,0.6362456
29,0.0064644488,0.3702188,0.6297812
30,0.0063024377,0.37652126,0.6234788
31,0.0060529476,0.3825742,0.6174258
32,0.005946984,0.3885212,0.6114788
33,0.0058664014,0.3943876,0.6056124
34,0.005734866,0.40012246,0.59987754
35,0.005625829,0.4057483,0.5942517
36,0.0054257736,0.4111741,0.58882594
37,0.005305677,0.41647977,0.58352023
38,0.0052145133,0.42169428,0.5783057
39,0.005127625,0.42682192,0.57317805
40,0.0050137183,0.43183562,0.56816435
41,0.0049479203,0.43678355,0.56321645
42,0.0048141293,0.44159767,0.5584023
43,0.004773832,0.4463715,0.5536285
44,0.004671578,0.45104307,0.54895693
45,0.0045862515,0.45562932,0.54437065
46,0.004557781,0.4601871,0.5398129
47,0.0045147208,0.46470183,0.53529817
48,0.004444647,0.4691465,0.5308535
49,0.004401283,0.4735478,0.5264522
50,0.0042360453,0.47778383,0.5222162
51,0.004186531,0.48197037,0.51802963
52,0.0041782376,0.4861486,0.5138514
53,0.0040952866,0.49024388,0.5097561
54,0.0040631224,0.494307,0.50569296
55,0.0040120184,0.49831903,0.50168097
56,0.0039889184,0.50230795,0.49769205
57,0.003942206,0.50625014,0.49374986
58,0.0038103242,0.5100605,0.4899395
59,0.0037554689,0.51381594,0.48618406
60,0.0037208518,0.5175368,0.48246318
61,0.0036990764,0.5212359,0.47876412
62,0.003682003,0.5249179,0.4750821
63,0.0036343771,0.5285523,0.4714477
64,0.0035868885,0.5321392,0.46786082
65,0.0035584269,0.5356976,0.46430242
66,0.0035330628,0.53923064,0.46076936
67,0.0035056502,0.5427363,0.4572637
68,0.003397441,0.54613376,0.45386624
69,0.0033821466,0.5495159,0.4504841
70,0.003353226,0.55286914,0.44713086
71,0.0033057723,0.55617493,0.44382507
72,0.003288192,0.55946314,0.44053686
73,0.0032552406,0.5627184,0.4372816
74,0.0031958215,0.5659142,0.4340858
75,0.0031614464,0.56907564,0.43092436
76,0.00315741,0.5722331,0.42776692
77,0.0031212862,0.57535434,0.42464566
78,0.0030945197,0.57844883,0.42155117
79,0.003021041,0.5814699,0.4185301
80,0.0029808714,0.5844508,0.41554922
81,0.002949206,0.58739996,0.41260004
82,0.0029058552,0.5903058,0.4096942
83,0.0028846085,0.59319043,0.40680957
84,0.002858768,0.5960492,0.4039508
85,0.0028444363,0.59889364,0.40110636
86,0.0028242557,0.6017179,0.3982821
87,0.0027702174,0.60448813,0.39551187
88,0.0027611812,0.6072493,0.39275068
89,0.0027394642,0.6099888,0.3900112
90,0.0027039612,0.6126928,0.38730723
91,0.0026967162,0.61538947,0.38461053
92,0.0026651218,0.61805457,0.38194543
93,0.0026339504,0.6206885,0.3793115
94,0.0026067174,0.6232952,0.3767048
95,0.002578834,0.62587404,0.37412596
96,0.0025414492,0.62841547,0.37158453
97,0.0025358805,0.63095134,0.36904866
98,0.0025197584,0.63347113,0.36652887
99,0.0024885063,0.6359596,0.36404037
100,0.0024719136,0.63843155,0.36156845
101,0.0024190533,0.6408506,0.3591494
102,0.0024044989,0.6432551,0.3567449
103,0.0023876624,0.64564276,0.35435724
104,0.0023738334,0.6480166,0.35198343
105,0.002352193,0.65036875,0.34963125
106,0.0023261271,0.6526949,0.34730512
107,0.0023129957,0.6550079,0.3449921
108,0.0022943304,0.6573022,0.3426978
109,0.0022829536,0.6595852,0.34041482
110,0.0022509627,0.66183615,0.33816385
111,0.0022349767,0.66407114,0.33592886
112,0.0022116464,0.6662828,0.33371723
113,0.002193372,0.66847616,0.33152384
114,0.0021821107,0.6706583,0.3293417
115,0.00217435,0.67283267,0.32716733
116,0.0021561848,0.67498887,0.32501113
117,0.002128893,0.67711776,0.32288224
118,0.0021271044,0.6792449,0.32075512
119,0.0020990588,0.6813439,0.3186561
120,0.002084432,0.68342835,0.31657165
121,0.0020631547,0.6854915,0.3145085
122,0.0020540138,0.68754554,0.31245446
123,0.0020488244,0.6895944,0.3104056
124,0.0020220852,0.6916165,0.30838352
125,0.0020191236,0.6936356,0.30636442
126,0.0019874226,0.695623,0.30437702
127,0.001975196,0.69759816,0.30240184
128,0.0019677063,0.6995659,0.3004341
129,0.0019337923,0.7014997,0.2985003
130,0.0019126893,0.7034124,0.2965876
131,0.0019014804,0.7053139,0.29468608
132,0.0018895584,0.7072035,0.2927965
133,0.0018612543,0.7090648,0.29093522
134,0.0018478882,0.71091264,0.28908736
135,0.0018268112,0.71273947,0.28726053
136,0.001819945,0.71455944,0.28544056
137,0.0018131024,0.71637255,0.28362745
138,0.0017843699,0.71815693,0.28184307
139,0.0017684472,0.7199254,0.2800746
140,0.001764325,0.7216897,0.2783103
141,0.001755843,0.72344553,0.27655447
142,0.0017444924,0.72519004,0.27480996
143,0.0017175786,0.7269076,0.2730924
144,0.0016981406,0.72860575,0.27139425
145,0.0016942977,0.73030007,0.26969993
146,0.0016867641,0.7319868,0.26801318
147,0.0016744593,0.7336613,0.2663387
148,0.0016635972,0.7353249,0.26467508
149,0.0016486136,0.7369735,0.26302648
150,0.0016403812,0.7386139,0.2613861
151,0.0016270762,0.740241,0.259759
152,0.0016127824,0.7418538,0.25814623
153,0.0015977359,0.74345154,0.25654846
154,0.0015873755,0.7450389,0.25496107
155,0.00157335,0.74661225,0.25338775
156,0.001567469,0.74817973,0.25182027
157,0.0015546058,0.74973434,0.25026566
158,0.0015456488,0.75128,0.24871999
159,0.0015368642,0.75281686,0.24718314
160,0.0015326665,0.7543495,0.24565047
161,0.0015130718,0.7558626,0.2441374
162,0.0015096384,0.75737226,0.24262774
163,0.0014999976,0.7588723,0.24112773
164,0.0014908031,0.7603631,0.2396369
165,0.0014839947,0.7618471,0.23815292
166,0.0014657641,0.7633128,0.23668718
167,0.0014616385,0.76477444,0.23522556
168,0.0014436847,0.7662181,0.23378187
169,0.0014326737,0.7676508,0.23234922
170,0.0014270691,0.76907784,0.23092216
171,0.0014215024,0.77049935,0.22950065
172,0.0014104474,0.7719098,0.22809023
173,0.0013991778,0.77330893,0.22669107
174,0.0013827079,0.77469164,0.22530836
175,0.0013780958,0.77606976,0.22393024
176,0.0013681065,0.77743787,0.22256213
177,0.0013628523,0.7788007,0.22119927
178,0.0013573517,0.7801581,0.2198419
179,0.0013511985,0.7815093,0.21849072
180,0.0013327497,0.78284204,0.21715796
181,0.0013306609,0.7841727,0.21582729
182,0.0013240484,0.7854968,0.21450323
183,0.001313452,0.7868102,0.21318978
184,0.0013058874,0.7881161,0.2118839
185,0.0012971729,0.7894133,0.21058673
186,0.0012862396,0.79069954,0.20930046
187,0.0012798129,0.7919794,0.20802063
188,0.0012631735,0.7932426,0.20675743
189,0.0012563684,0.7944989,0.20550108
190,0.001252137,0.79575104,0.20424896
191,0.0012478929,0.7969989,0.20300108
192,0.0012317667,0.7982307,0.20176929
193,0.0012224462,0.79945314,0.20054686
194,0.0012178988,0.80067104,0.19932896
195,0.0012132997,0.80188435,0.19811565
196,0.0012005906,0.80308497,0.19691503
197,0.0011981566,0.80428314,0.19571686
198,0.001192871,0.805476,0.19452399
199,0.001185031,0.80666107,0.19333893
200,0.0011787988,0.8078399,0.19216013
201,0.0011742142,0.8090141,0.19098592
202,0.001164236,0.81017834,0.18982166
203,0.0011598758,0.8113382,0.18866181
204,0.0011457277,0.8124839,0.1875161
205,0.0011448293,0.81362873,0.18637127
206,0.0011256675,0.8147544,0.18524557
207,0.0011234204,0.81587785,0.18412215
208,0.001113655,0.8169915,0.18300849
209,0.0011115065,0.818103,0.18189698
210,0.0011055366,0.81920856,0.18079144
211,0.0010992837,0.82030785,0.17969215
212,0.0010902624,0.82139814,0.17860186
213,0.0010847641,0.8224829,0.17751712
214,0.0010821116,0.823565,0.176435
215,0.0010766041,0.8246416,0.17535841
216,0.0010666252,0.8257082,0.17429179
217,0.0010642004,0.8267724,0.17322761
218,0.0010493331,0.82782173,0.17217827
219,0.0010460299,0.82886773,0.17113227
220,0.001038998,0.8299067,0.1700933
221,0.0010292097,0.8309359,0.1690641
222,0.0010270361,0.83196294,0.16803706
223,0.0010148853,0.83297783,0.16702217
224,0.0010119219,0.83398974,0.16601026
225,0.0010070266,0.83499676,0.16500324
226,0.0010009202,0.8359977,0.1640023
227,0.0009965169,0.83699423,0.16300577
228,0.0009938353,0.8379881,0.16201192
229,0.00098791,0.83897597,0.16102403
230,0.0009829575,0.8399589,0.1600411
231,0.00096958765,0.8409285,0.1590715
232,0.0009667948,0.8418953,0.15810472
233,0.0009642566,0.84285957,0.15714043
234,0.0009584559,0.843818,0.15618199
235,0.0009556142,0.84477365,0.15522635
236,0.0009485438,0.8457222,0.1542778
237,0.0009396662,0.84666187,0.15333813
238,0.00093569007,0.84759754,0.15240246
239,0.00092824403,0.84852576,0.15147424
240,0.00092202035,0.8494478,0.15055221
241,0.0009193805,0.8503672,0.14963281
242,0.0009149111,0.8512821,0.14871788
243,0.0009066457,0.85218877,0.14781123
244,0.00090075046,0.8530895,0.14691049
245,0.0008930463,0.85398257,0.14601743
246,0.00088348286,0.854866,0.14513397
247,0.0008799537,0.855746,0.14425403
248,0.0008759578,0.8566219,0.14337808
249,0.00087376504,0.85749567,0.14250433
250,0.00086826616,0.8583639,0.14163607
251,0.00086514594,0.8592291,0.14077091
252,0.00086077105,0.86008984,0.13991016
253,0.0008562532,0.8609461,0.13905388
254,0.0008469602,0.8617931,0.1382069
255,0.0008427481,0.86263585,0.13736415
256,0.0008401191,0.863476,0.13652402
257,0.0008393045,0.8643153,0.13568473
258,0.0008305298,0.8651458,0.1348542
259,0.0008264536,0.8659723,0.13402772
260,0.0008222104,0.86679447,0.13320553
261,0.0008195644,0.86761403,0.13238597
262,0.0008119608,0.86842597,0.13157403
263,0.00080971903,0.8692357,0.1307643
264,0.00080579164,0.8700415,0.12995851
265,0.0008006047,0.8708421,0.1291579
266,0.0007963249,0.8716384,0.12836158
267,0.0007910332,0.87242943,0.12757057
268,0.00078505697,0.8732145,0.12678552
269,0.0007794507,0.87399393,0.12600607
270,0.0007746298,0.87476856,0.12523144
271,0.0007705258,0.87553906,0.124460936
272,0.00076072104,0.8762998,0.1237002
273,0.0007593516,0.87705916,0.12294084
274,0.0007502961,0.87780946,0.122190535
275,0.0007449408,0.8785544,0.121445596
276,0.00074298395,0.8792974,0.120702624
277,0.0007412954,0.8800387,0.11996132
278,0.0007351342,0.88077384,0.11922616
279,0.0007343148,0.8815082,0.11849183
280,0.00073024805,0.88223845,0.11776155
281,0.0007275698,0.88296604,0.11703396
282,0.0007225304,0.88368857,0.11631143
283,0.00071789627,0.88440645,0.11559355
284,0.00071471056,0.88512117,0.11487883
285,0.0007142055,0.88583535,0.11416465
286,0.0007049884,0.88654035,0.11345965
287,0.0007043298,0.8872447,0.1127553
288,0.0007006816,0.88794535,0.112054646
289,0.00069562445,0.888641,0.111359
290,0.0006942372,0.8893352,0.110664785
291,0.0006883603,0.8900236,0.10997641
292,0.0006878031,0.89071137,0.10928863
293,0.00068161037,0.891393,0.108606994
294,0.0006776548,0.89207065,0.10792935
295,0.0006744809,0.89274514,0.10725486
296,0.0006701256,0.8934153,0.10658473
297,0.00066748733,0.8940828,0.105917215
298,0.0006591314,0.8947419,0.10525811
299,0.0006544253,0.8953963,0.10460371
300,0.0006532214,0.8960495,0.1039505
301,0.000649622,0.89669913,0.10330087
302,0.0006441923,0.89734334,0.10265666
303,0.00064062525,0.89798397,0.10201603
304,0.0006361788,0.8986201,0.10137987
305,0.00063521194,0.89925534,0.100744665
306,0.00062938075,0.8998847,0.1001153
307,0.000624856,0.90050954,0.099490464
308,0.0006228059,0.90113235,0.098867655
309,0.000619117,0.90175146,0.09824854
310,0.0006163566,0.90236783,0.09763217
311,0.0006123485,0.9029802,0.09701979
312,0.0006103236,0.90359056,0.09640944
313,0.000604699,0.90419525,0.09580475
314,0.0006035173,0.90479875,0.095201254
315,0.0006004878,0.90539926,0.09460074
316,0.0005963135,0.90599555,0.09400445
317,0.0005929035,0.90658844,0.093411565
318,0.00059084897,0.9071793,0.092820704
319,0.000584892,0.9077642,0.0922358
320,0.00058244314,0.90834665,0.09165335
321,0.0005803342,0.90892696,0.091073036
322,0.00057750795,0.9095045,0.09049553
323,0.0005708491,0.9100753,0.08992469
324,0.0005678743,0.91064316,0.08935684
325,0.00056346017,0.9112066,0.0887934
326,0.0005610115,0.9117676,0.0882324
327,0.0005596237,0.91232723,0.08767277
328,0.0005567553,0.912884,0.087116
329,0.00055618916,0.91344017,0.08655983
330,0.00055316853,0.91399336,0.08600664
331,0.0005468121,0.9145402,0.08545983
332,0.00054437993,0.91508454,0.08491546
333,0.0005416441,0.91562617,0.08437383
334,0.00053702254,0.9161632,0.083836794
335,0.00053246017,0.91669565,0.083304346
336,0.00053089554,0.91722655,0.08277345
337,0.0005265939,0.91775316,0.08224684
338,0.000524562,0.91827774,0.08172226
339,0.00052247045,0.91880023,0.081199765
340,0.0005208204,0.91932106,0.08067894
341,0.0005175306,0.9198386,0.08016139
342,0.00051629404,0.9203549,0.0796451
343,0.00051304174,0.9208679,0.07913208
344,0.0005096123,0.92137754,0.07862246
345,0.0005072134,0.9218848,0.078115225
346,0.00050494773,0.92238975,0.077610254
347,0.0004989482,0.9228887,0.077111304
348,0.0004976535,0.92338634,0.076613665
349,0.0004958467,0.9238822,0.07611781
350,0.00049300195,0.9243752,0.07562482
351,0.0004907056,0.9248659,0.0751341
352,0.0004884453,0.92535436,0.07464564
353,0.00048694928,0.92584133,0.07415867
354,0.00048589596,0.9263272,0.07367277
355,0.00048041955,0.92680764,0.07319236
356,0.00047916156,0.9272868,0.0727132
357,0.00047450667,0.9277613,0.07223868
358,0.00046600253,0.9282273,0.071772695
359,0.00046134536,0.92868865,0.071311355
360,0.00046030653,0.929149,0.07085103
361,0.0004572085,0.9296062,0.0703938
362,0.0004535506,0.93005973,0.06994027
363,0.00045268174,0.9305124,0.06948757
364,0.00044950514,0.9309619,0.06903809
365,0.00044815568,0.9314101,0.068589926
366,0.00044578727,0.93185586,0.06814414
367,0.00044368376,0.93229955,0.067700446
368,0.0004414216,0.932741,0.06725901
369,0.00043964785,0.93318063,0.06681937
370,0.0004382328,0.93361884,0.06638116
371,0.00043328566,0.9340521,0.06594789
372,0.00043246133,0.93448454,0.06551546
373,0.00042940382,0.93491393,0.06508607
374,0.0004260526,0.93534,0.06466001
375,0.00042084436,0.93576086,0.064239144
376,0.00041892042,0.93617976,0.06382024
377,0.00041790903,0.93659765,0.063402355
378,0.00041383854,0.9370115,0.06298852
379,0.0004104561,0.9374219,0.06257808
380,0.00040642623,0.93782836,0.062171638
381,0.00040460404,0.93823296,0.06176704
382,0.00040334222,0.9386363,0.061363697
383,0.00040247143,0.93903875,0.060961246
384,0.00039899256,0.93943775,0.060562253
385,0.00039595336,0.9398337,0.0601663
386,0.0003936264,0.9402273,0.05977267
387,0.00039353335,0.94062084,0.05937916
388,0.00038801422,0.94100887,0.058991134
389,0.00038550765,0.9413944,0.05860561
390,0.00038168827,0.9417761,0.058223903
391,0.00037939724,0.9421555,0.05784452
392,0.0003790791,0.94253457,0.057465434
393,0.0003764497,0.942911,0.05708897
394,0.0003727933,0.9432838,0.056716204
395,0.00037177015,0.94365555,0.05634445
396,0.00036987357,0.9440254,0.055974603
397,0.00036843968,0.9443938,0.055606186
398,0.00036596577,0.9447598,0.055240214
399,0.0003637609,0.94512355,0.054876447
400,0.00036164947,0.9454852,0.054514825
401,0.00036119547,0.9458464,0.05415362
402,0.00035876277,0.94620514,0.05379486
403,0.00035491816,0.9465601,0.053439915
404,0.00035304984,0.9469131,0.053086877
405,0.00035081027,0.94726396,0.052736044
406,0.0003490717,0.947613,0.052387
407,0.0003469463,0.94795996,0.05204004
408,0.00034562362,0.9483056,0.051694393
409,0.00034298995,0.9486486,0.051351428
410,0.0003407698,0.94898933,0.05101067
411,0.0003386708,0.949328,0.050671995
412,0.00033574394,0.94966376,0.05033624
413,0.0003338309,0.9499976,0.050002396
414,0.00033152214,0.9503291,0.049670875
415,0.00032954512,0.9506587,0.04934132
416,0.00032793364,0.9509866,0.049013376
417,0.00032582172,0.9513124,0.048687577
418,0.00032427063,0.9516367,0.048363328
419,0.0003209938,0.95195764,0.048042357
420,0.00031923375,0.9522769,0.047723114
421,0.00031526215,0.95259213,0.047407866
422,0.00031451206,0.95290667,0.04709333
423,0.00031251967,0.9532192,0.046780825
424,0.00031084171,0.95353,0.046469986
425,0.0003091938,0.9538392,0.046160817
426,0.00030759457,0.9541468,0.045853198
427,0.00030574316,0.9544526,0.045547426
428,0.00030554674,0.9547581,0.045241892
429,0.00030337516,0.9550615,0.044938505
430,0.00029948438,0.955361,0.04463899
431,0.00029763154,0.9556586,0.044341385
432,0.00029463344,0.95595324,0.04404676
433,0.0002929829,0.9562462,0.043753803
434,0.00029026007,0.9565365,0.04346353
435,0.00028874137,0.9568252,0.043174803
436,0.0002868329,0.957112,0.042887986
437,0.0002837298,0.95739573,0.042604268
438,0.00028309177,0.9576788,0.042321205
439,0.0002810761,0.9579599,0.04204011
440,0.00028006642,0.95824,0.041760027
441,0.0002778105,0.9585178,0.04148221
442,0.00027546386,0.9587933,0.041206717
443,0.00027427613,0.9590676,0.040932417
444,0.00027295024,0.9593405,0.040659487
