component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.07404737,0.07404737,0.9259526
2,0.044713173,0.11876054,0.8812395
3,0.03991999,0.15868053,0.84131944
4,0.03264088,0.1913214,0.8086786
5,0.02986851,0.22118992,0.7788101
6,0.024341263,0.24553117,0.7544688
7,0.022923755,0.26845494,0.7315451
8,0.021569395,0.29002434,0.70997566
9,0.020952726,0.31097707,0.6890229
10,0.018159078,0.32913616,0.67086387
11,0.017843606,0.34697977,0.65302026
12,0.015834715,0.3628145,0.6371855
13,0.01529613,0.37811062,0.62188935
14,0.014190173,0.39230078,0.6076992
15,0.013446183,0.40574697,0.59425306
16,0.013025422,0.4187724,0.5812276
17,0.012843034,0.43161544,0.5683845
18,0.012344921,0.44396037,0.55603963
19,0.012148129,0.4561085,0.5438915
20,0.011400997,0.4675095,0.5324905
21,0.0111552505,0.47866476,0.52133524
22,0.010290907,0.48895568,0.5110443
23,0.010205758,0.49916142,0.5008386
24,0.009877355,0.5090388,0.4909612
25,0.009049208,0.51808804,0.48191196
26,0.0088392785,0.5269273,0.4730727
27,0.008431789,0.5353591,0.46464092
28,0.008289901,0.54364896,0.45635104
29,0.008084544,0.5517335,0.4482665
30,0.007670892,0.5594044,0.44059563
31,0.007567916,0.5669723,0.43302768
32,0.007157304,0.57412964,0.42587036
33,0.00695354,0.5810832,0.41891682
34,0.0067965235,0.5878797,0.41212028
35,0.0066840183,0.5945637,0.40543628
36,0.006666496,0.6012302,0.3987698
37,0.006309159,0.60753936,0.39246064
38,0.0061127003,0.61365205,0.38634795
39,0.0060687955,0.6197208,0.38027918
40,0.005971641,0.6256925,0.3743075
41,0.005659253,0.63135177,0.36864823
42,0.005429517,0.6367813,0.36321872
43,0.005321013,0.6421023,0.3578977
44,0.0052898293,0.64739215,0.35260785
45,0.0051617357,0.6525539,0.34744608
46,0.0050619612,0.6576159,0.3423841
47,0.00501337,0.66262925,0.33737075
48,0.0048890696,0.6675183,0.33248168
49,0.0047568334,0.6722751,0.32772487
