component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.087501235,0.087501235,0.9124988
2,0.07600039,0.16350162,0.8364984
3,0.06686285,0.23036447,0.76963556
4,0.038954128,0.2693186,0.7306814
5,0.03402706,0.30334568,0.6966543
6,0.02903355,0.33237922,0.6676208
7,0.02483592,0.35721514,0.64278483
8,0.021159446,0.37837458,0.6216254
9,0.020462727,0.3988373,0.6011627
10,0.016546503,0.41538382,0.5846162
11,0.014402635,0.42978644,0.57021356
12,0.013696082,0.44348252,0.5565175
13,0.012473433,0.45595595,0.544044
14,0.012022123,0.46797806,0.53202194
15,0.0113718705,0.47934994,0.52065
16,0.010850959,0.4902009,0.5097991
17,0.00995906,0.50016,0.49984002
18,0.009251399,0.5094114,0.4905886
19,0.0088315895,0.51824296,0.48175704
20,0.008685481,0.5269284,0.47307158
21,0.008119535,0.53504795,0.46495205
22,0.00790824,0.5429562,0.45704383
23,0.007274669,0.55023086,0.44976914
24,0.007238528,0.55746937,0.44253063
25,0.006934445,0.56440383,0.43559617
26,0.0063617146,0.57076555,0.42923445
27,0.00626187,0.57702744,0.42297256
28,0.006108462,0.5831359,0.4168641
29,0.0060143922,0.5891503,0.4108497
30,0.00565288,0.5948032,0.4051968
31,0.005506675,0.6003099,0.3996901
32,0.005375439,0.60568535,0.39431465
33,0.005124386,0.61080974,0.38919026
34,0.005003979,0.61581373,0.38418627
35,0.00494294,0.6207567,0.3792433
36,0.004842267,0.62559897,0.37440103
37,0.004787674,0.63038665,0.36961335
38,0.0047506653,0.6351373,0.36486268
39,0.0044924524,0.6396298,0.36037022
40,0.004383061,0.64401287,0.35598713
41,0.004283275,0.6482961,0.35170388
42,0.0040729945,0.65236914,0.34763086
43,0.0040336438,0.65640277,0.34359723
44,0.0039134542,0.6603162,0.33968377
45,0.0038150118,0.6641312,0.33586878
46,0.0036845368,0.66781574,0.33218426
47,0.003650057,0.6714658,0.3285342
48,0.0035962379,0.67506206,0.32493794
49,0.0035008772,0.67856294,0.32143706
50,0.0034443059,0.68200725,0.31799275
51,0.0034177378,0.685425,0.31457502
52,0.0033231976,0.6887482,0.31125182
53,0.0032633012,0.6920115,0.30798852
54,0.0032089688,0.6952205,0.30477953
55,0.00317948,0.69839996,0.30160004
56,0.0031131112,0.70151305,0.29848695
57,0.0031006103,0.7046137,0.2953863
58,0.0030602757,0.70767397,0.29232603
59,0.0029423197,0.7106163,0.2893837
60,0.002880838,0.7134971,0.2865029
61,0.0028625876,0.7163597,0.28364033
62,0.0028015303,0.7191612,0.2808388
63,0.002783273,0.7219445,0.2780555
64,0.0027682462,0.7247127,0.27528727
65,0.0026881322,0.72740084,0.27259916
66,0.002658676,0.7300595,0.2699405
67,0.0025955518,0.73265505,0.26734495
68,0.00256179,0.73521686,0.26478314
69,0.0025125926,0.73772943,0.26227057
70,0.0024810862,0.74021053,0.25978947
71,0.0024791134,0.74268967,0.25731033
72,0.0024610667,0.74515074,0.25484926
73,0.0024136624,0.74756444,0.25243556
74,0.0023652047,0.74992967,0.25007033
75,0.0022982622,0.7522279,0.2477721
76,0.002278108,0.754506,0.24549401
77,0.0022225666,0.75672853,0.24327147
78,0.002206644,0.75893515,0.24106485
79,0.0021874958,0.76112264,0.23887736
80,0.0021837698,0.76330644,0.23669356
81,0.0021310349,0.7654375,0.23456252
82,0.002105485,0.76754296,0.23245704
83,0.002086877,0.76962984,0.23037016
84,0.002081827,0.77171165,0.22828835
