component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.03695907,0.03695907,0.96304095
2,0.030644542,0.06760361,0.9323964
3,0.021874465,0.089478076,0.9105219
4,0.018668795,0.10814687,0.89185315
5,0.015737431,0.1238843,0.8761157
6,0.014951469,0.13883577,0.8611642
7,0.013869152,0.15270492,0.84729505
8,0.01242151,0.16512643,0.83487356
9,0.012179326,0.17730576,0.82269424
10,0.011494764,0.18880053,0.8111995
11,0.01111593,0.19991645,0.8000835
12,0.0107463095,0.21066277,0.7893372
13,0.010037174,0.22069994,0.7793001
14,0.0097894035,0.23048934,0.7695106
15,0.00934175,0.23983109,0.7601689
16,0.0090724295,0.24890351,0.7510965
17,0.008754057,0.25765756,0.7423425
18,0.008617667,0.26627523,0.7337248
19,0.008399972,0.2746752,0.7253248
20,0.008225069,0.28290027,0.7170997
21,0.0080321105,0.2909324,0.7090676
22,0.0078070215,0.2987394,0.70126057
23,0.007689212,0.3064286,0.6935714
24,0.0075895144,0.31401813,0.68598187
25,0.007545818,0.32156396,0.67843604
26,0.0072065066,0.32877046,0.67122954
27,0.0071124583,0.3358829,0.6641171
28,0.007057799,0.3429407,0.6570593
29,0.006892373,0.34983307,0.6501669
30,0.0067155254,0.3565486,0.6434514
31,0.006566457,0.36311507,0.6368849
32,0.006445571,0.36956063,0.6304394
33,0.0063836817,0.37594432,0.6240557
34,0.0062694736,0.3822138,0.61778617
35,0.0061924993,0.3884063,0.6115937
36,0.0060551115,0.39446142,0.6055386
37,0.0059951176,0.40045655,0.59954345
38,0.0059246523,0.4063812,0.5936188
39,0.005763662,0.41214484,0.58785516
40,0.0057347585,0.4178796,0.5821204
41,0.0056953826,0.42357498,0.576425
42,0.005531877,0.42910686,0.57089317
43,0.0054806164,0.43458748,0.5654125
44,0.005423711,0.4400112,0.5599888
45,0.0053509497,0.44536215,0.55463785
46,0.0053138896,0.45067605,0.5493239
47,0.0051800786,0.45585614,0.54414386
48,0.0051559373,0.4610121,0.5389879
49,0.005102307,0.4661144,0.5338856
50,0.005025581,0.47114,0.52886
51,0.0049718022,0.4761118,0.52388823
52,0.004902403,0.4810142,0.5189858
53,0.0048458707,0.48586005,0.51413995
54,0.004788628,0.4906487,0.5093513
55,0.004773394,0.4954221,0.5045779
56,0.004685546,0.50010765,0.49989235
57,0.0045798873,0.50468755,0.49531245
58,0.0045061745,0.5091937,0.49080628
59,0.00446481,0.5136585,0.48634148
60,0.0044591306,0.51811767,0.48188233
61,0.004430522,0.5225482,0.4774518
62,0.0042970325,0.5268452,0.47315478
63,0.004285111,0.5311303,0.4688697
64,0.0042443494,0.53537464,0.46462536
65,0.004188668,0.5395633,0.4604367
66,0.004145667,0.543709,0.45629102
67,0.0041402522,0.54784924,0.45215076
68,0.0040774955,0.55192673,0.44807327
69,0.0040277,0.55595446,0.44404554
70,0.003987239,0.5599417,0.4400583
71,0.003929004,0.5638707,0.43612927
72,0.0038990253,0.56776977,0.43223023
73,0.003885855,0.57165563,0.42834437
74,0.003862695,0.5755183,0.4244817
75,0.0037928838,0.5793112,0.4206888
76,0.0037714066,0.5830826,0.41691738
77,0.003740214,0.5868228,0.4131772
78,0.0036656633,0.5904885,0.4095115
79,0.003627942,0.59411645,0.40588355
80,0.0036162531,0.5977327,0.40226728
81,0.0035770705,0.6013098,0.39869022
82,0.0035598134,0.6048696,0.3951304
83,0.0035249917,0.6083946,0.39160538
84,0.0034914825,0.6118861,0.38811392
85,0.003460865,0.61534697,0.38465303
86,0.003432643,0.6187796,0.3812204
87,0.0033832241,0.6221628,0.37783718
88,0.0033447093,0.62550753,0.37449247
89,0.0033243073,0.62883186,0.37116814
90,0.003257389,0.63208926,0.36791074
91,0.0032434147,0.63533264,0.36466736
92,0.0032259733,0.6385586,0.36144137
93,0.0031650933,0.6417237,0.3582763
94,0.0031508654,0.6448746,0.35512543
95,0.0031185662,0.64799315,0.35200685
96,0.003065568,0.65105873,0.34894127
97,0.0030483047,0.65410703,0.34589297
98,0.0030304336,0.65713745,0.34286255
99,0.003009196,0.66014665,0.33985335
100,0.0029864095,0.6631331,0.33686692
101,0.0029762583,0.6661093,0.33389068
102,0.0029269753,0.66903627,0.33096373
103,0.0029206097,0.6719569,0.3280431
104,0.0028855647,0.6748425,0.32515752
105,0.0028358519,0.67767835,0.32232165
106,0.002824015,0.68050236,0.31949764
107,0.0028132282,0.6833156,0.31668442
108,0.0027718784,0.6860874,0.31391257
109,0.0027553362,0.6888428,0.31115723
110,0.002745061,0.6915878,0.3084122
111,0.0027322217,0.69432,0.30567998
112,0.002695548,0.6970156,0.30298442
