component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.04212797,0.04212797,0.95787203
2,0.033702455,0.07583043,0.92416954
3,0.023315085,0.09914552,0.90085447
4,0.018683802,0.11782932,0.8821707
5,0.017124439,0.13495377,0.86504626
6,0.016125103,0.15107886,0.8489211
7,0.014588403,0.16566727,0.8343327
8,0.014379083,0.18004635,0.8199537
9,0.012978128,0.19302447,0.80697554
10,0.012320673,0.20534514,0.79465485
11,0.012275096,0.21762024,0.78237975
12,0.01140825,0.2290285,0.77097154
13,0.011136685,0.24016517,0.7598348
14,0.010908531,0.25107372,0.7489263
15,0.010611817,0.26168555,0.73831445
16,0.010302537,0.2719881,0.7280119
17,0.010010261,0.28199837,0.7180016
18,0.0094864275,0.2914848,0.70851517
19,0.009392678,0.30087748,0.69912255
20,0.009356205,0.31023368,0.6897663
21,0.008970801,0.31920448,0.68079555
22,0.008665883,0.32787037,0.67212963
23,0.008563407,0.33643377,0.66356623
24,0.008353751,0.3447875,0.6552125
25,0.0080172,0.35280472,0.6471953
26,0.007865454,0.36067018,0.6393298
27,0.007744171,0.36841434,0.63158566
28,0.007617548,0.37603188,0.6239681
29,0.0074435263,0.3834754,0.6165246
30,0.007316185,0.39079157,0.60920846
31,0.0071499036,0.39794147,0.60205853
32,0.00710728,0.40504876,0.5949513
33,0.0068835462,0.4119323,0.5880677
34,0.0067444295,0.41867673,0.58132327
35,0.0066546616,0.42533138,0.57466865
36,0.006430247,0.43176162,0.5682384
37,0.0063865143,0.43814814,0.56185186
38,0.006320621,0.44446877,0.55553126
39,0.0062509957,0.45071977,0.5492802
40,0.006216059,0.45693582,0.5430642
41,0.0061719688,0.4631078,0.5368922
42,0.0060947877,0.46920258,0.5307974
43,0.0058865626,0.47508913,0.52491087
44,0.00582123,0.48091036,0.51908964
45,0.005784933,0.4866953,0.5133047
46,0.0056853066,0.4923806,0.5076194
47,0.0056414367,0.49802202,0.501978
48,0.005552577,0.5035746,0.4964254
49,0.005432345,0.509007,0.49099302
50,0.005383381,0.51439035,0.48560965
51,0.005342745,0.5197331,0.48026693
52,0.005268891,0.52500194,0.47499806
53,0.005147383,0.53014934,0.46985066
54,0.0050776303,0.53522694,0.46477306
55,0.0050585135,0.54028547,0.45971453
56,0.0049586846,0.54524416,0.45475584
57,0.004896612,0.5501408,0.4498592
58,0.004849513,0.5549903,0.4450097
59,0.0047544898,0.5597448,0.44025522
60,0.004701019,0.5644458,0.4355542
61,0.004664653,0.56911045,0.43088955
62,0.004624524,0.573735,0.426265
63,0.004588753,0.5783237,0.42167628
64,0.00451176,0.5828355,0.4171645
65,0.004441127,0.58727664,0.41272336
66,0.0043399734,0.59161663,0.40838337
67,0.0042864173,0.59590304,0.40409696
68,0.004269265,0.6001723,0.39982772
69,0.004234419,0.6044067,0.3955933
70,0.0042054537,0.6086122,0.39138782
71,0.0041584414,0.6127706,0.38722938
72,0.004081778,0.6168524,0.3831476
73,0.0040575326,0.6209099,0.37909007
74,0.0040051606,0.62491506,0.37508494
75,0.0039898576,0.62890494,0.37109506
76,0.003938782,0.63284373,0.36715627
77,0.0038770686,0.6367208,0.36327922
78,0.0038216824,0.64054245,0.35945755
79,0.0037953695,0.64433783,0.35566217
80,0.003766171,0.648104,0.351896
81,0.003696311,0.65180033,0.34819967
82,0.0036653439,0.65546566,0.34453434
83,0.0036422538,0.6591079,0.34089208
84,0.0035791837,0.6626871,0.33731288
85,0.003556106,0.66624326,0.33375674
86,0.003502286,0.66974556,0.33025444
87,0.0034830351,0.6732286,0.32677138
88,0.0034431228,0.67667174,0.32332826
89,0.003414258,0.680086,0.31991398
90,0.0033700294,0.68345606,0.31654394
91,0.0033424231,0.6867985,0.3132015
92,0.0032888122,0.6900873,0.30991268
93,0.003259502,0.6933468,0.3066532
94,0.0031950842,0.6965419,0.3034581
95,0.0031825555,0.69972444,0.30027556
96,0.0031429916,0.70286745,0.29713255
97,0.0030919185,0.7059594,0.29404062
98,0.0030518232,0.7090112,0.2909888
99,0.0030282708,0.7120395,0.28796053
100,0.0030110616,0.7150505,0.28494948
101,0.0029883464,0.71803886,0.28196114
102,0.002970226,0.7210091,0.27899092
103,0.002919648,0.72392875,0.27607125
104,0.002897961,0.7268267,0.27317327
105,0.0028714107,0.7296981,0.27030188
106,0.0028570676,0.7325552,0.2674448
107,0.0028089157,0.73536414,0.26463586
108,0.0027917721,0.7381559,0.2618441
109,0.002788421,0.7409443,0.25905567
110,0.0027695387,0.74371386,0.25628614
111,0.0027484756,0.74646235,0.25353765
112,0.0026861024,0.7491484,0.25085157
113,0.002660276,0.7518087,0.2481913
114,0.0026272414,0.75443596,0.24556404
115,0.0026096418,0.7570456,0.24295437
116,0.002578791,0.7596244,0.24037558
117,0.002571709,0.7621961,0.23780388
118,0.0025442243,0.76474035,0.23525965
119,0.0025104505,0.7672508,0.23274922
120,0.0024932642,0.76974404,0.23025596
121,0.00246232,0.77220637,0.22779363
122,0.0024565076,0.77466285,0.22533715
123,0.0024383771,0.7771012,0.22289878
124,0.0024214897,0.7795227,0.22047728
125,0.002391404,0.7819141,0.21808589
126,0.0023812873,0.7842954,0.21570462
127,0.0023604177,0.7866558,0.21334422
128,0.002339024,0.7889948,0.21100521
129,0.0023217227,0.7913165,0.20868349
130,0.0023060942,0.7936226,0.20637739
131,0.002291805,0.7959144,0.20408559
132,0.0022644233,0.79817885,0.20182115
133,0.002254791,0.80043364,0.19956636
134,0.0022292587,0.8026629,0.19733709
135,0.0022167333,0.80487967,0.19512033
136,0.0021954724,0.80707514,0.19292486
137,0.002165971,0.8092411,0.19075888
138,0.0021519684,0.8113931,0.18860692
139,0.0021313108,0.81352437,0.18647563
140,0.002111507,0.81563586,0.18436414
141,0.0020937787,0.81772965,0.18227035
142,0.0020821132,0.81981176,0.18018824
143,0.0020663224,0.8218781,0.17812192
144,0.0020577344,0.8239358,0.1760642
145,0.002032997,0.8259688,0.1740312
146,0.0020155066,0.82798433,0.17201567
147,0.0019942897,0.82997864,0.17002136
148,0.0019856428,0.8319643,0.16803569
149,0.001957729,0.833922,0.16607797
150,0.0019464158,0.8358684,0.16413158
151,0.0019311614,0.8377996,0.16220039
152,0.0019246832,0.8397243,0.1602757
153,0.0018988972,0.8416232,0.15837681
154,0.001894021,0.8435172,0.15648282
155,0.0018716285,0.8453888,0.15461117
156,0.0018567212,0.8472456,0.15275443
157,0.0018448399,0.8490904,0.1509096
158,0.0018369092,0.8509273,0.1490727
159,0.0018215791,0.8527489,0.14725113
160,0.0018030269,0.8545519,0.14544809
161,0.0017919306,0.85634387,0.14365613
162,0.0017709098,0.8581148,0.14188522
163,0.0017650112,0.8598798,0.14012021
164,0.0017507949,0.86163056,0.13836944
165,0.0017463575,0.8633769,0.13662308
166,0.0017280326,0.865105,0.13489503
167,0.0017192274,0.8668242,0.13317579
168,0.001693046,0.8685173,0.13148272
169,0.0016697956,0.8701871,0.1298129
170,0.0016619134,0.871849,0.128151
171,0.0016510491,0.87350005,0.12649995
172,0.0016463868,0.87514645,0.12485355
173,0.0016347655,0.8767812,0.123218775
174,0.001616666,0.8783979,0.12160212
175,0.0015946504,0.87999254,0.120007455
