component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.07971365,0.07971365,0.92028636
2,0.056532405,0.13624606,0.8637539
3,0.049041606,0.18528765,0.81471235
4,0.035300642,0.2205883,0.7794117
5,0.03269791,0.2532862,0.74671376
6,0.030161377,0.2834476,0.7165524
7,0.024920579,0.30836818,0.6916318
8,0.023750087,0.33211827,0.6678817
9,0.01988734,0.3520056,0.6479944
10,0.017809318,0.36981493,0.63018507
11,0.016561322,0.38637626,0.61362374
12,0.016291175,0.40266743,0.5973326
13,0.014262795,0.41693023,0.5830698
14,0.013005361,0.42993557,0.5700644
15,0.012728929,0.4426645,0.5573355
16,0.011904672,0.45456916,0.54543084
17,0.011246153,0.4658153,0.5341847
18,0.010796328,0.47661164,0.5233884
19,0.009421976,0.48603362,0.5139664
20,0.009159174,0.4951928,0.50480723
21,0.008524485,0.5037173,0.4962827
22,0.008456989,0.5121743,0.4878257
23,0.008080604,0.5202549,0.4797451
24,0.007819146,0.528074,0.47192597
25,0.0073456513,0.5354197,0.4645803
26,0.007253513,0.54267323,0.45732677
27,0.007136838,0.54981005,0.45018995
28,0.006766868,0.5565769,0.4434231
29,0.0064654467,0.56304234,0.43695766
30,0.0063306876,0.569373,0.430627
31,0.0062561436,0.5756292,0.42437083
32,0.0059698164,0.581599,0.418401
33,0.00555725,0.58715624,0.41284376
34,0.0055053774,0.5926616,0.40733838
35,0.0052787205,0.5979403,0.40205967
36,0.005226163,0.60316646,0.39683354
37,0.0050341296,0.6082006,0.3917994
38,0.004931131,0.61313176,0.38686824
39,0.0047796997,0.61791146,0.38208854
40,0.004700934,0.6226124,0.37738758
41,0.0044979174,0.62711036,0.37288964
42,0.004427548,0.6315379,0.3684621
43,0.0041984348,0.63573635,0.36426365
44,0.00413385,0.63987017,0.36012983
45,0.0040331534,0.6439033,0.35609668
46,0.0039943284,0.64789766,0.35210234
47,0.0039006975,0.65179837,0.34820163
48,0.0038551826,0.65565354,0.34434646
49,0.0038053212,0.6594589,0.34054112
50,0.0037860814,0.66324496,0.33675504
51,0.0036559622,0.66690093,0.33309907
52,0.0035450056,0.6704459,0.32955408
53,0.0034935204,0.67393947,0.32606053
54,0.0034173832,0.67735684,0.32264316
55,0.003320925,0.6806778,0.31932223
56,0.003245676,0.6839234,0.31607658
57,0.0031604064,0.68708384,0.31291616
58,0.0030612582,0.6901451,0.30985492
59,0.003058103,0.69320315,0.30679685
60,0.0030099931,0.6962131,0.30378687
61,0.0030009297,0.69921404,0.30078596
62,0.0028856222,0.7020997,0.29790032
63,0.0028408575,0.70494056,0.29505944
64,0.0028028418,0.7077434,0.2922566
65,0.0027893886,0.7105328,0.28946722
66,0.0027483504,0.71328115,0.28671885
67,0.0026585765,0.71593976,0.28406024
68,0.002627428,0.7185672,0.2814328
69,0.0026060713,0.7211733,0.2788267
70,0.0025777495,0.723751,0.276249
71,0.00256958,0.72632056,0.27367944
72,0.0025059865,0.7288265,0.27117348
73,0.0024802457,0.7313068,0.2686932
74,0.002439756,0.7337465,0.26625347
75,0.0023854496,0.73613197,0.26386803
76,0.002358146,0.7384901,0.2615099
77,0.0023320867,0.7408222,0.2591778
78,0.0023219725,0.74314415,0.25685585
79,0.0022730571,0.74541724,0.25458276
80,0.0022411286,0.7476584,0.25234163
81,0.0021901715,0.74984854,0.25015146
82,0.0021581328,0.75200665,0.24799335
83,0.0021372645,0.7541439,0.2458561
84,0.0020948923,0.75623876,0.24376124
85,0.0020796189,0.75831836,0.24168164
86,0.0020514105,0.7603698,0.23963022
87,0.0020426975,0.7624125,0.23758751
88,0.001997275,0.7644098,0.23559022
89,0.0019502246,0.76636,0.23364002
90,0.0019040412,0.76826406,0.23173594
91,0.0018966801,0.77016073,0.22983927
92,0.0018633356,0.7720241,0.2279759
93,0.0018391104,0.7738632,0.2261368
94,0.0017969555,0.77566016,0.22433984
95,0.0017766536,0.7774368,0.2225632
96,0.0017571786,0.779194,0.220806
97,0.0017351382,0.78092915,0.21907085
98,0.0017186364,0.7826478,0.21735221
99,0.0016993344,0.7843471,0.21565288
100,0.0016573239,0.7860044,0.21399558
101,0.0016449859,0.7876494,0.2123506
102,0.0016266865,0.78927606,0.21072394
103,0.0015952978,0.7908714,0.20912862
104,0.0015910433,0.7924624,0.20753759
105,0.0015767418,0.79403913,0.20596087
106,0.0015568858,0.795596,0.204404
107,0.0015414314,0.79713744,0.20286256
108,0.0015248606,0.7986623,0.2013377
109,0.0015170958,0.8001794,0.19982058
110,0.0015016149,0.80168104,0.19831896
111,0.0014836842,0.8031647,0.19683528
112,0.0014732479,0.80463797,0.19536203
113,0.0014661528,0.8061041,0.19389588
114,0.0014250912,0.8075292,0.19247079
115,0.0014076,0.80893683,0.19106317
116,0.0013987053,0.8103355,0.18966448
117,0.0013871066,0.81172264,0.18827736
118,0.0013701323,0.81309277,0.18690723
119,0.0013456072,0.8144384,0.1855616
120,0.0013219805,0.8157604,0.18423963
121,0.0013207203,0.8170811,0.1829189
122,0.001290813,0.8183719,0.18162811
123,0.0012804714,0.8196524,0.18034762
124,0.0012727807,0.8209252,0.17907482
125,0.0012606833,0.8221859,0.17781413
126,0.0012385409,0.8234244,0.1765756
127,0.0012239527,0.8246484,0.17535162
128,0.0012132819,0.82586163,0.17413837
