component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.059463575,0.059463575,0.94053644
2,0.029350093,0.08881367,0.91118634
3,0.023595393,0.11240906,0.88759094
4,0.02101907,0.13342813,0.8665719
5,0.019683685,0.15311182,0.8468882
6,0.017175497,0.17028731,0.8297127
7,0.015582438,0.18586975,0.81413025
8,0.014227595,0.20009735,0.7999027
9,0.013411832,0.21350919,0.7864908
10,0.012190272,0.22569945,0.7743006
11,0.011562938,0.2372624,0.76273763
12,0.011118592,0.24838099,0.751619
13,0.010485271,0.25886625,0.74113375
14,0.009593101,0.26845935,0.7315407
15,0.009577164,0.2780365,0.7219635
16,0.009401877,0.2874384,0.7125616
17,0.00897339,0.29641178,0.70358825
18,0.008725871,0.30513766,0.69486237
19,0.008148896,0.31328657,0.68671346
20,0.007962475,0.32124904,0.678751
21,0.007829925,0.32907897,0.670921
22,0.007569147,0.3366481,0.6633519
23,0.007441656,0.34408978,0.65591025
24,0.007290513,0.3513803,0.6486197
25,0.007097315,0.3584776,0.6415224
26,0.0069592446,0.36543685,0.63456315
27,0.006743187,0.37218004,0.62781996
28,0.0066215796,0.3788016,0.6211984
29,0.006295537,0.38509715,0.61490285
30,0.006154582,0.39125174,0.60874826
31,0.006010912,0.39726266,0.6027373
32,0.0058911345,0.4031538,0.5968462
33,0.005850966,0.40900478,0.5909952
34,0.005709202,0.41471398,0.585286
35,0.005631407,0.4203454,0.5796546
36,0.005528079,0.4258735,0.5741265
37,0.0054288977,0.4313024,0.5686976
38,0.005299207,0.4366016,0.56339836
39,0.0051737777,0.44177538,0.5582246
40,0.005118528,0.4468939,0.55310607
41,0.004947758,0.45184165,0.54815835
42,0.0049124663,0.45675412,0.5432459
43,0.0048245406,0.46157867,0.53842133
44,0.00478613,0.4663648,0.5336352
45,0.0046963934,0.4710612,0.5289388
46,0.004639092,0.4757003,0.52429974
47,0.004545444,0.48024574,0.5197543
48,0.0044639376,0.48470968,0.5152903
49,0.0043895575,0.48909923,0.51090074
50,0.0043360046,0.49343523,0.50656474
51,0.004308899,0.49774414,0.50225586
52,0.004300144,0.50204426,0.49795574
53,0.0042463266,0.5062906,0.4937094
54,0.0041718725,0.51046246,0.48953754
55,0.0040909955,0.5145535,0.4854465
56,0.0040448154,0.5185983,0.48140168
57,0.0039758976,0.5225742,0.4774258
58,0.003921317,0.5264955,0.47350448
59,0.0038685566,0.5303641,0.4696359
60,0.0038021079,0.5341662,0.46583378
61,0.0037530242,0.5379192,0.46208078
62,0.0037301506,0.5416494,0.4583506
63,0.0036501097,0.54529953,0.45470047
64,0.0035729958,0.54887253,0.45112747
65,0.0035240375,0.5523966,0.4476034
66,0.0035157378,0.5559123,0.44408768
67,0.0034445573,0.55935687,0.44064313
68,0.0034247804,0.56278163,0.43721837
69,0.003367672,0.5661493,0.4338507
70,0.0033200765,0.5694694,0.4305306
71,0.0033076585,0.57277703,0.42722297
72,0.0032497074,0.57602674,0.42397326
73,0.0032125146,0.57923925,0.42076075
74,0.0031760777,0.58241534,0.41758466
75,0.003138302,0.58555365,0.41444635
76,0.0031084241,0.5886621,0.4113379
77,0.0031050013,0.5917671,0.40823293
78,0.003053876,0.594821,0.40517902
79,0.0030490595,0.59787005,0.40212995
80,0.0030184528,0.6008885,0.3991115
81,0.0029600887,0.6038486,0.39615142
82,0.002956286,0.60680485,0.39319515
83,0.0028838967,0.60968876,0.39031124
84,0.002879959,0.61256874,0.38743126
85,0.0028685203,0.61543727,0.38456273
86,0.0027813932,0.61821866,0.38178134
87,0.0027536994,0.62097234,0.37902766
88,0.0027212147,0.6236935,0.37630647
89,0.0027082781,0.6264018,0.37359822
90,0.002692644,0.6290944,0.37090558
91,0.0026740904,0.6317685,0.36823148
92,0.0026426692,0.6344112,0.36558878
93,0.002611336,0.63702255,0.36297745
94,0.0025937958,0.6396164,0.36038363
95,0.002585666,0.642202,0.35779798
96,0.0025603785,0.6447624,0.3552376
97,0.0025579121,0.64732033,0.35267967
98,0.0024983478,0.64981866,0.35018134
99,0.0024880157,0.6523067,0.34769332
100,0.0024586683,0.65476537,0.34523463
101,0.0024454675,0.6572108,0.34278917
102,0.002414579,0.6596254,0.3403746
103,0.0023950308,0.66202044,0.33797956
104,0.0023829832,0.66440344,0.33559656
105,0.002371536,0.666775,0.333225
106,0.0023459264,0.6691209,0.3308791
107,0.0023286243,0.67144954,0.32855046
108,0.002295936,0.67374545,0.32625455
109,0.0022745728,0.67602,0.32397997
110,0.0022550055,0.67827505,0.32172495
111,0.0022473298,0.6805224,0.31947762
112,0.002227885,0.6827503,0.31724972
113,0.0022118227,0.6849621,0.3150379
114,0.0021708473,0.68713295,0.31286705
115,0.0021600598,0.689293,0.31070697
116,0.0021535573,0.6914466,0.3085534
117,0.0021378233,0.69358444,0.30641556
118,0.0021143996,0.69569886,0.30430114
119,0.0020714125,0.6977703,0.3022297
120,0.0020416945,0.699812,0.300188
121,0.0020393527,0.70185137,0.29814863
122,0.0020272597,0.70387864,0.29612136
123,0.0020138794,0.7058925,0.2941075
124,0.0019992806,0.70789176,0.29210824
125,0.0019867916,0.70987856,0.29012144
126,0.0019718711,0.71185046,0.28814954
127,0.00194146,0.7137919,0.2862081
128,0.001923755,0.71571565,0.28428435
129,0.0019170041,0.71763265,0.28236735
130,0.0019066938,0.71953934,0.28046066
131,0.0018817618,0.7214211,0.27857888
132,0.0018683881,0.7232895,0.2767105
133,0.0018490396,0.72513855,0.27486145
134,0.0018337817,0.72697234,0.27302766
135,0.0018287827,0.72880113,0.27119887
136,0.0018189821,0.7306201,0.2693799
137,0.0017956389,0.73241574,0.26758426
138,0.0017871644,0.7342029,0.26579708
139,0.0017807563,0.73598367,0.26401633
140,0.001761056,0.73774475,0.26225525
141,0.0017342262,0.73947895,0.26052105
142,0.0017254568,0.7412044,0.25879562
143,0.0017155673,0.7429199,0.25708008
144,0.0017117162,0.74463165,0.25536835
