component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.0617876,0.0617876,0.9382124
2,0.060045555,0.12183316,0.87816685
3,0.047882523,0.16971569,0.8302843
4,0.03250833,0.20222402,0.797776
5,0.028585354,0.23080938,0.7691906
6,0.027336163,0.25814554,0.7418544
7,0.024419297,0.28256485,0.7174351
8,0.02428882,0.30685368,0.69314635
9,0.021670574,0.32852426,0.67147577
10,0.02097305,0.34949732,0.6505027
11,0.019498305,0.36899564,0.63100433
12,0.018313967,0.3873096,0.6126904
13,0.015858885,0.4031685,0.5968315
14,0.014408569,0.41757706,0.582423
15,0.013923942,0.431501,0.56849897
16,0.013488256,0.44498926,0.55501074
17,0.012594938,0.4575842,0.5424158
18,0.012169198,0.4697534,0.5302466
19,0.011629775,0.4813832,0.5186168
20,0.011186714,0.49256992,0.5074301
21,0.010978887,0.5035488,0.4964512
22,0.010557062,0.51410586,0.48589414
23,0.009818428,0.5239243,0.4760757
24,0.009510683,0.533435,0.466565
25,0.009102318,0.54253733,0.45746267
26,0.008679765,0.5512171,0.44878292
27,0.008570581,0.55978763,0.44021237
28,0.00842247,0.5682101,0.43178988
29,0.008329178,0.5765393,0.42346072
30,0.007929789,0.5844691,0.41553092
31,0.007641686,0.59211075,0.40788925
32,0.0072743073,0.5993851,0.40061492
33,0.006972606,0.6063577,0.3936423
34,0.0067848535,0.61314255,0.38685745
35,0.0067070196,0.61984956,0.38015044
36,0.0065503744,0.62639993,0.37360007
37,0.006372269,0.6327722,0.3672278
38,0.006225732,0.6389979,0.3610021
39,0.005956492,0.6449544,0.35504562
40,0.0058303727,0.65078473,0.34921527
41,0.0056200516,0.6564048,0.3435952
42,0.0054398207,0.6618446,0.3381554
43,0.005401946,0.6672466,0.33275342
44,0.0053194296,0.672566,0.327434
45,0.005093131,0.67765915,0.32234085
46,0.0050846306,0.6827438,0.3172562
47,0.0049373666,0.68768114,0.31231886
48,0.0048370506,0.6925182,0.30748183
49,0.004777007,0.6972952,0.3027048
50,0.0046327487,0.70192796,0.29807204
51,0.0045118225,0.7064398,0.2935602
52,0.00441095,0.7108507,0.28914928
53,0.004292079,0.7151428,0.2848572
54,0.0042117923,0.71935457,0.28064543
55,0.004072829,0.7234274,0.2765726
56,0.004057665,0.72748506,0.27251494
57,0.0040016146,0.7314867,0.26851332
58,0.003893621,0.7353803,0.2646197
59,0.0037485822,0.7391289,0.2608711
60,0.0036965138,0.7428254,0.2571746
61,0.0036196872,0.74644506,0.25355494
62,0.0035397236,0.7499848,0.2500152
63,0.003512294,0.7534971,0.24650288
64,0.0034792996,0.7569764,0.24302357
65,0.0032949862,0.76027143,0.23972857
66,0.003248067,0.7635195,0.23648047
67,0.0032244422,0.76674396,0.23325604
68,0.0031834915,0.76992744,0.23007256
69,0.0030869218,0.77301437,0.22698563
70,0.0030685628,0.77608293,0.22391707
71,0.0030149277,0.77909786,0.22090214
72,0.0029248656,0.7820227,0.21797729
73,0.0028650472,0.7848878,0.21511221
74,0.0028341145,0.78772193,0.21227807
75,0.002759675,0.7904816,0.20951837
76,0.0027223302,0.79320395,0.20679605
77,0.0026890554,0.795893,0.20410699
78,0.002652202,0.79854524,0.20145476
79,0.0025295992,0.80107486,0.19892514
80,0.0025070447,0.8035819,0.1964181
81,0.0024422945,0.8060242,0.1939758
82,0.0024270257,0.80845124,0.19154876
83,0.002398913,0.81085014,0.18914986
84,0.0023361773,0.81318635,0.18681365
85,0.0022888877,0.8154752,0.18452477
86,0.0022777196,0.81775296,0.18224704
87,0.002188905,0.8199419,0.18005812
88,0.002164352,0.82210624,0.17789376
89,0.0021443288,0.8242506,0.17574942
90,0.002120089,0.82637066,0.17362934
91,0.0021023792,0.82847303,0.17152697
92,0.0020660842,0.8305391,0.1694609
93,0.0020524373,0.83259153,0.16740847
94,0.0019911602,0.8345827,0.16541731
95,0.00195849,0.8365412,0.16345882
96,0.0019151749,0.83845633,0.16154367
97,0.0018821249,0.84033847,0.15966153
98,0.0018597037,0.8421982,0.1578018
99,0.001832534,0.84403074,0.15596926
100,0.0018046516,0.8458354,0.15416461
101,0.0017716296,0.847607,0.15239298
102,0.0017263052,0.84933335,0.15066665
103,0.0017148168,0.8510482,0.14895183
104,0.0016729204,0.8527211,0.1472789
105,0.0016682511,0.85438937,0.14561063
106,0.0016636674,0.85605305,0.14394695
107,0.0016155161,0.8576686,0.14233142
108,0.0015864735,0.8592551,0.14074492
109,0.0015741952,0.8608293,0.1391707
110,0.0015426907,0.862372,0.13762802
111,0.0015119134,0.8638839,0.13611609
112,0.0014760161,0.8653599,0.1346401
113,0.0014644755,0.8668244,0.13317561
114,0.0014515274,0.86827594,0.13172406
115,0.0014320262,0.86970794,0.13029206
116,0.0014120657,0.87112004,0.12887996
117,0.0014113628,0.8725314,0.12746859
118,0.0013798074,0.8739112,0.1260888
119,0.0013569156,0.8752681,0.1247319
120,0.001339372,0.8766075,0.12339252
121,0.0013026168,0.8779101,0.12208992
122,0.0012849288,0.87919503,0.120804965
123,0.0012748617,0.8804699,0.11953008
124,0.0012714835,0.8817414,0.118258595
125,0.00125065,0.882992,0.11700797
126,0.0012279174,0.88421994,0.115780056
127,0.001224794,0.88544476,0.11455524
128,0.0011962577,0.886641,0.113358974
129,0.0011868005,0.8878278,0.11217219
130,0.0011717189,0.8889995,0.11100048
131,0.0011663479,0.89016587,0.109834135
132,0.0011522704,0.89131814,0.10868186
133,0.0011163235,0.8924345,0.10756552
134,0.0011005959,0.8935351,0.10646492
135,0.0010867023,0.8946218,0.10537821
136,0.0010759154,0.8956977,0.10430229
137,0.0010667878,0.8967645,0.10323548
138,0.00105527,0.89781976,0.10218024
139,0.0010448289,0.89886457,0.10113543
140,0.0010273957,0.899892,0.10010803
141,0.0010239902,0.900916,0.09908402
142,0.0010062826,0.9019223,0.098077714
143,0.0009829602,0.9029052,0.097094774
144,0.0009673369,0.90387255,0.09612745
145,0.0009562668,0.9048288,0.09517121
146,0.00093509385,0.90576386,0.094236135
147,0.00092749443,0.9066914,0.09330863
148,0.00092406466,0.9076154,0.09238458
149,0.00090474606,0.90852016,0.09147984
150,0.0008929583,0.9094131,0.0905869
151,0.00087083963,0.9102839,0.08971608
152,0.0008703971,0.9111543,0.08884567
153,0.00086210045,0.91201645,0.08798355
154,0.00085449667,0.91287094,0.08712906
155,0.0008293635,0.9137003,0.08629972
156,0.00082408293,0.9145244,0.08547562
157,0.00082023285,0.9153446,0.084655404
158,0.0008102717,0.91615486,0.08384514
159,0.00079049164,0.91694534,0.08305466
160,0.0007882276,0.91773355,0.08226645
161,0.0007722644,0.9185058,0.08149421
162,0.00076613645,0.91927195,0.080728054
163,0.0007594139,0.92003137,0.07996863
164,0.0007548025,0.92078614,0.07921386
165,0.0007503732,0.9215365,0.078463495
166,0.0007375364,0.92227405,0.07772595
167,0.0007264101,0.92300045,0.076999545
168,0.0007173095,0.92371774,0.07628226
169,0.0007103871,0.9244281,0.075571895
170,0.00070257985,0.92513067,0.074869335
171,0.000690103,0.92582077,0.07417923
172,0.000679516,0.92650026,0.07349974
173,0.0006740299,0.92717427,0.07282573
174,0.00067000004,0.9278443,0.072155714
175,0.0006615429,0.92850584,0.07149416
176,0.0006535597,0.9291594,0.0708406
177,0.0006456961,0.9298051,0.0701949
178,0.00063900696,0.9304441,0.06955588
179,0.00063276984,0.9310769,0.068923116
180,0.0006181289,0.931695,0.068305016
181,0.0006137461,0.93230873,0.06769127
182,0.00060789054,0.93291664,0.06708336
183,0.0006003071,0.9335169,0.06648308
184,0.00059497624,0.9341119,0.06588811
185,0.00058356364,0.9346955,0.06530452
186,0.00057864015,0.9352741,0.064725876
187,0.0005698179,0.93584394,0.064156055
188,0.0005650539,0.936409,0.063591
189,0.00055455905,0.93696356,0.06303644
190,0.00054709904,0.93751067,0.06248933
191,0.0005411201,0.93805176,0.06194824
192,0.00053755706,0.93858933,0.061410666
193,0.0005363884,0.9391257,0.060874283
194,0.00052909396,0.9396548,0.060345173
195,0.0005224562,0.94017726,0.05982274
196,0.00051507284,0.9406923,0.059307694
197,0.0005105498,0.9412029,0.05879712
198,0.00050150807,0.9417044,0.058295608
199,0.0004953062,0.9421997,0.057800293
200,0.0004918177,0.9426915,0.057308495
201,0.000489724,0.9431812,0.056818783
202,0.00048116644,0.9436624,0.056337595
203,0.00047446068,0.94413686,0.055863142
204,0.00047341053,0.9446103,0.055389702
205,0.00046610823,0.9450764,0.054923594
206,0.00046364308,0.9455401,0.05445993
207,0.00046150218,0.9460016,0.05399841
