component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.1426396,0.1426396,0.85736036
2,0.057275385,0.19991499,0.800085
3,0.033914838,0.23382983,0.76617014
4,0.027465228,0.26129505,0.7387049
5,0.022741294,0.28403634,0.71596366
6,0.020120014,0.30415636,0.69584364
7,0.016390236,0.3205466,0.6794534
8,0.0153427385,0.33588934,0.66411066
9,0.0141949365,0.35008428,0.6499157
10,0.012728267,0.36281255,0.6371875
11,0.01254996,0.37536252,0.6246375
12,0.010536431,0.38589895,0.61410105
13,0.010446337,0.3963453,0.60365474
14,0.00950832,0.4058536,0.5941464
15,0.008803359,0.41465697,0.585343
16,0.0082972,0.42295417,0.5770458
17,0.0076434603,0.43059763,0.56940234
18,0.007530897,0.43812853,0.56187147
19,0.0068697548,0.4449983,0.55500174
20,0.006592117,0.45159042,0.5484096
21,0.006322927,0.45791334,0.54208666
22,0.006235485,0.46414882,0.5358512
23,0.0058442033,0.46999303,0.530007
24,0.005759216,0.47575223,0.52424777
25,0.0052496386,0.48100188,0.51899815
26,0.0051101833,0.48611206,0.51388794
27,0.00499967,0.49111173,0.50888824
28,0.0047126547,0.49582437,0.50417566
29,0.004566293,0.50039065,0.49960935
30,0.0045230277,0.5049137,0.4950863
31,0.0042452845,0.50915897,0.49084103
32,0.0041130297,0.513272,0.486728
33,0.004079997,0.517352,0.48264802
34,0.0040639993,0.521416,0.478584
35,0.0039173574,0.52533334,0.47466666
36,0.003709297,0.52904266,0.47095734
37,0.003693939,0.5327366,0.4672634
38,0.0035995375,0.5363361,0.46366388
39,0.0035017119,0.53983784,0.46016216
40,0.003456101,0.54329395,0.45670605
41,0.0034278939,0.5467219,0.45327812
42,0.0032672696,0.54998916,0.45001084
43,0.0031646797,0.5531539,0.44684613
44,0.0031303691,0.55628425,0.44371575
45,0.0030846673,0.5593689,0.4406311
46,0.0030362532,0.56240517,0.43759483
47,0.0029832309,0.5653884,0.43461162
48,0.0029480641,0.5683364,0.43166357
49,0.0028537065,0.5711901,0.42880988
50,0.0027907928,0.5739809,0.42601907
51,0.002758184,0.57673913,0.42326087
52,0.0027363107,0.57947546,0.42052454
53,0.0025975374,0.582073,0.41792703
54,0.0025530006,0.58462596,0.41537404
55,0.002516478,0.5871424,0.4128576
56,0.0024280208,0.5895704,0.4104296
57,0.0023952115,0.5919656,0.40803438
58,0.0023137508,0.59427935,0.40572065
59,0.002307415,0.59658676,0.40341324
60,0.0022652906,0.59885204,0.40114796
61,0.0022399146,0.601092,0.39890802
62,0.002218743,0.6033107,0.3966893
63,0.0021471991,0.6054579,0.3945421
64,0.0021358423,0.6075937,0.39240628
65,0.0020866983,0.6096804,0.3903196
66,0.0020724558,0.61175287,0.38824713
67,0.002055148,0.61380804,0.38619196
68,0.0020167253,0.61582476,0.38417524
69,0.0020022283,0.617827,0.382173
70,0.0019385987,0.6197656,0.38023442
71,0.0019275496,0.62169313,0.37830687
72,0.0019225575,0.6236157,0.37638432
73,0.001881747,0.6254974,0.3745026
74,0.0018501981,0.6273476,0.3726524
75,0.0018317238,0.6291793,0.3708207
76,0.0018084944,0.6309878,0.36901218
77,0.0017780846,0.6327659,0.3672341
78,0.001743755,0.6345096,0.36549038
79,0.0017194208,0.63622904,0.36377096
80,0.001706691,0.63793576,0.36206424
81,0.0016778196,0.63961357,0.36038643
82,0.0016530982,0.64126664,0.35873336
83,0.0016449327,0.64291155,0.35708845
84,0.0016284464,0.64454,0.35546
85,0.0015991816,0.6461392,0.3538608
86,0.0015838748,0.6477231,0.35227692
87,0.0015597111,0.6492828,0.3507172
88,0.0015400617,0.6508229,0.34917712
89,0.0015322175,0.6523551,0.34764493
90,0.0015213602,0.6538764,0.34612358
91,0.0014972028,0.65537363,0.34462637
92,0.0014602274,0.6568339,0.3431661
93,0.0014469719,0.65828085,0.34171915
94,0.001429129,0.65971,0.34029
95,0.0014264695,0.66113645,0.33886355
96,0.0013908216,0.66252726,0.33747274
97,0.0013824588,0.66390973,0.33609027
98,0.0013778489,0.66528755,0.33471245
99,0.0013683226,0.6666559,0.3333441
100,0.0013454902,0.6680014,0.3319986
101,0.0013367354,0.66933817,0.33066183
102,0.0013125011,0.67065066,0.32934934
103,0.0012870525,0.6719377,0.3280623
104,0.0012797379,0.6732174,0.32678258
105,0.0012642521,0.6744817,0.3255183
106,0.0012537735,0.6757355,0.32426453
107,0.0012450966,0.67698056,0.32301944
108,0.0012330747,0.67821366,0.32178634
109,0.0012243788,0.67943805,0.32056195
110,0.0012019736,0.68064004,0.31935996
111,0.0011952475,0.6818353,0.3181647
112,0.0011885348,0.6830238,0.3169762
113,0.00117814,0.68420196,0.31579804
114,0.0011674415,0.6853694,0.31463063
115,0.0011555472,0.6865249,0.31347507
116,0.0011435943,0.6876685,0.3123315
117,0.0011411152,0.68880963,0.31119037
118,0.0011245081,0.68993413,0.31006587
119,0.001115673,0.6910498,0.3089502
120,0.0011025483,0.6921524,0.30784762
121,0.0010878721,0.6932402,0.30675977
122,0.0010841991,0.69432443,0.30567557
123,0.0010780137,0.69540244,0.30459756
124,0.0010643428,0.6964668,0.3035332
125,0.0010536666,0.6975205,0.3024795
126,0.0010482405,0.69856876,0.30143124
127,0.001042229,0.699611,0.300389
128,0.0010358979,0.7006469,0.29935312
129,0.0010290389,0.7016759,0.2983241
130,0.0010176315,0.7026935,0.29730648
131,0.0010061351,0.70369965,0.29630035
132,0.0010051465,0.7047048,0.29529518
133,0.0009984836,0.7057033,0.29429668
134,0.0009927335,0.70669603,0.29330397
135,0.0009811035,0.7076771,0.29232287
136,0.00096666533,0.7086438,0.2913562
137,0.00096197973,0.70960575,0.29039425
138,0.000953059,0.71055883,0.28944117
139,0.00094409497,0.7115029,0.2884971
140,0.0009336185,0.71243656,0.28756344
141,0.0009275244,0.71336406,0.28663594
142,0.0009171308,0.7142812,0.2857188
143,0.00090961443,0.7151908,0.28480917
144,0.0009054781,0.7160963,0.28390372
145,0.00089488574,0.7169912,0.2830088
146,0.0008842864,0.7178755,0.28212452
147,0.00088270055,0.71875817,0.28124183
148,0.00087705324,0.71963525,0.28036475
149,0.00087245303,0.7205077,0.27949232
150,0.0008663508,0.72137403,0.27862597
151,0.0008603575,0.72223437,0.27776563
152,0.0008517755,0.7230861,0.27691388
153,0.0008474081,0.7239335,0.27606648
154,0.0008416484,0.7247752,0.2752248
155,0.0008349168,0.72561014,0.27438986
156,0.0008308704,0.726441,0.27355897
157,0.0008220694,0.7272631,0.2727369
158,0.00081969827,0.7280828,0.27191722
159,0.0008078262,0.7288906,0.2711094
160,0.00080655364,0.72969717,0.27030283
161,0.00080067385,0.73049784,0.26950216
162,0.0007898049,0.73128766,0.26871234
163,0.0007856082,0.73207325,0.26792675
164,0.0007809996,0.73285425,0.26714575
165,0.00078018446,0.7336344,0.2663656
166,0.00077406387,0.7344085,0.2655915
167,0.00076631905,0.73517483,0.26482517
168,0.0007638433,0.73593867,0.26406133
169,0.000761217,0.7366999,0.26330012
170,0.0007580593,0.73745793,0.26254207
171,0.00075514946,0.73821306,0.26178694
172,0.0007504083,0.7389635,0.26103652
173,0.0007387967,0.7397023,0.26029772
174,0.0007366653,0.74043894,0.25956106
175,0.000731041,0.74117,0.25883
176,0.00072274473,0.74189276,0.25810724
177,0.0007197876,0.74261254,0.25738746
178,0.0007161525,0.7433287,0.2566713
179,0.000710789,0.7440395,0.25596052
180,0.00070574717,0.7447452,0.2552548
181,0.00070081477,0.745446,0.25455397
182,0.0006995376,0.74614555,0.25385445
183,0.00069509144,0.74684066,0.25315934
184,0.00068951596,0.74753016,0.25246984
185,0.0006842642,0.7482144,0.25178558
186,0.0006817033,0.7488961,0.25110388
187,0.0006804016,0.7495765,0.2504235
188,0.0006797834,0.7502563,0.2497437
189,0.0006713753,0.7509277,0.24907231
190,0.0006676776,0.7515954,0.24840462
191,0.0006646036,0.75225997,0.24774003
192,0.0006606861,0.7529206,0.24707937
193,0.0006571228,0.75357777,0.24642223
194,0.00065005565,0.7542278,0.24577218
195,0.00064959837,0.7548774,0.24512261
196,0.00064463797,0.755522,0.24447799
197,0.0006373984,0.7561594,0.24384058
198,0.00063582836,0.7567952,0.24320477
199,0.00063274824,0.757428,0.24257201
200,0.0006301077,0.7580581,0.24194193
201,0.00062667346,0.75868475,0.24131525
202,0.00062118657,0.75930595,0.24069405
203,0.00061557797,0.75992155,0.24007845
204,0.000614537,0.7605361,0.23946393
205,0.0006111242,0.7611472,0.2388528
206,0.000606179,0.7617534,0.23824662
207,0.000604365,0.7623578,0.23764223
208,0.00060030154,0.76295805,0.23704195
209,0.00059727876,0.76355535,0.23644465
210,0.00059419306,0.76414955,0.23585045
211,0.000592978,0.76474255,0.23525745
212,0.0005884437,0.765331,0.23466903
213,0.0005835704,0.76591456,0.23408544
214,0.0005823655,0.7664969,0.2335031
215,0.0005795564,0.76707643,0.23292357
216,0.0005777219,0.7676542,0.23234582
217,0.0005758646,0.76823,0.23176998
218,0.00057128107,0.76880133,0.23119867
219,0.0005637442,0.7693651,0.23063493
220,0.00056065235,0.7699257,0.23007429
221,0.0005586831,0.7704844,0.22951561
222,0.0005564118,0.7710408,0.2289592
223,0.00055174256,0.77159256,0.22840744
224,0.0005486926,0.7721413,0.22785872
225,0.0005482096,0.77268946,0.22731054
226,0.00054618914,0.7732357,0.22676432
227,0.0005441914,0.77377987,0.22622013
228,0.0005427578,0.7743226,0.22567737
229,0.00053643825,0.7748591,0.22514093
230,0.0005324008,0.77539146,0.22460854
231,0.0005317427,0.7759232,0.22407681
232,0.0005282271,0.7764514,0.22354859
233,0.0005252004,0.7769766,0.22302341
234,0.00052350626,0.7775001,0.2224999
235,0.00052198925,0.7780221,0.22197789
236,0.00052042096,0.7785425,0.22145748
237,0.0005176592,0.7790602,0.22093982
238,0.0005137403,0.7795739,0.22042608
239,0.0005118365,0.78008574,0.21991426
240,0.00050633604,0.7805921,0.21940792
241,0.0005056071,0.7810977,0.21890229
242,0.00050138315,0.7815991,0.2184009
243,0.0004992062,0.7820983,0.2179017
244,0.0004977646,0.78259605,0.21740395
245,0.00049572735,0.7830918,0.21690822
246,0.0004928225,0.7835846,0.2164154
247,0.00048982253,0.7840744,0.21592557
248,0.0004888972,0.7845633,0.2154367
249,0.00048571016,0.785049,0.21495098
250,0.00048448268,0.7855335,0.21446651
251,0.00048205597,0.78601557,0.21398443
252,0.00048186543,0.7864974,0.21350259
253,0.0004800785,0.78697747,0.21302253
254,0.0004777853,0.78745526,0.21254474
255,0.0004747252,0.78793,0.21206999
256,0.00047188014,0.7884019,0.2115981
257,0.000470529,0.7888724,0.21112758
258,0.0004685754,0.789341,0.21065903
259,0.00046734503,0.78980833,0.21019167
260,0.0004628586,0.79027116,0.20972884
261,0.00046232087,0.79073346,0.20926654
262,0.00045996893,0.7911934,0.20880657
263,0.00045794636,0.79165137,0.20834863
264,0.00045631191,0.7921077,0.2078923
265,0.00045374877,0.7925615,0.20743853
266,0.00045148894,0.793013,0.20698702
267,0.0004494269,0.7934624,0.2065376
268,0.00044579635,0.7939082,0.20609182
269,0.00044386642,0.79435205,0.20564795
270,0.00044268763,0.79479474,0.20520526
271,0.00044210342,0.7952368,0.20476317
272,0.00044187406,0.7956787,0.20432132
273,0.00043791562,0.7961166,0.20388341
274,0.0004370145,0.7965536,0.20344639
275,0.00043467636,0.7969883,0.20301169
276,0.00043206778,0.7974204,0.20257962
277,0.0004303279,0.7978507,0.20214927
278,0.00042985726,0.7982806,0.2017194
279,0.000428065,0.7987087,0.20129132
280,0.00042612216,0.7991348,0.20086521
281,0.00042387287,0.79955864,0.20044136
282,0.00042285616,0.7999815,0.20001853
283,0.00042149375,0.80040294,0.19959706
284,0.00041956184,0.8008225,0.1991775
285,0.000417186,0.80123967,0.19876033
286,0.00041532025,0.801655,0.198345
287,0.00041310958,0.8020681,0.19793189
288,0.00041286807,0.802481,0.197519
289,0.00040982795,0.80289084,0.19710916
290,0.00040737164,0.80329823,0.19670177
291,0.0004053314,0.80370355,0.19629645
292,0.00040466952,0.8041082,0.1958918
293,0.0004021886,0.8045104,0.19548959
