component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.17406216,0.17406216,0.82593787
2,0.074364595,0.24842677,0.7515732
3,0.04319865,0.2916254,0.7083746
4,0.035599694,0.3272251,0.6727749
5,0.025284134,0.35250923,0.64749074
6,0.021432025,0.37394124,0.62605876
7,0.018849319,0.39279056,0.60720944
8,0.016555937,0.4093465,0.59065354
9,0.0153088095,0.4246553,0.5753447
10,0.0146611845,0.43931648,0.5606835
11,0.013960401,0.45327687,0.5467231
12,0.012569081,0.46584594,0.53415406
13,0.011536962,0.4773829,0.5226171
14,0.01074556,0.48812845,0.5118716
15,0.009914218,0.49804267,0.5019573
16,0.009644217,0.5076869,0.4923131
17,0.009083318,0.51677024,0.48322976
18,0.008441263,0.5252115,0.4747885
19,0.007969516,0.533181,0.466819
20,0.007515791,0.5406968,0.4593032
21,0.007253507,0.5479503,0.45204967
22,0.0070040617,0.5549544,0.4450456
23,0.0069391266,0.5618935,0.43810648
24,0.0065397443,0.5684333,0.43156672
25,0.0063743275,0.5748076,0.42519242
26,0.00621952,0.5810271,0.4189729
27,0.0058135195,0.5868406,0.41315937
28,0.0057913098,0.59263194,0.40736806
29,0.0055536237,0.59818554,0.40181446
30,0.0054101394,0.6035957,0.39640433
31,0.0052373717,0.6088331,0.39116693
32,0.005161715,0.6139948,0.38600522
33,0.0049817143,0.6189765,0.38102353
34,0.0048693786,0.6238459,0.37615412
35,0.0047490676,0.62859493,0.37140507
36,0.004562602,0.63315755,0.36684245
37,0.004499013,0.63765657,0.36234343
38,0.0044485657,0.64210516,0.35789484
39,0.0043030456,0.6464082,0.3535918
40,0.0042853877,0.6506936,0.3493064
41,0.0041616284,0.65485525,0.34514475
42,0.0040456704,0.6589009,0.34109908
43,0.0038583507,0.66275924,0.33724076
44,0.0038269272,0.66658616,0.33341384
45,0.003734393,0.6703206,0.32967943
46,0.003708085,0.67402864,0.32597136
47,0.0036486397,0.6776773,0.32232273
48,0.0035908222,0.6812681,0.3187319
49,0.0034674301,0.68473554,0.31526446
50,0.0033617166,0.68809724,0.31190276
51,0.0033157868,0.69141304,0.30858696
52,0.003240896,0.6946539,0.30534607
53,0.0031563023,0.69781023,0.30218977
54,0.0031393538,0.7009496,0.2990504
55,0.003095176,0.70404476,0.29595524
56,0.0030591323,0.7071039,0.2928961
57,0.003019584,0.7101235,0.28987652
58,0.0029728208,0.7130963,0.28690368
59,0.0028985012,0.71599483,0.28400517
60,0.0028143094,0.7188091,0.28119087
61,0.0027802717,0.7215894,0.2784106
62,0.0027533562,0.72434276,0.27565724
63,0.0027039913,0.7270467,0.27295327
64,0.002693126,0.72973984,0.27026016
65,0.0026075903,0.7323474,0.26765257
66,0.0025775586,0.734925,0.26507503
67,0.0025575317,0.7374825,0.2625175
68,0.0025345138,0.740017,0.259983
69,0.00249394,0.7425109,0.2574891
70,0.0024553123,0.7449662,0.2550338
71,0.0024227141,0.7473889,0.2526111
72,0.0023910839,0.74978,0.25022
73,0.0023370502,0.75211704,0.24788296
74,0.0023160551,0.7544331,0.2455669
75,0.0023087936,0.7567419,0.24325812
76,0.002263042,0.75900495,0.24099505
77,0.0022090506,0.761214,0.23878598
78,0.0021768936,0.7633909,0.2366091
79,0.002157007,0.76554793,0.23445207
80,0.0021326889,0.76768064,0.23231936
81,0.002114758,0.7697954,0.23020458
82,0.0020633528,0.77185875,0.22814125
83,0.0020212708,0.77388,0.22612
84,0.0020038655,0.77588385,0.22411615
85,0.0019691726,0.777853,0.22214699
86,0.0019461326,0.77979916,0.22020084
87,0.0019146051,0.7817138,0.21828622
88,0.0019017658,0.7836155,0.21638447
89,0.0018731542,0.78548867,0.21451133
90,0.0018381514,0.7873268,0.21267319
91,0.0018233662,0.7891502,0.21084982
92,0.0018022882,0.79095244,0.20904756
93,0.0017774043,0.79272985,0.20727015
94,0.0017704958,0.79450035,0.20549965
95,0.0017571376,0.7962575,0.2037425
96,0.0017370541,0.79799455,0.20200545
97,0.0016871688,0.7996817,0.20031828
98,0.0016672142,0.8013489,0.19865108
99,0.0016533443,0.8030023,0.1969977
100,0.0016335681,0.8046359,0.19536412
101,0.0016096042,0.8062455,0.1937545
102,0.0016036854,0.80784917,0.19215083
103,0.0015626438,0.8094118,0.19058818
104,0.0015498826,0.8109617,0.18903828
105,0.0015454809,0.8125072,0.18749279
106,0.0015323978,0.8140396,0.18596041
107,0.0015209907,0.8155606,0.18443942
108,0.001501293,0.8170619,0.1829381
109,0.0014952493,0.81855714,0.18144286
110,0.0014821662,0.82003933,0.17996067
111,0.001456393,0.8214957,0.17850429
112,0.0014459915,0.8229417,0.17705828
113,0.001414542,0.82435626,0.17564374
114,0.0014083222,0.8257646,0.1742354
115,0.0013800899,0.8271447,0.17285532
116,0.0013551742,0.82849985,0.17150015
117,0.0013500622,0.8298499,0.1701501
118,0.0013417447,0.83119166,0.16880834
119,0.0013268633,0.8325185,0.16748148
120,0.0013151298,0.83383363,0.16616637
121,0.0013012693,0.8351349,0.16486508
122,0.0012826093,0.83641756,0.16358244
123,0.001270889,0.83768845,0.16231155
124,0.0012533385,0.8389418,0.16105819
125,0.001241319,0.84018314,0.15981686
126,0.0012215818,0.84140474,0.15859526
127,0.0012144811,0.84261924,0.15738076
128,0.0012076675,0.8438269,0.15617311
129,0.0011931547,0.84502006,0.15497994
130,0.0011910262,0.8462111,0.15378892
131,0.0011700224,0.8473811,0.15261889
132,0.0011636849,0.8485448,0.15145522
133,0.0011371936,0.849682,0.15031803
134,0.0011255924,0.85080755,0.14919245
135,0.0011213779,0.85192895,0.14807105
136,0.0011100139,0.85303897,0.14696103
137,0.0010928622,0.8541318,0.14586818
138,0.0010857482,0.8552176,0.14478242
139,0.0010839648,0.85630155,0.14369845
140,0.0010679157,0.8573695,0.14263052
141,0.0010469801,0.85841644,0.14158356
142,0.0010452635,0.8594617,0.14053828
143,0.0010381604,0.86049986,0.13950014
144,0.0010335166,0.8615334,0.1384666
145,0.0010256018,0.862559,0.13744098
146,0.0010112635,0.8635703,0.13642973
147,0.0010064202,0.8645767,0.1354233
148,0.0010001194,0.8655768,0.1344232
149,0.0009872846,0.8665641,0.1334359
