component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.042641107,0.042641107,0.9573589
2,0.033781692,0.076422796,0.9235772
3,0.027151695,0.10357449,0.8964255
4,0.025700519,0.12927501,0.870725
5,0.0227311,0.1520061,0.8479939
6,0.021529766,0.17353587,0.8264641
7,0.020689469,0.19422534,0.8057747
8,0.018134316,0.21235965,0.78764033
9,0.017512554,0.22987221,0.7701278
10,0.016037943,0.24591015,0.75408983
11,0.015674677,0.26158482,0.7384152
12,0.014806427,0.27639124,0.72360873
13,0.014252889,0.29064414,0.70935583
14,0.013296937,0.30394107,0.6960589
15,0.011719504,0.31566057,0.6843394
16,0.011051746,0.3267123,0.6732877
17,0.01052374,0.33723605,0.66276395
18,0.010472714,0.34770876,0.65229124
19,0.009708359,0.3574171,0.6425829
20,0.009600095,0.3670172,0.6329828
21,0.0093198875,0.3763371,0.6236629
22,0.00873244,0.38506955,0.61493045
23,0.00859669,0.39366624,0.60633373
24,0.008393993,0.40206024,0.5979397
25,0.0081413,0.41020155,0.58979845
26,0.00812844,0.41832998,0.58167005
27,0.007737571,0.42606756,0.5739324
28,0.0075364904,0.43360406,0.56639594
29,0.007308427,0.4409125,0.5590875
30,0.0070241774,0.44793665,0.55206335
31,0.0068925302,0.4548292,0.5451708
32,0.006802877,0.46163207,0.5383679
33,0.006716395,0.46834847,0.5316515
34,0.006538853,0.4748873,0.5251127
35,0.0063292333,0.48121655,0.51878345
36,0.006282758,0.4874993,0.5125007
37,0.0062195123,0.4937188,0.5062812
38,0.0058575673,0.49957636,0.50042367
39,0.0057930406,0.5053694,0.49463058
40,0.005750623,0.51112,0.48887998
41,0.0055968915,0.5167169,0.4832831
42,0.0053971414,0.52211404,0.47788596
43,0.005296008,0.52741003,0.47258997
44,0.005251321,0.5326614,0.46733862
45,0.0051656705,0.5378271,0.46217293
46,0.005097414,0.54292446,0.45707554
47,0.0049881586,0.5479126,0.4520874
48,0.004816912,0.5527295,0.4472705
49,0.0047168657,0.55744636,0.44255364
50,0.0046478393,0.5620942,0.4379058
51,0.004603291,0.5666975,0.43330252
52,0.004500978,0.57119846,0.42880154
53,0.0043889335,0.5755874,0.4244126
54,0.004342061,0.5799295,0.42007053
55,0.004280267,0.58420974,0.41579026
56,0.004155465,0.5883652,0.4116348
57,0.004094406,0.5924596,0.40754038
58,0.0040393597,0.59649897,0.40350103
59,0.003976051,0.600475,0.399525
60,0.0038867895,0.60436183,0.39563817
61,0.0038335286,0.60819536,0.39180464
62,0.0038020278,0.61199737,0.38800263
63,0.0037791363,0.6157765,0.38422352
64,0.0037232186,0.6194997,0.38050032
65,0.0036590511,0.62315875,0.37684125
66,0.003562376,0.62672114,0.37327886
67,0.0035291472,0.6302503,0.36974972
68,0.0034526545,0.63370293,0.36629707
69,0.0034430395,0.637146,0.362854
70,0.003404273,0.64055026,0.35944974
71,0.0033207838,0.64387107,0.35612893
72,0.003300656,0.64717174,0.35282826
73,0.0032345243,0.65040624,0.34959376
74,0.0032155383,0.6536218,0.3463782
75,0.003188828,0.65681064,0.34318936
76,0.0031620064,0.65997267,0.34002733
77,0.0031001775,0.6630728,0.33692718
78,0.0030506712,0.6661235,0.3338765
79,0.0030091156,0.66913265,0.33086735
80,0.0029432185,0.67207587,0.32792413
81,0.0029057052,0.6749816,0.3250184
82,0.0028769143,0.67785853,0.32214147
83,0.0028436873,0.6807022,0.3192978
84,0.0028165227,0.6835187,0.3164813
85,0.0027516284,0.68627036,0.31372964
86,0.0027011568,0.6889715,0.31102848
87,0.0026889287,0.69166046,0.30833954
88,0.0026637586,0.6943242,0.3056758
89,0.0026086664,0.69693285,0.30306715
90,0.0025841768,0.699517,0.300483
91,0.002558449,0.7020755,0.29792452
92,0.002539105,0.7046146,0.29538542
93,0.002507725,0.7071223,0.29287767
94,0.0024890343,0.70961136,0.29038864
95,0.0024408086,0.71205217,0.28794783
96,0.002420191,0.71447235,0.28552765
97,0.002407685,0.71688,0.28311998
98,0.0023802298,0.7192603,0.28073972
99,0.002361758,0.72162205,0.27837795
100,0.0023299006,0.72395194,0.27604806
101,0.0023177054,0.72626966,0.27373034
102,0.0022938508,0.7285635,0.2714365
103,0.0022466183,0.7308101,0.2691899
104,0.002225429,0.73303556,0.26696444
105,0.0021817898,0.73521733,0.26478267
106,0.0021752608,0.7373926,0.2626074
107,0.0021648654,0.73955745,0.26044255
108,0.0021453053,0.74170274,0.25829726
109,0.002122081,0.74382484,0.25617516
110,0.0021084768,0.7459333,0.2540667
111,0.0020815462,0.74801487,0.25198513
112,0.0020594208,0.75007427,0.24992573
113,0.0020226948,0.75209695,0.24790305
114,0.0020052157,0.7541022,0.24589783
115,0.0019797417,0.75608194,0.24391806
116,0.0019679412,0.7580499,0.2419501
117,0.001940269,0.75999016,0.24000984
118,0.0019365696,0.7619267,0.23807329
119,0.0019305544,0.76385725,0.23614275
120,0.0018731686,0.76573044,0.23426956
121,0.0018600841,0.7675905,0.23240948
122,0.0018427642,0.76943326,0.23056674
123,0.0018361119,0.7712694,0.22873062
124,0.0018230287,0.7730924,0.22690761
125,0.0018028594,0.77489525,0.22510475
126,0.0017801041,0.77667534,0.22332466
127,0.0017720284,0.7784474,0.22155261
128,0.0017408327,0.7801882,0.2198118
129,0.0017354138,0.7819236,0.21807641
130,0.0017120861,0.7836357,0.21636432
131,0.001697296,0.785333,0.21466702
132,0.0016660122,0.786999,0.21300101
133,0.0016595656,0.78865856,0.21134144
134,0.0016500631,0.7903086,0.2096914
135,0.00163563,0.7919442,0.2080558
136,0.0016287245,0.7935729,0.2064271
137,0.0016002483,0.79517317,0.20482683
138,0.0015887781,0.79676193,0.20323807
139,0.001585106,0.79834706,0.20165294
140,0.0015541601,0.7999012,0.20009881
141,0.0015379398,0.8014391,0.1985609
142,0.001527624,0.8029667,0.19703329
143,0.0015124464,0.8044792,0.19552082
144,0.0014892566,0.80596846,0.19403154
145,0.0014826708,0.8074511,0.19254887
146,0.0014724528,0.8089236,0.1910764
147,0.0014658672,0.81038946,0.18961054
148,0.0014517156,0.8118412,0.18815881
149,0.0014377472,0.8132789,0.18672109
150,0.0014329399,0.81471187,0.18528813
151,0.0014172458,0.8161291,0.18387091
152,0.0014111631,0.8175402,0.18245977
153,0.0013936341,0.81893384,0.18106616
154,0.0013878135,0.8203217,0.17967832
155,0.001366312,0.821688,0.178312
156,0.0013511583,0.8230392,0.17696083
157,0.0013479012,0.8243871,0.17561293
158,0.001339732,0.8257268,0.1742732
159,0.0013221678,0.82704896,0.17295104
160,0.0013203232,0.82836926,0.17163074
161,0.001304645,0.8296739,0.17032611
162,0.001299664,0.83097357,0.16902643
163,0.001292925,0.8322665,0.16773349
164,0.0012813311,0.83354783,0.16645217
165,0.0012630671,0.8348109,0.16518909
166,0.0012502366,0.8360611,0.16393888
167,0.0012471509,0.8373083,0.16269171
168,0.0012333273,0.8385416,0.16145837
169,0.0012290837,0.83977073,0.16022927
170,0.0012104146,0.8409811,0.15901887
171,0.0011976513,0.84217876,0.15782124
172,0.0011955376,0.8433743,0.15662569
173,0.0011789327,0.84455323,0.15544677
174,0.0011725473,0.8457258,0.15427423
175,0.0011685078,0.84689426,0.15310574
176,0.0011574511,0.8480517,0.15194827
177,0.0011497015,0.84920144,0.15079856
178,0.0011386286,0.85034007,0.14965993
179,0.0011298711,0.85146993,0.14853007
180,0.0011197153,0.85258967,0.14741033
181,0.0011131843,0.85370284,0.14629716
182,0.0011082665,0.85481113,0.14518887
183,0.0010996587,0.8559108,0.14408922
184,0.0010897281,0.8570005,0.14299947
185,0.0010774211,0.85807794,0.14192206
186,0.0010689369,0.8591469,0.1408531
187,0.0010637135,0.8602106,0.1397894
188,0.0010516746,0.86126226,0.13873774
189,0.0010432994,0.8623056,0.13769442
190,0.0010385347,0.86334413,0.13665587
191,0.001031121,0.86437523,0.13562477
192,0.0010251876,0.86540043,0.13459957
193,0.0010181841,0.8664186,0.1335814
194,0.0010149822,0.8674336,0.13256639
195,0.0009975659,0.86843115,0.13156885
196,0.0009888309,0.86942,0.13058001
197,0.0009770643,0.87039703,0.12960297
198,0.0009699977,0.87136704,0.12863296
199,0.00096405094,0.8723311,0.12766892
200,0.00095742143,0.8732885,0.12671149
201,0.0009562401,0.87424475,0.12575525
202,0.0009480946,0.8751928,0.12480718
203,0.00093429256,0.8761271,0.123872876
204,0.00092678494,0.8770539,0.12294608
205,0.0009222503,0.8779762,0.12202382
206,0.00091658626,0.8788928,0.12110722
207,0.00091131276,0.8798041,0.120195925
208,0.000905197,0.8807093,0.11929071
209,0.0008996419,0.8816089,0.1183911
210,0.0008927866,0.88250166,0.11749834
211,0.0008804091,0.8833821,0.11661792
212,0.0008777714,0.8842599,0.11574012
213,0.0008712776,0.8851312,0.11486882
214,0.00086687464,0.8859981,0.11400193
215,0.000855469,0.8868535,0.113146484
216,0.0008515316,0.887705,0.11229497
217,0.0008401399,0.88854516,0.111454844
218,0.0008337193,0.88937885,0.110621154
219,0.0008321113,0.890211,0.109789014
220,0.0008223826,0.89103335,0.10896665
221,0.000819968,0.89185333,0.10814667
222,0.000816067,0.8926694,0.10733062
223,0.0008077667,0.89347714,0.10652286
224,0.0007928533,0.89427,0.10573
225,0.0007905381,0.89506054,0.10493946
226,0.0007878491,0.8958484,0.10415161
227,0.0007750047,0.8966234,0.10337663
228,0.00077096844,0.89739436,0.10260564
229,0.00076654606,0.89816093,0.101839066
230,0.00076114474,0.8989221,0.101077914
231,0.00075897784,0.8996811,0.10031891
232,0.00075022306,0.90043133,0.099568665
233,0.0007494339,0.90118074,0.098819256
234,0.0007421539,0.9019229,0.09807712
235,0.0007304059,0.9026533,0.09734672
236,0.0007272591,0.9033805,0.09661949
237,0.000724293,0.9041048,0.09589517
238,0.0007201223,0.904825,0.09517503
239,0.0007100705,0.90553504,0.09446496
240,0.0007075837,0.9062426,0.09375739
241,0.0006999052,0.9069425,0.09305751
242,0.000698264,0.90764076,0.092359245
243,0.0006851547,0.9083259,0.09167409
244,0.0006815384,0.90900743,0.09099257
245,0.0006734815,0.9096809,0.0903191
246,0.0006651705,0.9103461,0.08965391
247,0.0006590815,0.9110052,0.0889948
248,0.00064740906,0.9116526,0.088347375
249,0.0006454748,0.9122981,0.08770192
250,0.0006405262,0.9129386,0.087061405
251,0.0006387312,0.9135773,0.08642268
252,0.00063616317,0.9142135,0.08578652
253,0.0006301481,0.9148436,0.08515638
254,0.00062749477,0.91547114,0.08452886
255,0.0006205928,0.91609174,0.08390826
256,0.00061766506,0.9167094,0.08329058
257,0.00060861744,0.91731805,0.082681954
258,0.0006064247,0.91792446,0.082075536
259,0.0005964241,0.91852087,0.08147913
260,0.00059301266,0.9191139,0.080886126
261,0.00059081527,0.9197047,0.080295324
262,0.00058765756,0.9202923,0.07970768
263,0.0005839323,0.92087626,0.079123735
264,0.0005759333,0.9214522,0.078547776
265,0.0005707459,0.922023,0.077977
266,0.00056906533,0.92259204,0.077407956
267,0.00056608097,0.9231581,0.07684189
268,0.0005599821,0.9237181,0.076281905
269,0.0005540522,0.9242721,0.07572788
270,0.00055322814,0.9248254,0.07517463
271,0.0005421548,0.92536753,0.074632466
272,0.0005411018,0.9259086,0.074091375
273,0.00053666416,0.9264453,0.073554695
274,0.0005319937,0.9269773,0.07302272
275,0.0005275644,0.92750484,0.07249516
276,0.00052003225,0.9280249,0.07197511
277,0.0005155233,0.9285404,0.07145959
278,0.0005105995,0.929051,0.07094902
279,0.0005063489,0.9295573,0.07044268
280,0.000503455,0.9300608,0.069939196
281,0.0004979145,0.93055874,0.06944126
282,0.0004960843,0.93105483,0.06894517
283,0.0004890766,0.9315439,0.06845611
284,0.00048718817,0.9320311,0.067968905
285,0.0004838843,0.93251497,0.067485034
286,0.00047972536,0.93299466,0.06700534
287,0.00047685398,0.9334715,0.0665285
288,0.0004716368,0.93394315,0.06605685
289,0.00046866696,0.9344118,0.065588176
290,0.00046195436,0.93487376,0.06512624
291,0.00045887142,0.93533266,0.064667344
292,0.00045313226,0.9357858,0.06421423
293,0.00045168275,0.93623745,0.063762546
294,0.00045026356,0.9366877,0.06331229
295,0.0004436191,0.93713135,0.062868655
296,0.00044006502,0.9375714,0.062428594
297,0.0004340114,0.93800545,0.061994553
298,0.0004315985,0.93843704,0.061562955
299,0.00042888062,0.9388659,0.0611341
300,0.0004276838,0.93929356,0.060706437
301,0.00042345613,0.939717,0.060283005
302,0.00041917549,0.9401362,0.059863806
303,0.0004147286,0.9405509,0.059449077
304,0.0004071827,0.9409581,0.059041917
305,0.0004048303,0.9413629,0.058637083
306,0.00040045023,0.94176334,0.05823666
307,0.0003958728,0.94215924,0.057840765
308,0.0003949822,0.94255424,0.057445765
309,0.00038913745,0.9429434,0.057056606
310,0.00038743828,0.9433308,0.056669176
311,0.00038332646,0.94371414,0.05628586
312,0.00038073963,0.9440949,0.055905104
313,0.0003743451,0.9444692,0.055530787
314,0.00037143804,0.94484067,0.05515933
315,0.00036994083,0.94521064,0.054789364
316,0.00036593102,0.94557655,0.05442345
317,0.00036385385,0.9459404,0.054059625
318,0.00036188425,0.94630224,0.053697765
319,0.00035903716,0.9466613,0.053338706
320,0.00035585044,0.94701713,0.052982867
321,0.00035482948,0.94737196,0.05262804
322,0.00035294285,0.9477249,0.05227512
323,0.00034553735,0.9480704,0.051929593
324,0.00034434718,0.94841474,0.051585257
325,0.00034054794,0.94875526,0.051244736
326,0.00034046877,0.9490957,0.050904274
327,0.00033525814,0.949431,0.050568998
328,0.0003313969,0.9497624,0.050237596
329,0.00032841158,0.9500908,0.049909174
330,0.0003281619,0.950419,0.04958099
331,0.0003268208,0.9507458,0.04925418
332,0.00032219803,0.95106804,0.048931956
333,0.00032055896,0.9513886,0.048611403
334,0.00031576294,0.9517044,0.048295617
335,0.00031527577,0.95201963,0.04798037
336,0.00030974552,0.9523294,0.047670603
337,0.00030885558,0.95263827,0.04736173
338,0.0003060073,0.9529443,0.04705572
339,0.0003024323,0.9532467,0.046753287
340,0.000300001,0.9535467,0.046453297
341,0.00029848857,0.9538452,0.046154797
342,0.0002959072,0.9541411,0.04585892
343,0.00029189253,0.95443296,0.045567036
344,0.000288973,0.9547219,0.045278072
345,0.00028781596,0.95500976,0.04499024
346,0.00028583768,0.9552956,0.044704378
347,0.00028469917,0.9555803,0.044419706
348,0.0002837887,0.9558641,0.04413593
349,0.00028137557,0.95614547,0.043854535
350,0.00027728477,0.95642275,0.043577254
351,0.0002750956,0.9566978,0.04330218
352,0.00027382575,0.95697165,0.043028355
353,0.0002723424,0.957244,0.04275602
354,0.00027038174,0.95751435,0.042485654
355,0.00026825818,0.9577826,0.042217374
356,0.00026712345,0.9580498,0.041950226
357,0.00026561797,0.9583154,0.041684628
358,0.00026282656,0.95857817,0.04142183
359,0.00026103202,0.9588392,0.041160822
360,0.00025905442,0.9590982,0.04090178
361,0.00025750557,0.9593557,0.040644288
362,0.00025716962,0.9596129,0.040387094
363,0.00025418412,0.9598671,0.04013288
364,0.00025209296,0.9601192,0.039880812
365,0.00025032612,0.9603695,0.039630473
366,0.00024828312,0.9606178,0.03938222
367,0.0002463742,0.9608641,0.039135873
368,0.00024438693,0.9611085,0.038891494
369,0.00024305201,0.9613516,0.038648427
370,0.00024041056,0.96159196,0.03840804
371,0.0002390112,0.961831,0.038169026
372,0.00023854402,0.9620695,0.03793049
373,0.00023667181,0.9623062,0.0376938
374,0.00023532684,0.9625415,0.03745848
375,0.00023273428,0.9627743,0.037225723
376,0.00023115469,0.9630054,0.036994576
377,0.00022949727,0.9632349,0.0367651
378,0.00022811597,0.963463,0.03653699
379,0.0002260148,0.963689,0.03631097
380,0.00022340559,0.9639124,0.036087573
381,0.0002227044,0.9641351,0.03586489
382,0.00022131437,0.9643564,0.035643578
383,0.0002188324,0.96457523,0.03542477
384,0.00021823053,0.96479344,0.035206556
385,0.00021763568,0.96501106,0.03498894
386,0.0002161469,0.9652272,0.034772813
387,0.00021433565,0.9654415,0.034558475
388,0.00021253621,0.9656541,0.034345925
389,0.00021146028,0.96586555,0.034134448
390,0.000210087,0.96607566,0.03392434
391,0.00020977428,0.9662854,0.033714592
392,0.00020779743,0.9664932,0.03350681
393,0.00020620885,0.9666994,0.03330058
394,0.00020425995,0.9669037,0.033096313
395,0.00020333588,0.967107,0.032893002
396,0.00020191749,0.96730894,0.03269106
397,0.00020049856,0.96750945,0.03249055
398,0.00019902964,0.96770847,0.03229153
399,0.00019837482,0.96790683,0.032093167
400,0.0001965819,0.9681034,0.03189659
401,0.00019601695,0.96829945,0.03170055
402,0.0001955254,0.96849495,0.03150505
403,0.00019324393,0.9686882,0.03131181
404,0.00019222204,0.9688804,0.031119585
405,0.00019188027,0.9690723,0.030927718
406,0.00019084325,0.96926314,0.030736864
407,0.00018829253,0.9694514,0.030548573
408,0.00018806249,0.9696395,0.03036052
409,0.00018501567,0.9698245,0.030175507
410,0.00018449246,0.97000897,0.02999103
411,0.00018393341,0.9701929,0.02980709
412,0.00018291318,0.97037584,0.029624164
413,0.00018208784,0.9705579,0.029442072
414,0.00018162529,0.97073954,0.029260457
415,0.00017822947,0.97091776,0.029082239
416,0.00017742756,0.9710952,0.028904796
417,0.00017631761,0.9712715,0.028728485
418,0.00017532808,0.9714469,0.028553128
419,0.00017431098,0.97162116,0.028378844
420,0.00017274579,0.9717939,0.02820611
421,0.00017157792,0.9719655,0.028034508
422,0.00017117806,0.9721367,0.027863324
423,0.00017107205,0.97230774,0.027692258
424,0.00016909627,0.97247684,0.02752316
425,0.00016816802,0.972645,0.027355015
426,0.0001667795,0.97281176,0.027188241
427,0.00016585634,0.97297764,0.027022362
428,0.00016485325,0.9731425,0.026857495
429,0.00016417868,0.97330666,0.026693344
430,0.00016379655,0.97347045,0.02652955
431,0.0001627298,0.97363317,0.02636683
432,0.0001617847,0.97379494,0.026205063
433,0.00016083555,0.97395575,0.02604425
434,0.00016022229,0.97411597,0.025884032
435,0.00015907375,0.97427505,0.025724947
436,0.00015798057,0.974433,0.025566995
437,0.00015691249,0.97458994,0.025410056
438,0.0001565624,0.9747465,0.025253475
439,0.00015608192,0.97490263,0.02509737
440,0.00015582833,0.97505844,0.024941564
441,0.00015507921,0.9752135,0.024786472
442,0.00015407587,0.9753676,0.024632394
443,0.00015302426,0.9755206,0.02447939
444,0.00015233012,0.97567296,0.02432704
445,0.0001518537,0.97582483,0.024175167
446,0.00015069511,0.9759755,0.024024487
447,0.00014972215,0.97612524,0.02387476
448,0.00014940418,0.97627467,0.02372533
449,0.00014821583,0.9764229,0.023577094
450,0.00014785097,0.9765708,0.023429215
451,0.00014711882,0.9767179,0.02328211
452,0.00014596742,0.97686386,0.023136139
453,0.00014552815,0.9770094,0.022990584
454,0.00014524584,0.9771547,0.022845328
455,0.00014407138,0.97729874,0.022701263
456,0.00014292527,0.97744167,0.022558331
457,0.00014224988,0.97758394,0.022416055
