component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.040424936,0.040424936,0.95957506
2,0.031491466,0.0719164,0.9280836
3,0.028263595,0.10018,0.89981997
4,0.025479987,0.12565999,0.87434
5,0.021608943,0.14726894,0.85273105
6,0.019522866,0.1667918,0.8332082
7,0.019351844,0.18614364,0.81385636
8,0.017575314,0.20371895,0.79628104
9,0.016722476,0.22044142,0.7795586
10,0.015660144,0.23610157,0.76389843
11,0.014357951,0.25045952,0.74954045
12,0.014105405,0.26456493,0.73543507
13,0.013862111,0.27842703,0.721573
14,0.012392517,0.29081956,0.7091805
15,0.012094526,0.30291408,0.6970859
16,0.011300575,0.31421465,0.68578535
17,0.010884786,0.32509944,0.67490053
18,0.010286382,0.33538583,0.6646142
19,0.009999401,0.34538522,0.6546148
20,0.0097243795,0.3551096,0.6448904
21,0.009539496,0.3646491,0.63535094
22,0.009174215,0.37382331,0.6261767
23,0.009126024,0.38294935,0.61705065
24,0.008485312,0.39143467,0.60856533
25,0.008268029,0.3997027,0.60029733
26,0.008003637,0.40770632,0.5922937
27,0.007527678,0.415234,0.58476603
28,0.007478072,0.42271206,0.5772879
29,0.0073034107,0.43001547,0.56998456
30,0.0071652425,0.43718073,0.56281924
31,0.007093694,0.44427443,0.5557256
32,0.006860358,0.45113477,0.5488652
33,0.0067004035,0.45783517,0.5421648
34,0.006525093,0.46436027,0.53563976
35,0.0064515406,0.4708118,0.52918816
36,0.006261965,0.4770738,0.5229262
37,0.00618755,0.48326135,0.51673865
38,0.0061350176,0.48939636,0.51060367
39,0.005883329,0.4952797,0.50472033
40,0.0057534263,0.5010331,0.49896687
41,0.0056895176,0.5067226,0.49327737
42,0.005644828,0.5123675,0.4876325
43,0.0055291816,0.51789665,0.48210335
44,0.0054632844,0.52335995,0.47664005
45,0.0054279095,0.52878785,0.47121215
46,0.0053401734,0.534128,0.465872
47,0.005240203,0.5393682,0.4606318
48,0.005083155,0.54445136,0.45554864
49,0.0050022756,0.5494536,0.45054638
50,0.004880727,0.55433434,0.44566566
51,0.004857463,0.5591918,0.44080818
52,0.0047662524,0.56395805,0.43604195
53,0.0047488217,0.56870687,0.43129313
54,0.0046522515,0.57335913,0.42664087
55,0.0046033813,0.5779625,0.42203748
56,0.004536333,0.58249885,0.41750115
57,0.004451077,0.58694994,0.41305006
58,0.0043258555,0.5912758,0.4087242
59,0.0042548603,0.5955307,0.4044693
60,0.0042187246,0.5997494,0.4002506
61,0.004181282,0.60393065,0.39606935
62,0.0041438267,0.6080745,0.3919255
63,0.0041041174,0.6121786,0.38782138
64,0.0040524383,0.6162311,0.38376892
65,0.0040224,0.6202535,0.3797465
66,0.0039566956,0.6242102,0.37578982
67,0.0038977067,0.6281079,0.3718921
68,0.0038360984,0.631944,0.368056
69,0.0037579765,0.63570195,0.36429805
70,0.0037248135,0.63942677,0.36057323
71,0.003652996,0.64307976,0.35692024
72,0.0036353914,0.64671516,0.35328484
73,0.0035740123,0.6502892,0.34971082
74,0.0035456263,0.6538348,0.34616518
75,0.0035255933,0.65736043,0.34263957
76,0.0034205632,0.660781,0.33921897
77,0.0033750935,0.66415614,0.33584386
78,0.0033580929,0.6675142,0.3324858
79,0.0033251585,0.67083937,0.32916063
80,0.0032789398,0.6741183,0.32588172
81,0.0032134,0.6773317,0.3226683
82,0.0031996795,0.6805314,0.31946862
83,0.0031859828,0.68371737,0.31628263
84,0.0031460223,0.68686336,0.31313664
85,0.003104101,0.68996745,0.31003255
86,0.00306532,0.6930328,0.3069672
87,0.0030533671,0.69608617,0.30391383
88,0.0030236223,0.6991098,0.3008902
89,0.002968482,0.7020783,0.29792172
90,0.0029462082,0.7050245,0.29497552
91,0.0029042829,0.7079288,0.29207122
92,0.0028948258,0.7108236,0.2891764
93,0.0028551493,0.7136787,0.28632128
94,0.0028422512,0.71652097,0.28347903
95,0.0028033706,0.71932435,0.28067565
96,0.002778735,0.72210306,0.27789694
97,0.0027337002,0.72483677,0.27516323
98,0.002703221,0.72754,0.27245998
99,0.0026902526,0.7302303,0.26976973
100,0.0026472837,0.73287755,0.26712245
101,0.0026167897,0.7354943,0.26450568
102,0.0026044196,0.73809874,0.26190126
103,0.002571711,0.74067044,0.25932956
104,0.0025637122,0.74323416,0.25676584
105,0.0025296907,0.74576384,0.25423616
106,0.0025085313,0.74827236,0.25172764
107,0.0024907696,0.7507631,0.24923688
108,0.0024610849,0.7532242,0.2467758
109,0.0024327694,0.75565696,0.24434304
110,0.002425952,0.7580829,0.24191707
111,0.0023918403,0.76047474,0.23952526
112,0.002366991,0.76284176,0.23715824
113,0.0023345642,0.7651763,0.2348237
114,0.0023114914,0.76748776,0.23251224
115,0.0022806716,0.7697684,0.23023158
116,0.002280035,0.7720485,0.22795153
117,0.0022548619,0.7743033,0.22569668
118,0.0022350461,0.7765384,0.22346163
119,0.0022099896,0.77874833,0.22125167
120,0.002183398,0.7809317,0.21906829
121,0.0021738661,0.78310555,0.21689445
122,0.0021548367,0.7852604,0.21473962
123,0.0021369236,0.7873973,0.21260267
124,0.002126462,0.7895238,0.21047622
125,0.002095064,0.7916188,0.20838118
126,0.0020700481,0.7936889,0.2063111
127,0.0020614746,0.7957504,0.20424962
128,0.00204383,0.7977942,0.20220578
129,0.0020157564,0.79981,0.20019001
130,0.001998813,0.80180883,0.19819117
131,0.0019855583,0.8037944,0.19620562
132,0.001969711,0.8057641,0.19423592
133,0.0019426689,0.8077068,0.19229323
134,0.0019278608,0.8096346,0.19036537
135,0.0019096088,0.81154424,0.18845576
136,0.0018809673,0.8134252,0.18657482
137,0.0018737873,0.815299,0.18470103
138,0.0018507187,0.8171497,0.1828503
139,0.0018414619,0.8189912,0.18100882
140,0.0018259075,0.8208171,0.17918289
141,0.0018152477,0.8226324,0.17736763
142,0.0018114729,0.8244438,0.17555618
143,0.0017936258,0.82623744,0.17376256
144,0.0017840838,0.8280215,0.17197847
145,0.001769853,0.82979137,0.17020863
146,0.0017665806,0.8315579,0.16844207
147,0.0017447082,0.8333026,0.16669738
148,0.0017248406,0.83502746,0.16497254
149,0.0017206556,0.8367481,0.16325188
