component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.05969428,0.05969428,0.9403057
2,0.054388672,0.11408295,0.88591707
3,0.03604765,0.1501306,0.8498694
4,0.030405905,0.18053651,0.8194635
5,0.023959853,0.20449635,0.7955036
6,0.023052193,0.22754854,0.77245146
7,0.021366604,0.24891514,0.75108486
8,0.019298479,0.26821363,0.7317864
9,0.018644858,0.2868585,0.7131415
10,0.016836818,0.30369532,0.6963047
11,0.015160607,0.31885594,0.68114406
12,0.014521936,0.33337787,0.66662216
13,0.01353857,0.34691644,0.65308356
14,0.013063642,0.35998008,0.6400199
15,0.012244704,0.37222478,0.6277752
16,0.012023518,0.3842483,0.61575174
17,0.011491911,0.3957402,0.6042598
18,0.010963302,0.4067035,0.5932965
19,0.010166706,0.4168702,0.58312976
20,0.009239521,0.42610973,0.57389027
21,0.008965949,0.43507567,0.56492436
22,0.008390735,0.4434664,0.5565336
23,0.008272638,0.45173904,0.5482609
24,0.007958879,0.45969793,0.54030204
25,0.007886862,0.4675848,0.5324152
26,0.0077604707,0.47534525,0.52465475
27,0.0071695335,0.4825148,0.5174852
28,0.007042069,0.48955688,0.5104431
29,0.006889065,0.49644595,0.50355405
30,0.0065247505,0.5029707,0.4970293
31,0.006288626,0.50925934,0.49074066
32,0.0060562557,0.5153156,0.4846844
33,0.005988634,0.52130425,0.47869575
34,0.0058787093,0.52718294,0.47281706
35,0.0056221006,0.532805,0.46719497
36,0.005591286,0.5383963,0.4616037
37,0.0053444277,0.54374075,0.45625925
38,0.0052177375,0.5489585,0.45104152
39,0.0050735776,0.5540321,0.4459679
40,0.004959947,0.558992,0.44100797
41,0.0048369467,0.56382895,0.43617105
42,0.0047319857,0.56856096,0.43143904
43,0.004577626,0.5731386,0.4268614
44,0.004539789,0.5776784,0.42232162
45,0.004446395,0.58212477,0.41787523
46,0.004336438,0.5864612,0.4135388
47,0.0042979424,0.59075916,0.40924084
48,0.0042227316,0.5949819,0.4050181
49,0.0042109303,0.59919286,0.40080714
50,0.0041088453,0.6033017,0.3966983
51,0.004063496,0.6073652,0.3926348
52,0.0039312663,0.6112965,0.38870353
53,0.0038839541,0.61518043,0.38481957
54,0.0038120358,0.61899245,0.38100755
55,0.0037338939,0.6227263,0.37727368
56,0.0036902707,0.62641656,0.37358344
57,0.0036485782,0.63006514,0.36993486
58,0.0035371238,0.63360226,0.36639774
59,0.0034153592,0.6370176,0.3629824
60,0.0033912666,0.6404089,0.35959113
61,0.0033208192,0.6437297,0.3562703
62,0.0032920886,0.6470218,0.35297823
63,0.0032449567,0.6502667,0.3497333
64,0.0032350211,0.65350175,0.34649825
65,0.0031424335,0.65664417,0.34335583
66,0.0031273405,0.6597715,0.3402285
67,0.0029646785,0.6627362,0.33726382
68,0.002961807,0.665698,0.334302
69,0.0029316826,0.66862965,0.33137035
70,0.002916497,0.67154616,0.32845384
71,0.0028687872,0.67441493,0.32558507
