component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.048177637,0.048177637,0.95182234
2,0.025521185,0.07369882,0.9263012
3,0.019898664,0.09359749,0.9064025
4,0.017848454,0.11144594,0.88855404
5,0.015679216,0.12712516,0.87287486
6,0.014862256,0.14198741,0.85801256
7,0.012680239,0.15466765,0.8453324
8,0.012370579,0.16703823,0.8329618
9,0.011684853,0.17872308,0.8212769
10,0.010942517,0.1896656,0.8103344
11,0.010639912,0.2003055,0.7996945
12,0.010090208,0.21039571,0.7896043
13,0.009108606,0.21950431,0.7804957
14,0.008908907,0.22841322,0.7715868
15,0.008604593,0.23701781,0.7629822
16,0.007922171,0.24493998,0.75506
17,0.0077912365,0.25273123,0.7472688
18,0.0075398926,0.26027113,0.73972887
19,0.007163101,0.26743424,0.73256576
20,0.007087023,0.27452126,0.72547877
21,0.006875856,0.2813971,0.7186029
22,0.006791827,0.28818893,0.71181107
23,0.0066850088,0.29487395,0.70512605
24,0.0064629237,0.30133688,0.6986631
25,0.006256203,0.30759308,0.6924069
26,0.0060858335,0.31367892,0.6863211
27,0.006025239,0.31970415,0.6802958
28,0.0058567305,0.32556087,0.67443913
29,0.0057683396,0.3313292,0.6686708
30,0.005629756,0.33695894,0.66304106
31,0.0055245636,0.34248352,0.6575165
32,0.005354023,0.34783754,0.65216243
33,0.0052618342,0.35309938,0.64690065
34,0.005230836,0.35833022,0.64166975
35,0.005154327,0.36348456,0.63651544
36,0.0050924346,0.368577,0.631423
37,0.004977929,0.37355494,0.62644506
38,0.0049176468,0.3784726,0.62152743
39,0.0047931303,0.38326573,0.61673427
40,0.0047205742,0.3879863,0.6120137
41,0.004673484,0.39265978,0.6073402
42,0.0046194955,0.3972793,0.60272074
43,0.0045586713,0.40183797,0.59816206
44,0.004515744,0.4063537,0.5936463
45,0.004386766,0.41074046,0.5892595
46,0.00433444,0.4150749,0.58492506
47,0.004233776,0.4193087,0.58069134
48,0.0042058015,0.4235145,0.5764855
49,0.0041648084,0.4276793,0.5723207
50,0.0040840595,0.43176335,0.56823665
51,0.004053405,0.43581676,0.56418324
52,0.0040322687,0.43984902,0.560151
53,0.0039328374,0.44378185,0.55621815
54,0.0038962476,0.4476781,0.5523219
55,0.003836626,0.45151472,0.5484853
56,0.003812576,0.4553273,0.5446727
57,0.0037499082,0.4590772,0.54092276
58,0.0037350375,0.46281224,0.53718776
59,0.0036980729,0.46651033,0.5334897
60,0.0036225896,0.47013292,0.52986705
61,0.0035852555,0.47371817,0.52628183
62,0.0035265912,0.47724476,0.52275527
63,0.0034905293,0.4807353,0.5192647
64,0.0034886454,0.48422396,0.51577604
65,0.0034609193,0.48768488,0.51231515
66,0.0034252026,0.4911101,0.5088899
67,0.0033811626,0.49449125,0.5055088
68,0.0033377153,0.49782896,0.50217104
69,0.003312598,0.50114155,0.49885845
70,0.0032920951,0.50443363,0.49556637
71,0.0032384985,0.50767213,0.49232787
72,0.0032128093,0.51088494,0.48911506
73,0.0032004383,0.51408535,0.48591465
74,0.0031603186,0.51724565,0.48275435
75,0.0031439334,0.52038956,0.47961044
76,0.0031019314,0.5234915,0.4765085
77,0.0030847422,0.5265762,0.47342378
78,0.0030389442,0.52961516,0.47038484
79,0.0030051474,0.5326203,0.4673797
80,0.0029836309,0.53560394,0.46439606
81,0.0029729784,0.5385769,0.4614231
82,0.0029555312,0.54153246,0.45846754
83,0.002910882,0.5444433,0.4555567
84,0.0028940272,0.54733735,0.45266265
85,0.0028545116,0.5501919,0.44980812
86,0.0028387154,0.5530306,0.4469694
87,0.0028123844,0.555843,0.444157
88,0.0027846862,0.55862767,0.44137233
89,0.0027790798,0.56140673,0.43859327
90,0.0027557006,0.56416243,0.43583757
91,0.0027340911,0.5668965,0.4331035
92,0.0027151671,0.56961167,0.43038833
93,0.0027032578,0.5723149,0.42768508
94,0.0026478895,0.5749628,0.4250372
95,0.0026320815,0.5775949,0.42240512
96,0.0026156998,0.58021057,0.41978943
97,0.0025693413,0.5827799,0.41722012
98,0.002558943,0.58533883,0.41466117
99,0.0025489898,0.5878878,0.41211218
100,0.0025404375,0.59042823,0.40957177
101,0.0025298514,0.5929581,0.4070419
102,0.0024822955,0.5954404,0.4045596
103,0.0024762894,0.59791666,0.40208334
104,0.0024581987,0.6003749,0.39962512
