component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.06598274,0.06598274,0.93401724
2,0.046168912,0.11215165,0.8878484
3,0.040960614,0.15311226,0.8468877
4,0.03479603,0.18790829,0.8120917
5,0.031688616,0.21959691,0.7804031
6,0.026416486,0.24601339,0.7539866
7,0.024259081,0.27027246,0.7297275
8,0.021655332,0.29192778,0.7080722
9,0.020497514,0.3124253,0.68757474
10,0.020190611,0.3326159,0.6673841
11,0.018591834,0.35120773,0.64879227
12,0.018272555,0.36948028,0.63051975
13,0.01692608,0.38640636,0.61359364
14,0.015030029,0.4014364,0.5985636
15,0.014186405,0.4156228,0.58437717
16,0.0139960665,0.42961887,0.57038116
17,0.012891272,0.44251013,0.5574899
18,0.012460678,0.4549708,0.54502916
19,0.012166331,0.46713713,0.5328629
20,0.011642288,0.4787794,0.52122056
21,0.011431846,0.49021125,0.50978875
22,0.011084726,0.501296,0.49870402
23,0.010790526,0.5120865,0.4879135
24,0.010133047,0.52221954,0.47778046
25,0.009936532,0.53215605,0.46784395
26,0.009476652,0.5416327,0.4583673
27,0.009212456,0.55084515,0.44915485
28,0.009095226,0.5599404,0.4400596
29,0.008482509,0.5684229,0.4315771
30,0.008110374,0.5765333,0.42346668
31,0.0079720095,0.5845053,0.41549468
32,0.0076627093,0.59216803,0.40783197
33,0.0073325383,0.5995006,0.4004994
34,0.007122013,0.60662264,0.39337736
35,0.0068507455,0.61347336,0.38652664
36,0.00657426,0.6200476,0.37995237
37,0.0064753476,0.62652296,0.37347704
38,0.0063223313,0.6328453,0.36715472
39,0.0061589815,0.6390043,0.3609957
40,0.0059407926,0.6449451,0.35505491
41,0.0059099826,0.65085506,0.34914494
42,0.005806694,0.65666175,0.34333825
43,0.0056353398,0.66229707,0.33770293
44,0.005476804,0.6677739,0.3322261
45,0.005332957,0.67310685,0.32689315
46,0.005137319,0.6782442,0.32175583
47,0.005051047,0.68329525,0.31670475
48,0.0048697945,0.68816507,0.31183493
49,0.0047835577,0.69294864,0.30705136
50,0.004735177,0.6976838,0.3023162
51,0.0046788654,0.70236266,0.29763734
52,0.004475235,0.7068379,0.2931621
53,0.004400072,0.71123797,0.28876203
54,0.0043640924,0.71560204,0.28439796
55,0.0042045037,0.71980655,0.28019345
56,0.004163804,0.72397035,0.27602965
57,0.0041401037,0.72811043,0.27188957
58,0.0041300543,0.7322405,0.2677595
59,0.004046471,0.736287,0.263713
60,0.0038159415,0.74010295,0.25989705
61,0.0037893672,0.7438923,0.2561077
62,0.003660424,0.74755275,0.25244725
63,0.0035843116,0.7511371,0.24886292
64,0.0035622674,0.75469935,0.24530065
65,0.0034802551,0.7581796,0.2418204
66,0.0033808479,0.76156044,0.23843956
67,0.0033410029,0.76490146,0.23509854
68,0.0032530713,0.7681545,0.2318455
69,0.00321501,0.7713695,0.22863048
70,0.0031190477,0.77448857,0.22551143
71,0.0030635747,0.7775521,0.22244787
72,0.0029538544,0.78050596,0.21949404
73,0.0029129635,0.7834189,0.2165811
74,0.0028723362,0.78629124,0.21370876
75,0.0028226334,0.7891139,0.21088612
76,0.0027691608,0.79188305,0.20811695
77,0.0027073654,0.7945904,0.20540959
78,0.0026857108,0.79727614,0.20272386
79,0.0026204279,0.79989654,0.20010346
80,0.0025640884,0.8024606,0.19753939
81,0.002518452,0.8049791,0.19502091
82,0.0024747162,0.8074538,0.19254619
83,0.0024573607,0.8099112,0.19008881
84,0.0023986988,0.81230986,0.18769014
85,0.0023549006,0.8146648,0.18533522
86,0.002324022,0.8169888,0.18301117
87,0.0022847317,0.81927353,0.18072647
88,0.0022427582,0.8215163,0.17848372
89,0.0022132825,0.8237296,0.17627043
90,0.0021588355,0.8258884,0.1741116
91,0.0021202187,0.8280086,0.17199141
92,0.0020664565,0.830075,0.16992497
93,0.002041265,0.8321163,0.1678837
94,0.0020230035,0.8341393,0.16586071
95,0.0019758348,0.8361151,0.16388488
96,0.001955252,0.8380704,0.1619296
97,0.0019340706,0.84000444,0.15999556
98,0.0018819763,0.8418864,0.1581136
99,0.0018620585,0.84374845,0.15625155
100,0.0018233816,0.8455718,0.15442818
101,0.0017875005,0.8473593,0.1526407
102,0.0017724447,0.84913176,0.15086824
103,0.001766054,0.8508978,0.14910221
104,0.0017156276,0.8526134,0.14738661
105,0.0016924569,0.85430586,0.14569414
106,0.001657848,0.8559637,0.1440363
107,0.001647161,0.8576109,0.14238912
108,0.0016157707,0.85922664,0.14077336
109,0.001600254,0.8608269,0.13917309
110,0.0015583178,0.8623852,0.13761479
111,0.0015272885,0.8639125,0.13608748
112,0.0015196103,0.86543214,0.13456786
113,0.0015034863,0.8669356,0.13306439
114,0.0014629822,0.8683986,0.1316014
115,0.0014496405,0.86984825,0.13015175
116,0.0014216484,0.8712699,0.12873012
117,0.0013947337,0.87266463,0.12733537
118,0.0013838642,0.8740485,0.12595153
119,0.0013396352,0.8753881,0.124611914
120,0.0013365437,0.8767246,0.1232754
121,0.0013241839,0.8780488,0.12195122
122,0.0013123517,0.87936115,0.12063885
123,0.0012762471,0.8806374,0.11936259
124,0.0012603758,0.8818978,0.11810219
125,0.0012424117,0.8831402,0.11685979
126,0.0012350018,0.8843752,0.115624785
127,0.0012232272,0.8855984,0.11440158
128,0.0011939836,0.8867924,0.11320758
129,0.0011912867,0.8879837,0.11201632
130,0.0011829651,0.88916665,0.11083335
131,0.0011463398,0.89031297,0.10968703
132,0.0011422053,0.8914552,0.10854483
133,0.0011356279,0.8925908,0.10740918
134,0.0011203232,0.89371115,0.10628885
135,0.0011100272,0.89482117,0.10517883
136,0.0010939183,0.8959151,0.10408491
137,0.0010751336,0.89699024,0.10300976
138,0.0010587295,0.898049,0.101951
139,0.0010376152,0.8990866,0.100913405
140,0.0010360817,0.9001227,0.0998773
141,0.0010171843,0.9011399,0.098860085
142,0.0009982475,0.9021382,0.09786183
143,0.0009901215,0.90312827,0.09687173
144,0.0009778898,0.90410614,0.09589386
145,0.000958052,0.90506417,0.094935834
146,0.000952466,0.90601665,0.09398335
147,0.0009353119,0.90695196,0.093048036
148,0.0009239238,0.9078759,0.092124104
149,0.0009182461,0.90879416,0.091205835
150,0.0009089935,0.90970314,0.090296865
151,0.0008997661,0.9106029,0.08939707
152,0.0008936903,0.91149664,0.08850336
153,0.0008790432,0.9123757,0.08762431
154,0.0008589522,0.91323465,0.08676535
155,0.000846625,0.9140813,0.085918725
156,0.0008413451,0.9149226,0.085077405
157,0.00082330796,0.9157459,0.084254086
158,0.0008196026,0.91656554,0.08343446
159,0.00081264245,0.9173782,0.08262181
160,0.000793873,0.91817206,0.08182794
161,0.000791742,0.9189638,0.08103621
162,0.00077351194,0.9197373,0.08026272
163,0.0007609439,0.92049825,0.07950175
164,0.00075580983,0.92125404,0.07874596
165,0.0007456615,0.9219997,0.07800031
166,0.0007424364,0.9227421,0.07725787
167,0.00073910644,0.9234812,0.076518774
168,0.0007239716,0.9242052,0.075794816
169,0.0007101825,0.9249154,0.07508463
170,0.00070432253,0.9256197,0.07438028
171,0.0006978809,0.9263176,0.07368243
172,0.0006829717,0.9270005,0.07299948
173,0.0006763317,0.92767686,0.07232314
174,0.00067119184,0.92834806,0.071651936
175,0.00066367723,0.92901176,0.07098824
176,0.0006508142,0.9296626,0.070337415
177,0.00064515794,0.93030775,0.069692254
178,0.00064492645,0.93095267,0.06904733
179,0.0006384542,0.9315911,0.06840891
180,0.00062949106,0.9322206,0.06777942
181,0.000613283,0.93283385,0.06716615
182,0.0006098836,0.9334437,0.066556275
183,0.0006002231,0.93404394,0.065956056
184,0.0005934109,0.93463737,0.06536263
185,0.0005840694,0.93522143,0.06477857
186,0.00057885185,0.9358003,0.064199686
187,0.00057330483,0.9363736,0.06362641
188,0.0005625887,0.9369362,0.0630638
189,0.0005609209,0.93749714,0.06250286
190,0.00055495667,0.9380521,0.061947882
191,0.00054958195,0.9386017,0.061398327
192,0.000541926,0.9391436,0.060856402
193,0.0005315222,0.9396751,0.060324907
194,0.00052470336,0.9401998,0.059800208
195,0.00052078225,0.94072056,0.05927944
196,0.00051815633,0.9412387,0.0587613
197,0.00051237876,0.94175106,0.058248937
198,0.0005068226,0.9422579,0.05774212
199,0.0004984356,0.9427563,0.057243705
200,0.00049671915,0.94325304,0.05674696
201,0.0004910721,0.9437441,0.056255877
202,0.00048006658,0.9442242,0.05577582
203,0.00047262927,0.9446968,0.055303216
204,0.00046947258,0.94516623,0.05483377
205,0.00046759917,0.9456338,0.05436617
206,0.00045796487,0.9460918,0.05390823
207,0.0004556136,0.9465474,0.05345261
208,0.00044829852,0.9469957,0.053004324
