component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.19610815,0.19610815,0.80389184
2,0.04359879,0.23970693,0.76029307
3,0.02482596,0.2645329,0.7354671
4,0.021800205,0.28633308,0.7136669
5,0.020789575,0.30712265,0.69287735
6,0.01733045,0.3244531,0.6755469
7,0.015038459,0.33949155,0.66050845
8,0.013611978,0.35310352,0.6468965
9,0.0123412125,0.36544472,0.6345553
10,0.010819406,0.37626413,0.6237359
11,0.009759292,0.3860234,0.6139766
12,0.008945729,0.39496914,0.6050309
13,0.008578642,0.40354776,0.59645224
14,0.008078776,0.41162655,0.5883734
15,0.007586002,0.41921255,0.5807874
16,0.007173305,0.42638585,0.5736141
17,0.006795497,0.43318135,0.56681865
18,0.0063091503,0.4394905,0.5605095
19,0.006214146,0.44570464,0.55429536
20,0.0056328867,0.45133752,0.5486625
21,0.005544747,0.45688227,0.54311776
22,0.005196273,0.46207854,0.5379214
23,0.005170586,0.46724913,0.53275084
24,0.0047960323,0.47204515,0.5279548
25,0.0046418067,0.47668695,0.52331305
26,0.00433493,0.48102188,0.5189781
27,0.0041697337,0.4851916,0.5148084
28,0.0039939764,0.4891856,0.5108144
29,0.003914859,0.49310046,0.50689954
30,0.0037730108,0.49687347,0.5031265
31,0.0036171698,0.50049067,0.49950933
32,0.0035902346,0.5040809,0.4959191
33,0.0035663173,0.5076472,0.49235278
34,0.0033831112,0.5110303,0.48896968
35,0.0032424554,0.51427275,0.48572725
36,0.0031577607,0.5174305,0.48256952
37,0.0030851967,0.5205157,0.47948432
38,0.0030582135,0.5235739,0.47642612
39,0.002960945,0.5265348,0.4734652
40,0.0029221517,0.529457,0.47054303
41,0.002840703,0.5322977,0.46770233
42,0.0028172762,0.53511494,0.46488506
43,0.0027685752,0.5378835,0.46211648
44,0.0026800986,0.54056364,0.45943636
45,0.002662168,0.5432258,0.45677418
46,0.0025986712,0.54582447,0.45417553
47,0.0025131053,0.5483376,0.45166242
48,0.0024700237,0.5508076,0.4491924
49,0.0024543547,0.55326194,0.44673806
50,0.0024381212,0.55570006,0.44429994
51,0.002347414,0.5580475,0.44195253
52,0.0022928093,0.5603403,0.4396597
53,0.0022454455,0.5625857,0.4374143
54,0.0021699795,0.5647557,0.43524432
55,0.00215051,0.5669062,0.4330938
56,0.002126111,0.5690323,0.4309677
57,0.0020813523,0.57111365,0.42888635
58,0.0020583011,0.573172,0.42682803
59,0.0020062837,0.57517827,0.42482173
60,0.0019476614,0.5771259,0.4228741
61,0.0019332347,0.5790591,0.42094088
62,0.0018985175,0.58095765,0.41904235
63,0.0018608698,0.5828185,0.4171815
64,0.0018328959,0.5846514,0.4153486
65,0.0018144153,0.58646584,0.41353416
66,0.0017994052,0.58826524,0.41173476
67,0.0017894945,0.59005475,0.40994525
68,0.0017759245,0.5918307,0.40816933
69,0.0017535096,0.5935842,0.40641582
70,0.0017240843,0.59530824,0.40469176
71,0.001692056,0.5970003,0.4029997
72,0.0016821163,0.5986824,0.4013176
73,0.0016437996,0.6003262,0.39967382
74,0.0016343143,0.6019605,0.39803952
75,0.0016183982,0.60357887,0.39642113
76,0.0015609644,0.60513985,0.39486015
77,0.001549956,0.6066898,0.3933102
78,0.0015477706,0.60823756,0.39176244
79,0.0015288701,0.6097664,0.39023358
80,0.0015086109,0.611275,0.38872498
81,0.0014806287,0.61275566,0.38724434
82,0.0014712238,0.6142269,0.38577312
83,0.0014550934,0.61568195,0.38431805
84,0.0014382192,0.61712015,0.38287985
85,0.0014240089,0.61854416,0.38145584
86,0.0014161295,0.6199603,0.3800397
87,0.0014054909,0.6213658,0.3786342
88,0.0013806283,0.6227464,0.3772536
89,0.0013541332,0.62410057,0.37589943
90,0.0013339755,0.6254345,0.37456548
91,0.0013153355,0.6267499,0.37325013
92,0.001313873,0.62806374,0.37193626
93,0.0013015084,0.62936527,0.37063473
94,0.0012884497,0.63065374,0.36934626
95,0.0012858701,0.6319396,0.3680604
96,0.0012565833,0.6331962,0.36680382
97,0.0012472974,0.63444346,0.36555654
98,0.0012310504,0.63567454,0.36432546
99,0.0012156753,0.63689023,0.36310977
100,0.0012088381,0.6380991,0.36190093
101,0.0012010633,0.6393001,0.3606999
102,0.0011856827,0.64048576,0.35951424
103,0.0011726039,0.64165837,0.35834163
104,0.0011624701,0.64282084,0.35717916
105,0.0011505925,0.64397144,0.35602856
106,0.0011406776,0.6451121,0.3548879
107,0.0011399788,0.6462521,0.3537479
108,0.001130725,0.6473828,0.3526172
109,0.0011183749,0.64850116,0.35149884
110,0.0011010782,0.64960223,0.35039777
111,0.0010984043,0.6507006,0.34929937
112,0.0010853003,0.6517859,0.3482141
113,0.001077128,0.652863,0.34713697
114,0.0010724631,0.6539355,0.3460645
115,0.0010666945,0.6550022,0.34499782
116,0.001054639,0.6560568,0.34394318
117,0.001047285,0.65710413,0.34289587
118,0.0010442529,0.6581484,0.3418516
119,0.0010359103,0.65918434,0.34081566
120,0.0010237114,0.66020805,0.33979195
121,0.0010135253,0.66122156,0.33877844
122,0.0010127224,0.6622343,0.3377657
123,0.0009987246,0.66323304,0.33676696
124,0.0009872527,0.6642203,0.33577973
125,0.0009806032,0.6652009,0.3347991
126,0.00097503484,0.6661759,0.3338241
127,0.0009670431,0.6671429,0.33285707
128,0.00096155226,0.66810447,0.33189553
129,0.0009529796,0.6690574,0.33094257
130,0.0009462296,0.67000365,0.32999635
131,0.00094050885,0.67094415,0.32905585
132,0.0009361629,0.6718803,0.3281197
133,0.0009322823,0.6728126,0.32718742
134,0.0009200399,0.67373264,0.32626736
135,0.00090765016,0.6746403,0.3253597
136,0.0009039668,0.67554426,0.32445574
137,0.0008953804,0.67643964,0.32356036
138,0.0008920271,0.6773317,0.3226683
139,0.0008880365,0.67821974,0.32178026
140,0.0008838823,0.6791036,0.3208964
141,0.0008747561,0.6799784,0.32002163
142,0.00087279367,0.68085116,0.31914884
143,0.0008700494,0.6817212,0.3182788
144,0.00085980643,0.682581,0.317419
145,0.00085548917,0.6834365,0.3165635
146,0.00084839883,0.6842849,0.31571507
147,0.0008410732,0.685126,0.314874
148,0.00083201565,0.685958,0.31404197
149,0.00083118764,0.6867892,0.3132108
150,0.0008214165,0.6876106,0.31238937
151,0.00081800745,0.68842864,0.31157136
152,0.0008142522,0.6892429,0.3107571
153,0.00080933614,0.6900522,0.3099478
154,0.000805716,0.69085795,0.30914205
155,0.00079287373,0.6916508,0.3083492
156,0.0007884843,0.6924393,0.30756068
157,0.000785816,0.69322515,0.30677485
158,0.0007811286,0.69400626,0.30599374
159,0.000778679,0.69478494,0.30521506
160,0.00077040755,0.6955553,0.30444467
161,0.00076546136,0.6963208,0.30367923
162,0.00076277903,0.69708353,0.30291647
163,0.000757878,0.6978414,0.3021586
164,0.00075471314,0.6985961,0.30140388
165,0.00075026974,0.69934636,0.30065364
166,0.0007474868,0.70009387,0.29990613
167,0.00074468803,0.70083857,0.29916143
168,0.00074102334,0.7015796,0.29842043
169,0.0007315042,0.7023111,0.2976889
170,0.0007296714,0.7030408,0.29695922
171,0.0007235596,0.7037643,0.29623568
172,0.00071647787,0.7044808,0.29551917
173,0.0007158726,0.7051967,0.29480332
174,0.00071362744,0.7059103,0.29408967
175,0.0007070319,0.70661736,0.29338264
176,0.00070537644,0.7073227,0.29267728
177,0.0006947392,0.70801747,0.29198253
178,0.000691885,0.70870936,0.29129064
179,0.0006902669,0.70939964,0.29060036
180,0.00068567274,0.71008533,0.28991467
181,0.0006855888,0.7107709,0.2892291
182,0.0006820929,0.711453,0.28854698
183,0.00067827187,0.7121313,0.28786868
184,0.0006762953,0.7128076,0.2871924
185,0.0006715403,0.71347916,0.28652084
186,0.000666126,0.7141453,0.2858547
187,0.0006615586,0.71480685,0.28519315
188,0.0006600874,0.7154669,0.28453308
189,0.0006574934,0.7161244,0.28387558
190,0.0006530397,0.71677744,0.28322256
191,0.0006527856,0.71743023,0.28256977
192,0.00064486964,0.7180751,0.2819249
193,0.0006441362,0.71871924,0.28128076
194,0.00063929043,0.71935856,0.28064144
195,0.0006374304,0.719996,0.28000402
196,0.0006345111,0.72063047,0.27936953
197,0.0006306113,0.7212611,0.27873892
198,0.00062579435,0.7218869,0.27811313
199,0.00062396936,0.7225108,0.2774892
200,0.00062358077,0.7231344,0.2768656
201,0.0006202459,0.72375464,0.27624536
202,0.00061421096,0.7243689,0.27563113
203,0.00061021216,0.7249791,0.2750209
204,0.0006089121,0.725588,0.27441198
205,0.00060457404,0.7261926,0.2738074
206,0.00060112745,0.7267937,0.2732063
207,0.0005996344,0.7273933,0.27260667
208,0.0005978367,0.72799116,0.27200884
209,0.00059268245,0.7285839,0.27141613
210,0.00058864546,0.7291725,0.27082747
211,0.00058595004,0.7297585,0.2702415
212,0.00058488885,0.7303434,0.2696566
213,0.00058064517,0.73092407,0.26907593
214,0.00057884515,0.7315029,0.2684971
215,0.0005779607,0.7320809,0.26791912
216,0.0005724413,0.7326533,0.26734668
217,0.00057145307,0.73322475,0.26677525
218,0.0005686382,0.7337934,0.26620662
219,0.0005665621,0.7343599,0.26564008
220,0.000564674,0.7349246,0.2650754
221,0.00056280516,0.7354874,0.2645126
222,0.0005565978,0.736044,0.263956
223,0.00055505295,0.736599,0.26340097
224,0.00055325,0.7371523,0.26284772
225,0.0005502722,0.73770255,0.26229745
