component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.17640425,0.17640425,0.82359576
2,0.051002048,0.2274063,0.77259374
3,0.047243558,0.27464986,0.72535014
4,0.03181581,0.30646566,0.6935344
5,0.028939264,0.33540493,0.66459507
6,0.019615041,0.35502,0.64498
7,0.018975858,0.37399584,0.62600416
8,0.017634274,0.3916301,0.6083699
9,0.016740715,0.40837082,0.59162915
10,0.014239166,0.42260998,0.57739
11,0.012714085,0.43532407,0.5646759
12,0.011621544,0.4469456,0.5530544
13,0.011110258,0.45805585,0.54194415
14,0.010733397,0.46878925,0.5312108
15,0.009776687,0.47856593,0.52143407
16,0.009659941,0.48822588,0.5117741
17,0.008911706,0.49713758,0.50286245
18,0.008475173,0.50561273,0.49438727
19,0.00836577,0.5139785,0.48602152
20,0.008116807,0.52209526,0.47790474
21,0.0074840887,0.52957934,0.47042066
22,0.007176322,0.5367557,0.46324432
23,0.0068337093,0.5435894,0.4564106
24,0.0062550036,0.54984444,0.45015556
25,0.006125685,0.55597013,0.44402987
26,0.005923728,0.5618939,0.43810612
27,0.0058910623,0.56778497,0.43221503
28,0.005657162,0.5734421,0.4265579
29,0.0055494388,0.57899153,0.42100847
30,0.0052108504,0.5842024,0.4157976
31,0.0051131584,0.5893156,0.4106844
32,0.0048751105,0.5941907,0.40580928
33,0.004844839,0.59903556,0.40096444
34,0.0047271783,0.60376275,0.39623725
35,0.00453117,0.6082939,0.3917061
36,0.0044668308,0.6127607,0.38723928
37,0.0043126913,0.6170734,0.38292658
38,0.004272664,0.62134606,0.37865394
39,0.0041773673,0.62552345,0.37447655
40,0.0040644314,0.6295879,0.3704121
41,0.0039772107,0.6335651,0.36643487
42,0.0038783406,0.6374435,0.36255652
43,0.0037427994,0.6411863,0.3588137
44,0.0036846495,0.64487094,0.35512906
45,0.0035825847,0.64845353,0.35154647
46,0.0034574638,0.651911,0.34808898
47,0.0034463876,0.6553574,0.34464258
48,0.00339171,0.6587491,0.3412509
49,0.003300263,0.66204935,0.33795065
50,0.0032213354,0.6652707,0.3347293
51,0.0031968576,0.6684675,0.33153248
52,0.0031285146,0.67159605,0.32840395
53,0.0030857034,0.6746818,0.32531822
54,0.003039186,0.67772096,0.32227904
55,0.003010858,0.68073183,0.31926817
56,0.0029696056,0.68370146,0.31629854
57,0.002906969,0.68660843,0.31339157
58,0.0028576625,0.6894661,0.31053388
59,0.0028119383,0.692278,0.30772197
60,0.0027872587,0.69506526,0.30493474
61,0.0027185094,0.69778377,0.30221623
62,0.0026692208,0.700453,0.29954702
63,0.0026245588,0.70307755,0.29692245
64,0.0026027171,0.70568025,0.29431975
65,0.0025533359,0.7082336,0.2917664
66,0.002508542,0.7107421,0.28925788
67,0.0024651259,0.71320724,0.28679276
68,0.0024370286,0.7156443,0.2843557
69,0.0024090193,0.71805334,0.28194666
70,0.002396095,0.72044945,0.27955055
71,0.0023335381,0.72278297,0.27721703
72,0.002307768,0.72509074,0.27490926
73,0.0023071046,0.72739786,0.27260214
74,0.0022700997,0.72966796,0.27033204
75,0.002240729,0.7319087,0.26809132
76,0.0022346403,0.7341433,0.26585668
77,0.002190973,0.73633426,0.26366574
78,0.0021800015,0.73851424,0.26148576
79,0.0021180662,0.7406323,0.2593677
80,0.0021027043,0.742735,0.25726497
81,0.0020944613,0.7448295,0.25517052
82,0.0020485248,0.746878,0.25312197
83,0.0020454891,0.74892354,0.25107646
84,0.0020248552,0.75094837,0.24905163
85,0.0019838314,0.7529322,0.24706781
86,0.0019742344,0.7549064,0.24509358
87,0.0019239818,0.7568304,0.2431696
88,0.0019060676,0.7587365,0.24126351
89,0.0018683019,0.7606048,0.2393952
90,0.0018620082,0.7624668,0.23753321
91,0.0018293441,0.7642961,0.23570389
92,0.0018272449,0.76612335,0.23387665
93,0.0018192907,0.76794267,0.23205733
94,0.0017985618,0.76974124,0.23025876
95,0.0017742462,0.7715155,0.22848451
96,0.0017490871,0.7732646,0.22673541
97,0.0017169035,0.7749815,0.2250185
98,0.0016974126,0.7766789,0.22332108
99,0.00168969,0.7783686,0.22163141
100,0.001660829,0.7800294,0.21997058
101,0.0016438717,0.7816733,0.21832669
102,0.0016387613,0.7833121,0.21668792
103,0.0016278343,0.78493994,0.21506006
104,0.0016169905,0.78655696,0.21344304
