component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.032249384,0.032249384,0.9677506
2,0.030928837,0.06317822,0.93682176
3,0.020538608,0.083716825,0.9162832
4,0.019467443,0.10318427,0.8968157
5,0.017676232,0.1208605,0.8791395
6,0.015321667,0.13618217,0.8638178
7,0.014933323,0.15111549,0.8488845
8,0.014248894,0.16536438,0.8346356
9,0.0135051785,0.17886956,0.82113045
10,0.012819761,0.19168933,0.8083107
11,0.0116983075,0.20338763,0.7966124
12,0.011220548,0.21460818,0.7853918
13,0.010611862,0.22522004,0.77478
14,0.009816302,0.23503634,0.7649636
15,0.009665756,0.2447021,0.7552979
16,0.009338174,0.25404027,0.74595976
17,0.0091058975,0.26314616,0.73685384
18,0.0087841945,0.27193037,0.72806966
19,0.008129273,0.28005964,0.71994036
20,0.008059432,0.28811908,0.7118809
21,0.007827304,0.2959464,0.70405364
22,0.007596036,0.30354244,0.69645756
23,0.007252107,0.31079453,0.68920547
24,0.007151529,0.31794608,0.6820539
25,0.006982323,0.3249284,0.6750716
26,0.006721233,0.33164963,0.66835034
27,0.0067026583,0.3383523,0.6616477
28,0.0065605,0.3449128,0.65508723
29,0.006330584,0.35124338,0.6487566
30,0.006305179,0.35754856,0.6424514
31,0.006103605,0.36365217,0.63634783
32,0.005934643,0.36958683,0.6304132
33,0.005862187,0.375449,0.624551
34,0.005803103,0.3812521,0.6187479
35,0.005686237,0.38693833,0.61306167
36,0.00550114,0.39243948,0.6075605
37,0.0054628565,0.39790234,0.60209763
38,0.0053189383,0.40322128,0.59677875
39,0.005154835,0.40837613,0.5916239
40,0.0050457427,0.41342187,0.58657813
41,0.0049775243,0.4183994,0.5816006
42,0.004876643,0.42327604,0.57672393
43,0.0047837114,0.42805976,0.57194024
44,0.0047500534,0.4328098,0.5671902
45,0.0047380147,0.4375478,0.5624522
46,0.004597066,0.44214487,0.5578551
47,0.0045776987,0.44672257,0.55327743
48,0.0045233374,0.4512459,0.5487541
49,0.00443133,0.45567724,0.5443227
50,0.0043859584,0.4600632,0.5399368
51,0.00428568,0.46434888,0.5356511
52,0.004238947,0.46858782,0.5314122
53,0.004183728,0.47277156,0.5272285
54,0.0041356897,0.47690725,0.52309275
55,0.0040786844,0.48098594,0.51901406
56,0.0040346086,0.48502055,0.5149795
57,0.003999947,0.4890205,0.51097953
