component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.03617962,0.03617962,0.9638204
2,0.030592173,0.06677179,0.9332282
3,0.021392021,0.08816381,0.9118362
4,0.020645205,0.10880901,0.891191
5,0.017802771,0.12661178,0.87338823
6,0.01546906,0.14208084,0.85791916
7,0.014586012,0.15666686,0.8433331
8,0.014027787,0.17069465,0.82930535
9,0.013905261,0.1845999,0.8154001
10,0.013045855,0.19764575,0.8023542
11,0.011627104,0.20927286,0.79072714
12,0.011067779,0.22034064,0.7796594
13,0.010347893,0.23068853,0.7693115
14,0.010085088,0.24077362,0.7592264
15,0.009686271,0.25045988,0.7495401
16,0.009408659,0.25986853,0.7401315
17,0.009139199,0.26900774,0.73099226
18,0.008611428,0.27761918,0.7223808
19,0.008367632,0.2859868,0.7140132
20,0.008229326,0.29421613,0.70578384
21,0.008175291,0.3023914,0.6976086
22,0.0076743276,0.31006575,0.68993425
23,0.007402501,0.31746826,0.6825317
24,0.007301763,0.32477003,0.67522997
25,0.007028456,0.3317985,0.6682015
26,0.006899811,0.3386983,0.66130173
27,0.0067696227,0.34546793,0.6545321
28,0.0066729174,0.35214084,0.64785916
29,0.0064301877,0.35857102,0.64142895
30,0.0064156433,0.36498666,0.63501334
31,0.0061685443,0.3711552,0.6288448
32,0.006034194,0.3771894,0.6228106
33,0.0059866225,0.38317603,0.616824
34,0.005887801,0.38906384,0.61093616
35,0.005866516,0.39493036,0.60506964
36,0.0056305807,0.40056095,0.599439
37,0.0055724992,0.40613344,0.5938666
38,0.005408923,0.41154236,0.58845764
39,0.0053180214,0.41686037,0.58313966
40,0.005222124,0.42208248,0.5779175
41,0.0051664882,0.42724898,0.57275105
42,0.005006864,0.43225583,0.56774414
43,0.0049368385,0.43719268,0.5628073
44,0.004898041,0.44209072,0.55790925
45,0.004858966,0.4469497,0.5530503
46,0.0048142034,0.4517639,0.54823613
47,0.0047830096,0.4565469,0.5434531
48,0.004722454,0.46126935,0.5387306
49,0.0046460927,0.46591544,0.53408456
50,0.004631615,0.47054705,0.5294529
51,0.0045926343,0.47513968,0.5248603
52,0.004427136,0.4795668,0.5204332
53,0.004363765,0.4839306,0.5160694
54,0.004287025,0.48821762,0.5117824
55,0.00425806,0.4924757,0.5075243
56,0.004212108,0.4966878,0.50331223
57,0.00418783,0.50087565,0.49912435
58,0.0041376967,0.50501335,0.49498665
59,0.0040782243,0.50909156,0.49090844
60,0.003988904,0.5130805,0.48691952
61,0.003953416,0.5170339,0.48296613
62,0.003901215,0.5209351,0.47906488
63,0.003866445,0.52480155,0.47519845
64,0.0038258263,0.5286274,0.4713726
65,0.0038094819,0.53243685,0.46756315
66,0.0037593464,0.5361962,0.46380383
67,0.0037447289,0.5399409,0.4600591
68,0.0037030245,0.5436439,0.4563561
69,0.0036512958,0.5472952,0.4527048
70,0.0036470608,0.5509423,0.4490577
71,0.003621524,0.5545638,0.44543618
72,0.0035906283,0.55815446,0.44184554
73,0.0035506922,0.5617052,0.43829483
74,0.003507161,0.5652123,0.4347877
75,0.0034850712,0.5686974,0.4313026
76,0.0034673577,0.5721648,0.42783523
77,0.003461852,0.5756266,0.4243734
78,0.0033964734,0.57902306,0.42097694
79,0.0033698846,0.58239293,0.41760707
80,0.0033451363,0.58573806,0.41426194
81,0.0033130713,0.5890511,0.41094887
82,0.0032915478,0.5923427,0.40765733
83,0.003262587,0.59560525,0.40439475
84,0.0032422661,0.5988475,0.4011525
85,0.0032274912,0.602075,0.39792502
86,0.0032172687,0.60529226,0.39470774
87,0.0031732346,0.6084655,0.3915345
88,0.0031416737,0.6116072,0.3883928
89,0.0031064816,0.61471367,0.38528633
90,0.0030873292,0.617801,0.382199
91,0.0030735102,0.6208745,0.37912548
92,0.0030369188,0.62391144,0.37608856
93,0.003028364,0.62693983,0.37306017
94,0.0029881224,0.62992793,0.37007207
95,0.0029681737,0.6328961,0.36710387
96,0.0029560174,0.63585216,0.36414784
97,0.002934212,0.6387864,0.36121362
98,0.0029294768,0.6417158,0.35828418
99,0.0029112273,0.64462703,0.35537297
100,0.0028932297,0.64752024,0.35247976
101,0.002864844,0.6503851,0.34961492
102,0.0028304658,0.6532155,0.34678447
103,0.0028068048,0.6560223,0.3439777
104,0.0027992937,0.6588216,0.34117842
105,0.002788833,0.6616104,0.33838958
106,0.002773438,0.6643839,0.3356161
107,0.0027649242,0.6671488,0.33285117
108,0.0027411475,0.66989,0.33011
109,0.002715023,0.67260504,0.32739496
110,0.0026911076,0.6752961,0.32470387
111,0.0026765813,0.67797273,0.32202727
112,0.0026649786,0.6806377,0.31936228
