component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.065683156,0.065683156,0.9343169
2,0.057789367,0.12347253,0.8765275
3,0.037569735,0.16104226,0.8389577
4,0.03358779,0.19463006,0.80537
5,0.028120333,0.2227504,0.7772496
6,0.025466954,0.24821734,0.75178266
7,0.021374872,0.26959223,0.7304078
8,0.020321155,0.2899134,0.7100866
9,0.019886458,0.30979985,0.69020015
10,0.01721051,0.32701036,0.6729896
11,0.016360294,0.34337065,0.6566293
12,0.015548116,0.35891876,0.6410812
13,0.01378978,0.37270853,0.62729144
14,0.013401669,0.3861102,0.6138898
15,0.0128740575,0.39898425,0.60101575
16,0.0117133,0.41069755,0.5893024
17,0.011520644,0.4222182,0.5777818
18,0.010821156,0.43303937,0.56696063
19,0.0102434,0.44328275,0.5567173
20,0.009336944,0.4526197,0.5473803
21,0.00891519,0.4615349,0.53846514
22,0.008807017,0.4703419,0.5296581
23,0.008420946,0.47876284,0.52123713
24,0.008148162,0.486911,0.513089
25,0.007358403,0.4942694,0.5057306
26,0.007204945,0.5014743,0.49852568
27,0.00705357,0.5085279,0.49147213
28,0.0068650055,0.5153929,0.4846071
29,0.0067798686,0.52217275,0.47782725
30,0.00659306,0.5287658,0.4712342
31,0.0064173387,0.53518313,0.46481687
32,0.0061038183,0.54128695,0.45871305
33,0.0059731184,0.54726005,0.45273995
34,0.005707622,0.55296767,0.44703233
35,0.0056032497,0.5585709,0.44142908
36,0.0054836883,0.5640546,0.4359454
37,0.0053006806,0.5693553,0.4306447
38,0.005197805,0.57455313,0.42544687
39,0.0050952393,0.5796484,0.42035162
40,0.0048918696,0.58454025,0.41545975
41,0.0047559864,0.5892962,0.41070378
42,0.0046604257,0.59395665,0.40604335
43,0.0045417584,0.5984984,0.4015016
44,0.004533162,0.6030316,0.39696842
45,0.004497769,0.60752934,0.39247066
46,0.004370346,0.6118997,0.38810033
47,0.00430137,0.61620104,0.38379896
48,0.0042498857,0.6204509,0.3795491
49,0.0041313884,0.6245823,0.3754177
50,0.0040769107,0.6286592,0.3713408
51,0.0039401334,0.6325993,0.3674007
52,0.0038918029,0.6364911,0.36350888
53,0.0038350562,0.6403262,0.3596738
54,0.003722787,0.644049,0.355951
55,0.0035922257,0.64764124,0.35235876
56,0.003550911,0.6511921,0.34880787
57,0.0034680367,0.65466017,0.34533983
58,0.0033481936,0.65800834,0.34199166
59,0.0033309006,0.6613392,0.33866078
60,0.0032459756,0.6645852,0.33541483
61,0.0032074507,0.6677926,0.33220738
62,0.0031933715,0.670986,0.329014
63,0.0031138035,0.6740998,0.3259002
64,0.003082727,0.67718256,0.32281744
65,0.0030685335,0.68025106,0.31974894
66,0.002986508,0.68323755,0.31676245
67,0.0029621352,0.68619967,0.31380033
68,0.0028835956,0.6890833,0.31091672
69,0.002841989,0.6919253,0.3080747
70,0.002784608,0.6947099,0.3052901
71,0.002739534,0.69744945,0.30255055
72,0.0027292694,0.70017874,0.29982126
73,0.0026620773,0.7028408,0.2971592
74,0.0026382501,0.705479,0.29452097
75,0.0026236854,0.7081027,0.2918973
76,0.0025737274,0.71067643,0.28932357
77,0.0025428652,0.7132193,0.28678071
78,0.0024616588,0.71568096,0.28431904
79,0.0024148978,0.71809584,0.28190416
80,0.002388827,0.7204847,0.27951533
81,0.0023468654,0.72283155,0.27716845
82,0.002321654,0.7251532,0.2748468
83,0.0022962042,0.7274494,0.27255058
84,0.0022564055,0.7297058,0.2702942
85,0.0022180541,0.7319239,0.26807612
86,0.0021850923,0.734109,0.26589102
87,0.002176258,0.73628527,0.26371473
88,0.0021544606,0.73843974,0.26156026
89,0.002126697,0.74056643,0.25943357
90,0.0020998046,0.74266624,0.25733376
91,0.0020502491,0.74471647,0.25528353
92,0.0020366255,0.7467531,0.2532469
93,0.0019889409,0.74874204,0.25125796
94,0.0019676571,0.7507097,0.24929029
95,0.0019572559,0.75266695,0.24733305
96,0.0019450928,0.754612,0.24538797
97,0.0019183047,0.75653034,0.24346966
98,0.0018921101,0.75842243,0.24157757
99,0.0018640395,0.76028645,0.23971355
100,0.0018490979,0.76213557,0.23786443
101,0.0018245359,0.7639601,0.23603988
102,0.0018148958,0.765775,0.23422498
103,0.0017714455,0.7675465,0.23245353
104,0.0017632506,0.7693097,0.2306903
105,0.0017591262,0.7710688,0.22893119
106,0.0017328297,0.77280164,0.22719836
107,0.0017207996,0.7745224,0.22547758
108,0.0016966751,0.77621907,0.22378093
109,0.001680528,0.7778996,0.22210038
110,0.001651726,0.7795513,0.22044867
111,0.0016229308,0.78117424,0.21882576
112,0.0016123975,0.78278667,0.21721333
113,0.0016104049,0.78439707,0.21560293
114,0.0015999582,0.78599703,0.21400297
115,0.0015635705,0.7875606,0.21243942
116,0.0015494796,0.78911006,0.21088994
117,0.0015218798,0.79063195,0.20936805
118,0.0015140821,0.792146,0.20785397
119,0.001492008,0.79363805,0.20636195
120,0.001489175,0.7951272,0.20487279
121,0.001462224,0.79658943,0.20341057
122,0.0014547372,0.79804415,0.20195585
123,0.0014392579,0.7994834,0.20051658
124,0.001416925,0.80090034,0.19909966
125,0.001409256,0.8023096,0.19769043
126,0.0013976045,0.8037072,0.19629282
127,0.0013731838,0.80508035,0.19491965
128,0.0013491014,0.80642945,0.19357055
129,0.0013274652,0.8077569,0.1922431
130,0.0013208364,0.80907774,0.19092226
131,0.0013131115,0.81039083,0.18960917
132,0.001307355,0.8116982,0.1883018
133,0.0012808198,0.81297904,0.18702096
134,0.0012770508,0.8142561,0.18574393
135,0.0012496671,0.81550574,0.18449426
136,0.0012429958,0.81674874,0.18325126
137,0.0012341298,0.81798285,0.18201715
138,0.0012245935,0.81920743,0.18079257
139,0.0012232969,0.82043076,0.17956924
140,0.0012150939,0.82164586,0.17835414
141,0.0012016362,0.8228475,0.17715251
142,0.001190759,0.82403827,0.17596173
143,0.0011721848,0.82521045,0.17478955
144,0.001167368,0.8263778,0.17362219
145,0.0011568508,0.8275347,0.17246532
146,0.0011411064,0.8286758,0.1713242
147,0.0011294932,0.8298053,0.17019469
148,0.0011231288,0.83092844,0.16907156
149,0.0011209743,0.8320494,0.16795057
150,0.0011052263,0.8331547,0.16684532
151,0.0010956018,0.8342503,0.16574973
152,0.0010918431,0.8353421,0.16465789
153,0.0010710208,0.83641315,0.16358685
154,0.0010595528,0.8374727,0.16252732
155,0.0010484335,0.8385211,0.16147888
156,0.0010449603,0.8395661,0.16043389
157,0.0010336521,0.8405998,0.15940022
158,0.0010330947,0.84163284,0.15836716
159,0.0010140162,0.84264684,0.15735316
160,0.0010128077,0.84365964,0.15634036
161,0.0010032492,0.8446629,0.1553371
162,0.0009918872,0.8456548,0.15434521
163,0.0009858035,0.8466406,0.15335941
164,0.0009708778,0.8476115,0.15238851
165,0.0009639016,0.8485754,0.15142459
166,0.0009588607,0.8495343,0.15046573
167,0.00094007794,0.85047436,0.14952564
168,0.0009330178,0.85140735,0.14859265
169,0.00092917704,0.8523365,0.14766347
170,0.00092535024,0.8532619,0.14673811
171,0.00091700297,0.8541789,0.1458211
172,0.00090550823,0.8550844,0.14491558
173,0.0008996293,0.85598403,0.14401597
174,0.0008933611,0.8568774,0.14312261
175,0.0008840461,0.85776144,0.14223856
176,0.0008762041,0.85863763,0.14136237
177,0.00086778216,0.8595054,0.14049459
178,0.00086604006,0.8603715,0.13962853
179,0.00086160784,0.86123306,0.13876694
180,0.00085190753,0.862085,0.13791502
181,0.0008428063,0.8629278,0.1370722
182,0.0008344459,0.86376226,0.13623774
183,0.00083060685,0.86459285,0.13540715
184,0.00082664157,0.8654195,0.1345805
185,0.00082218996,0.8662417,0.1337583
186,0.00081516604,0.86705685,0.13294315
187,0.00080363953,0.8678605,0.1321395
188,0.0008018451,0.86866236,0.13133764
189,0.0007950733,0.8694574,0.13054258
190,0.0007841812,0.8702416,0.12975842
191,0.00077738357,0.87101895,0.12898105
192,0.00077636575,0.8717953,0.1282047
193,0.000770346,0.8725656,0.12743437
194,0.0007678427,0.87333345,0.12666655
195,0.0007612908,0.8740947,0.12590528
196,0.00074969564,0.87484443,0.12515557
197,0.0007457888,0.8755902,0.124409795
198,0.0007399446,0.87633014,0.12366986
199,0.0007312513,0.87706137,0.12293863
200,0.00072733714,0.8777887,0.12221128
201,0.0007136057,0.8785023,0.12149769
202,0.00070980506,0.87921214,0.12078786
203,0.00070721586,0.87991935,0.12008065
204,0.0006973436,0.88061666,0.119383335
205,0.0006948882,0.88131154,0.118688464
206,0.0006880335,0.88199955,0.11800045
207,0.00068196096,0.8826815,0.11731851
208,0.0006782616,0.88335973,0.11664027
209,0.0006743936,0.8840341,0.1159659
210,0.000667051,0.88470113,0.11529887
211,0.000665174,0.8853663,0.11463368
212,0.0006610396,0.88602734,0.113972664
213,0.00065763376,0.88668495,0.113315046
214,0.00065128505,0.88733625,0.112663746
215,0.0006485865,0.8879848,0.11201519
216,0.00064544263,0.8886303,0.11136973
217,0.00064060977,0.8892709,0.1107291
218,0.0006308295,0.88990176,0.11009824
219,0.00062921643,0.89053094,0.109469056
220,0.00062856975,0.89115953,0.108840466
221,0.0006205569,0.8917801,0.10821992
222,0.00061943865,0.8923995,0.10760051
223,0.00061579986,0.89301527,0.106984735
224,0.0006063525,0.8936216,0.10637838
225,0.00060477294,0.8942264,0.10577363
226,0.00060069066,0.89482707,0.10517293
227,0.0005970934,0.8954242,0.10457581
228,0.0005934745,0.8960177,0.10398233
229,0.0005921675,0.89660984,0.10339016
230,0.00058045064,0.8971903,0.10280973
231,0.0005755316,0.8977658,0.102234185
232,0.0005721725,0.89833796,0.10166204
233,0.0005703558,0.8989083,0.10109168
234,0.0005671561,0.89947546,0.100524545
235,0.00056357065,0.900039,0.09996098
236,0.00055999507,0.900599,0.099401
237,0.0005554555,0.90115446,0.09884554
238,0.00054305175,0.9016975,0.09830248
239,0.0005412729,0.9022388,0.097761214
240,0.00054025324,0.90277904,0.09722096
241,0.0005362835,0.9033153,0.096684694
242,0.00053517387,0.9038505,0.096149504
243,0.0005318242,0.90438235,0.09561765
244,0.00052386965,0.9049062,0.09509379
245,0.00052203616,0.90542823,0.09457177
246,0.00051785645,0.9059461,0.094053924
247,0.00051687396,0.90646297,0.09353703
248,0.0005117182,0.9069747,0.09302533
249,0.0005112534,0.9074859,0.0925141
250,0.0005063967,0.9079923,0.0920077
251,0.0005014436,0.90849376,0.09150624
252,0.00049800385,0.90899175,0.091008246
253,0.0004943218,0.90948606,0.090513945
254,0.0004928151,0.90997887,0.09002113
255,0.00048634285,0.9104652,0.08953482
256,0.0004840527,0.91094923,0.08905077
257,0.0004800136,0.9114292,0.08857077
258,0.00047760087,0.91190684,0.08809316
259,0.0004768304,0.9123837,0.087616324
260,0.0004731187,0.9128568,0.08714318
261,0.00047076456,0.9133276,0.086672425
262,0.00046932258,0.9137969,0.0862031
263,0.000467701,0.9142646,0.08573538
264,0.00046399268,0.91472864,0.08527136
265,0.00046141256,0.91519004,0.08480996
266,0.00046043875,0.9156505,0.08434951
267,0.00045637836,0.9161069,0.08389312
268,0.00045629826,0.91656315,0.08343685
269,0.0004515046,0.91701466,0.08298534
270,0.0004491787,0.91746384,0.08253616
271,0.00044506785,0.9179089,0.08209109
272,0.00044377352,0.91835266,0.08164734
273,0.00043689483,0.91878957,0.081210434
274,0.0004356201,0.91922516,0.08077484
275,0.0004318501,0.919657,0.08034301
276,0.00043062822,0.92008764,0.079912364
277,0.00042931564,0.92051697,0.07948303
278,0.00042485737,0.9209418,0.07905817
279,0.00042122212,0.92136306,0.078636944
280,0.00041845473,0.92178154,0.07821846
