component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.96100956,0.96100956,0.038990438
2,0.00650061,0.96751016,0.032489836
3,0.00180996,0.9693201,0.030679882
4,0.0009040655,0.9702242,0.029775798
5,0.0006994577,0.97092366,0.029076338
6,0.0006342097,0.97155786,0.028442144
7,0.00053313584,0.972091,0.02790898
8,0.0004820183,0.97257304,0.027426958
9,0.00044346944,0.9730165,0.0269835
10,0.0004227684,0.9734393,0.026560724
11,0.00041916294,0.9738584,0.026141584
12,0.0003664469,0.97422487,0.025775135
13,0.00035306197,0.9745779,0.025422096
14,0.00033477668,0.9749127,0.025087297
15,0.0003116163,0.9752243,0.024775684
16,0.00030679355,0.9755311,0.024468899
17,0.00029747424,0.9758286,0.024171412
18,0.00027666806,0.9761053,0.023894727
19,0.0002727394,0.976378,0.023621976
20,0.00026083738,0.97663885,0.023361146
21,0.00025050144,0.9768894,0.023110628
22,0.00024673506,0.97713614,0.022863865
23,0.00024483056,0.977381,0.022619009
24,0.00023393254,0.97761494,0.02238506
25,0.00022465516,0.9778396,0.02216041
26,0.00022022935,0.9780598,0.021940172
27,0.00021604807,0.9782759,0.021724105
28,0.00021129295,0.9784872,0.021512806
29,0.00020771603,0.9786949,0.021305084
30,0.00020534299,0.97890025,0.021099746
31,0.00019655972,0.97909683,0.02090317
32,0.00019250876,0.97928935,0.020710647
33,0.00018773778,0.9794771,0.020522892
34,0.00018572822,0.97966284,0.020337164
35,0.00018131273,0.97984415,0.020155847
36,0.00018089866,0.98002505,0.019974947
37,0.00017523435,0.9802003,0.01979971
38,0.00017229364,0.9803726,0.019627392
39,0.00017016314,0.9805428,0.019457221
40,0.00016679792,0.98070955,0.019290447
41,0.00016563114,0.9808752,0.019124806
42,0.0001616923,0.9810369,0.018963099
43,0.00016094121,0.98119783,0.018802166
44,0.00015746661,0.9813553,0.01864469
45,0.0001571516,0.9815125,0.018487513
46,0.00015385861,0.9816663,0.018333673
47,0.00015186456,0.9818182,0.0181818
48,0.00014755051,0.9819657,0.01803428
49,0.0001455678,0.9821113,0.017888725
50,0.00014359536,0.98225486,0.017745137
51,0.00014104626,0.9823959,0.017604113
52,0.00014011335,0.982536,0.017463982
53,0.00013913648,0.98267514,0.017324865
54,0.00013607016,0.9828112,0.017188787
55,0.00013561257,0.9829468,0.017053187
56,0.00013353738,0.9830803,0.016919672
57,0.00013214361,0.9832125,0.016787529
58,0.00012923912,0.9833417,0.016658306
59,0.00012867972,0.9834704,0.01652962
60,0.00012667131,0.98359704,0.01640296
61,0.00012422119,0.98372126,0.016278744
62,0.00012217254,0.98384345,0.016156554
63,0.00012172837,0.98396516,0.016034842
64,0.00012145087,0.98408663,0.015913367
65,0.000120009296,0.9842066,0.015793383
66,0.000118303324,0.98432493,0.015675068
67,0.00011688236,0.9844418,0.015558183
68,0.00011472435,0.98455656,0.015443444
69,0.000113196766,0.98466974,0.015330255
70,0.000112329595,0.9847821,0.0152179
71,0.00011147656,0.98489356,0.01510644
72,0.000110940404,0.9850045,0.014995515
73,0.00010918248,0.9851137,0.01488632
74,0.00010884113,0.9852225,0.014777482
75,0.00010793015,0.98533046,0.014669538
76,0.0001053487,0.9854358,0.014564216
77,0.000104822146,0.9855406,0.014459372
78,0.00010425651,0.9856449,0.014355123
79,0.00010327649,0.9857482,0.014251828
80,0.00010274082,0.98585093,0.01414907
81,0.00010203581,0.985953,0.014047027
82,0.00010028087,0.9860532,0.013946772
83,9.93957e-05,0.98615265,0.013847351
84,9.8540746e-05,0.9862512,0.013748825
85,9.72667e-05,0.98634845,0.01365155
86,9.702093e-05,0.9864455,0.013554513
87,9.617638e-05,0.9865417,0.013458312
88,9.5346426e-05,0.98663706,0.013362944
89,9.441075e-05,0.98673147,0.01326853
90,9.259257e-05,0.98682404,0.013175964
91,9.175818e-05,0.98691577,0.013084233
92,9.1213275e-05,0.98700696,0.012993038
93,9.0810085e-05,0.9870978,0.0129022
94,9.043629e-05,0.9871882,0.01281178
95,8.989524e-05,0.9872781,0.012721896
96,8.912217e-05,0.9873672,0.012632787
97,8.8226254e-05,0.9874554,0.012544572
98,8.754837e-05,0.987543,0.012457013
99,8.687731e-05,0.9876299,0.01237011
100,8.5573396e-05,0.9877155,0.012284517
101,8.472288e-05,0.9878002,0.012199819
102,8.410943e-05,0.9878843,0.012115717
103,8.236254e-05,0.98796666,0.012033343
104,8.1971484e-05,0.9880486,0.011951387
105,8.15784e-05,0.9881302,0.011869788
106,8.127261e-05,0.9882115,0.011788487
107,8.062806e-05,0.98829216,0.011707842
108,7.980722e-05,0.98837197,0.011628032
