component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.0686442,0.0686442,0.9313558
2,0.04646306,0.11510727,0.8848927
3,0.041273184,0.15638044,0.8436196
4,0.035586767,0.19196722,0.80803275
5,0.03363941,0.22560662,0.7743934
6,0.027512763,0.25311938,0.74688065
7,0.023918351,0.27703774,0.72296226
8,0.021703519,0.29874125,0.7012588
9,0.021216786,0.31995803,0.68004197
10,0.020264495,0.34022254,0.65977746
11,0.018735267,0.3589578,0.64104223
12,0.01849939,0.3774572,0.6225428
13,0.017126033,0.39458323,0.6054168
14,0.015333093,0.4099163,0.5900837
15,0.014295111,0.4242114,0.5757886
16,0.014036087,0.4382475,0.5617525
17,0.013098726,0.45134622,0.5486538
18,0.01269074,0.46403697,0.53596306
19,0.012114717,0.47615167,0.5238483
20,0.0115082655,0.48765993,0.51234007
21,0.011384695,0.49904463,0.50095534
22,0.0110753095,0.5101199,0.48988008
23,0.010634513,0.52075446,0.47924554
24,0.010007658,0.53076214,0.46923786
25,0.009832322,0.54059446,0.45940554
26,0.009568038,0.5501625,0.4498375
27,0.009488712,0.5596512,0.4403488
28,0.009122562,0.56877375,0.43122625
29,0.008361312,0.5771351,0.4228649
30,0.0081369905,0.5852721,0.41472793
31,0.008041297,0.5933134,0.4066866
32,0.0074802577,0.60079366,0.39920634
33,0.007348517,0.6081422,0.3918578
34,0.007159261,0.61530143,0.38469857
35,0.0069845393,0.62228596,0.37771404
36,0.0067320913,0.62901807,0.37098193
37,0.006570319,0.6355884,0.3644116
38,0.006310856,0.6418993,0.3581007
39,0.0061238585,0.6480231,0.35197687
40,0.005930225,0.6539534,0.34604663
41,0.0058211614,0.65977454,0.34022546
42,0.0056592566,0.6654338,0.33456618
43,0.005597388,0.67103124,0.32896876
44,0.0054797563,0.676511,0.323489
45,0.005385164,0.68189615,0.31810385
46,0.0051793302,0.6870755,0.3129245
47,0.005065294,0.6921408,0.30785918
48,0.004779114,0.6969199,0.30308008
49,0.004723679,0.7016436,0.2983564
50,0.004642174,0.7062858,0.29371423
51,0.004576803,0.7108626,0.28913742
52,0.0045085168,0.7153711,0.28462893
53,0.00442837,0.71979946,0.28020054
54,0.004405881,0.7242053,0.27579468
55,0.0042747604,0.7284801,0.2715199
56,0.0041877977,0.7326679,0.26733208
57,0.0041042888,0.73677224,0.26322776
58,0.0040665516,0.74083877,0.25916123
59,0.00395789,0.74479663,0.25520337
60,0.003789074,0.7485857,0.2514143
61,0.0037167156,0.7523024,0.24769759
62,0.0036652843,0.7559677,0.24403232
63,0.003627055,0.75959474,0.24040526
64,0.0035116407,0.7631064,0.2368936
65,0.003500898,0.7666073,0.23339272
66,0.00338492,0.76999223,0.23000777
67,0.003303268,0.7732955,0.22670448
68,0.0032233382,0.7765189,0.22348112
69,0.0032137202,0.7797326,0.22026742
70,0.0030875187,0.7828201,0.2171799
71,0.0030004927,0.7858206,0.2141794
72,0.002962199,0.7887828,0.21121722
73,0.0029030445,0.7916858,0.20831418
74,0.0028032255,0.794489,0.20551097
75,0.0027736952,0.7972627,0.20273727
76,0.0027261465,0.79998887,0.20001113
77,0.002668185,0.80265707,0.19734293
78,0.0026093894,0.80526644,0.19473356
79,0.0025759574,0.8078424,0.19215763
80,0.0025308537,0.81037325,0.18962675
81,0.0024807432,0.812854,0.18714601
82,0.0024381452,0.8152921,0.18470788
83,0.0023553045,0.8176474,0.1823526
84,0.0023026017,0.81995,0.18005002
85,0.0023000957,0.82225007,0.17774993
86,0.0022796122,0.8245297,0.1754703
87,0.0022157587,0.82674545,0.17325455
88,0.002189532,0.82893497,0.17106503
89,0.0021594174,0.8310944,0.16890562
90,0.0021400233,0.8332344,0.16676557
91,0.0021095246,0.83534396,0.16465604
92,0.0020729091,0.8374169,0.16258311
93,0.0020510699,0.83946794,0.16053206
94,0.0019965828,0.8414645,0.15853548
95,0.0019601693,0.8434247,0.15657532
96,0.0019217575,0.84534645,0.15465355
97,0.0019026531,0.8472491,0.15275091
98,0.0018776933,0.84912676,0.15087324
99,0.0018389544,0.85096574,0.14903426
100,0.0018137257,0.85277945,0.14722055
101,0.0017793992,0.8545588,0.14544117
102,0.0017235469,0.85628235,0.14371765
103,0.0016909088,0.8579733,0.14202672
104,0.0016704513,0.85964376,0.14035624
105,0.0016466521,0.8612904,0.1387096
106,0.0016241272,0.8629145,0.1370855
107,0.001616121,0.8645306,0.13546938
108,0.0015988441,0.86612946,0.13387054
109,0.0015442473,0.8676737,0.1323263
110,0.0015157029,0.8691894,0.13081062
