component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.20056562,0.20056562,0.79943436
2,0.045223203,0.24578883,0.7542112
3,0.031051742,0.27684057,0.72315943
4,0.024194738,0.3010353,0.6989647
5,0.019125385,0.3201607,0.6798393
6,0.017270904,0.33743158,0.66256845
7,0.016229354,0.35366094,0.64633906
8,0.014382219,0.36804315,0.6319568
9,0.013564341,0.3816075,0.61839247
10,0.0120680975,0.3936756,0.60632443
11,0.010272445,0.40394804,0.59605193
12,0.009222724,0.41317075,0.58682925
13,0.00885556,0.4220263,0.5779737
14,0.008585258,0.43061155,0.56938845
15,0.008096745,0.4387083,0.5612917
16,0.0074790292,0.44618735,0.5538126
17,0.0070083197,0.45319566,0.5468043
18,0.006706327,0.459902,0.540098
19,0.0063645416,0.46626654,0.5337335
20,0.0062134685,0.47248,0.52752
21,0.006085976,0.47856596,0.52143407
22,0.0056915,0.48425746,0.51574254
23,0.0056126593,0.48987013,0.51012987
24,0.0053607165,0.49523085,0.50476915
25,0.0049903537,0.5002212,0.4997788
26,0.0048083933,0.50502956,0.49497044
27,0.004714895,0.50974447,0.49025553
28,0.0044382904,0.51418275,0.48581725
29,0.0042700674,0.5184528,0.48154718
30,0.0039281407,0.52238095,0.47761905
31,0.0038480037,0.52622896,0.47377104
32,0.0037691207,0.52999806,0.47000194
33,0.003758799,0.53375685,0.46624315
34,0.003578225,0.5373351,0.4626649
35,0.0035036677,0.5408388,0.45916122
36,0.003422285,0.54426104,0.45573896
37,0.0033287932,0.54758984,0.45241016
38,0.0031883037,0.55077815,0.44922185
39,0.0031317323,0.5539099,0.4460901
40,0.0030011393,0.55691105,0.44308895
41,0.00296201,0.55987304,0.44012696
42,0.0029302086,0.56280327,0.43719673
43,0.002824094,0.56562734,0.43437266
44,0.0027671491,0.5683945,0.43160552
45,0.0027458214,0.5711403,0.4288597
46,0.0026365225,0.57377684,0.42622316
47,0.0025834986,0.57636034,0.42363966
48,0.0025578488,0.5789182,0.42108178
49,0.0025275361,0.58144575,0.41855425
50,0.0024647464,0.5839105,0.41608948
51,0.0023728327,0.5862834,0.4137166
52,0.0023258715,0.5886093,0.41139072
53,0.0023001523,0.5909094,0.40909058
54,0.002264476,0.5931739,0.40682608
55,0.0022129554,0.59538686,0.40461314
56,0.0021826422,0.5975695,0.40243047
57,0.0021391145,0.5997086,0.40029138
58,0.0020990586,0.60180765,0.39819235
59,0.0020431234,0.6038508,0.39614922
60,0.0020318914,0.60588264,0.39411736
61,0.0020076043,0.60789025,0.39210975
62,0.0019691503,0.6098594,0.3901406
63,0.0019561243,0.6118155,0.3881845
64,0.0019250294,0.61374056,0.38625944
65,0.0018712119,0.6156118,0.3843882
66,0.0018682805,0.6174801,0.3825199
67,0.0018607103,0.61934084,0.38065916
68,0.0018244713,0.62116534,0.37883466
