component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.19185747,0.19185747,0.80814254
2,0.05214991,0.24400738,0.75599265
3,0.04066673,0.2846741,0.7153259
4,0.035683393,0.3203575,0.6796425
5,0.029445933,0.34980345,0.65019655
6,0.023481896,0.37328535,0.62671465
7,0.0183843,0.39166966,0.60833037
8,0.017565342,0.409235,0.590765
9,0.01665076,0.42588577,0.5741142
10,0.014318141,0.4402039,0.5597961
11,0.013786348,0.45399025,0.5460098
12,0.012729524,0.46671978,0.53328025
13,0.01165484,0.47837463,0.5216254
14,0.0107879955,0.48916262,0.5108374
15,0.01017713,0.49933976,0.50066024
16,0.009797185,0.5091369,0.49086308
17,0.009437302,0.51857424,0.48142576
18,0.009014953,0.5275892,0.4724108
19,0.008459308,0.53604853,0.46395147
20,0.0083416635,0.5443902,0.4556098
21,0.008135529,0.55252576,0.44747424
22,0.00778505,0.5603108,0.43968922
23,0.0070829834,0.5673938,0.43260622
24,0.006373853,0.57376766,0.42623234
25,0.006046167,0.57981384,0.42018616
26,0.005838997,0.5856528,0.41434717
27,0.005800327,0.59145314,0.40854686
28,0.0054741036,0.5969272,0.40307277
29,0.0054107453,0.60233796,0.39766204
30,0.005321207,0.60765916,0.39234084
31,0.005048043,0.6127072,0.3872928
32,0.0049013975,0.6176086,0.3823914
33,0.0047991863,0.6224078,0.3775922
34,0.0046429443,0.62705076,0.37294924
35,0.004534282,0.63158506,0.36841494
36,0.004497114,0.6360822,0.36391783
37,0.0044476083,0.64052975,0.35947025
38,0.004222166,0.6447519,0.3552481
39,0.0042081173,0.64896,0.35104
40,0.0041445997,0.6531046,0.3468954
41,0.0040507005,0.6571553,0.34284472
42,0.003997017,0.6611523,0.3388477
43,0.0037786146,0.66493094,0.33506906
44,0.0036433882,0.66857433,0.33142567
45,0.0036098186,0.67218417,0.32781583
46,0.003523359,0.6757075,0.32429248
47,0.0034552626,0.6791628,0.3208372
48,0.0033632924,0.6825261,0.3174739
49,0.0032513102,0.6857774,0.31422257
50,0.0032354435,0.6890129,0.31098711
51,0.0031697645,0.69218266,0.30781734
52,0.0031370008,0.69531965,0.30468035
53,0.0030753056,0.69839495,0.30160505
54,0.003043244,0.7014382,0.2985618
55,0.0029649015,0.7044031,0.2955969
56,0.002923232,0.70732635,0.29267365
57,0.0028192182,0.7101456,0.2898544
58,0.002785313,0.7129309,0.28706908
59,0.0027733375,0.71570426,0.28429574
60,0.0027610732,0.7184653,0.28153467
61,0.0026803769,0.7211457,0.2788543
62,0.002646115,0.7237918,0.27620822
63,0.0026072382,0.726399,0.273601
64,0.0025562174,0.7289552,0.2710448
65,0.002486757,0.731442,0.26855803
66,0.0024440028,0.733886,0.266114
67,0.0024243486,0.73631036,0.26368964
68,0.0023965796,0.73870695,0.26129305
69,0.002344475,0.74105144,0.25894856
70,0.002323465,0.7433749,0.25662512
71,0.002264751,0.7456396,0.25436038
72,0.0022298982,0.7478695,0.2521305
73,0.0022117745,0.75008124,0.24991876
74,0.0021972847,0.7522785,0.2477215
75,0.0021628398,0.7544413,0.24555868
76,0.0021322074,0.75657356,0.24342644
77,0.0021077085,0.75868124,0.24131876
78,0.0020700519,0.7607513,0.2392487
79,0.0020553558,0.76280665,0.23719335
80,0.0020389708,0.7648456,0.23515439
81,0.002015524,0.76686114,0.23313886
82,0.0019845394,0.7688457,0.23115432
83,0.0019553718,0.77080107,0.22919893
84,0.0019008017,0.77270186,0.22729814
85,0.0018912026,0.77459306,0.22540694
86,0.0018707851,0.77646387,0.22353613
87,0.0018551698,0.77831906,0.22168094
88,0.0018058216,0.7801249,0.2198751
89,0.0017951797,0.7819201,0.21807992
90,0.0017807172,0.78370076,0.21629924
91,0.0017681854,0.78546894,0.21453106
92,0.0017503365,0.7872193,0.21278071
93,0.0017302597,0.78894955,0.21105045
94,0.0017082901,0.7906578,0.20934218
95,0.0016963356,0.79235417,0.20764583
96,0.0016675066,0.79402167,0.20597833
97,0.0016521245,0.7956738,0.20432621
98,0.0016187421,0.79729253,0.20270747
99,0.0016029095,0.7988954,0.20110458
100,0.0015882517,0.80048364,0.19951636
101,0.0015770193,0.80206066,0.19793934
102,0.001545621,0.8036063,0.19639373
103,0.0015373513,0.8051436,0.1948564
104,0.0015185454,0.80666214,0.19333786
105,0.0015057073,0.8081679,0.19183213
106,0.00149511,0.809663,0.190337
107,0.0014850752,0.81114805,0.18885195
108,0.0014692872,0.81261736,0.18738264
109,0.0014383424,0.8140557,0.18594432
110,0.0014135366,0.8154692,0.1845308
111,0.0014075014,0.8168767,0.18312329
112,0.0014001256,0.8182768,0.18172318
113,0.0013756496,0.8196525,0.1803475
114,0.0013691423,0.8210216,0.17897838
115,0.0013473615,0.822369,0.17763102
116,0.0013280573,0.82369703,0.17630297
117,0.0013166984,0.82501376,0.17498624
118,0.001294703,0.8263085,0.17369151
119,0.0012905537,0.82759905,0.17240095
120,0.0012797279,0.82887876,0.17112124
121,0.0012634104,0.8301422,0.1698578
122,0.0012601375,0.83140236,0.16859764
123,0.0012383043,0.83264065,0.16735935
124,0.0012339647,0.8338746,0.16612542
125,0.0012178476,0.8350924,0.16490757
126,0.0012119656,0.83630437,0.16369563
127,0.0012003024,0.8375047,0.16249532
128,0.0011815757,0.8386863,0.16131371
129,0.0011661247,0.8398524,0.1601476
130,0.0011538514,0.8410062,0.15899378
131,0.0011478955,0.8421541,0.15784591
132,0.0011379969,0.84329206,0.15670794
133,0.0011328387,0.8444249,0.1555751
134,0.0011227535,0.8455477,0.15445232
135,0.0011083431,0.846656,0.15334398
136,0.0010996892,0.84775573,0.15224427
137,0.0010901996,0.84884596,0.15115404
138,0.0010740932,0.84992003,0.15007997
139,0.0010540095,0.850974,0.14902598
140,0.0010478038,0.8520218,0.14797819
141,0.0010390062,0.85306084,0.14693916
142,0.0010365938,0.8540974,0.14590257
143,0.0010231117,0.85512054,0.14487946
144,0.0010146543,0.8561352,0.14386481
145,0.0010037688,0.85713893,0.14286107
146,0.0009976751,0.8581366,0.1418634
147,0.0009863205,0.85912293,0.14087707
148,0.0009841801,0.8601071,0.13989288
149,0.0009791815,0.8610863,0.13891369
150,0.0009660616,0.8620524,0.13794762
151,0.0009647844,0.86301714,0.13698286
152,0.0009462926,0.8639634,0.13603657
153,0.0009356125,0.86489904,0.13510096
154,0.0009317434,0.8658308,0.13416922
155,0.0009273062,0.8667581,0.13324189
156,0.000918479,0.8676766,0.13232338
157,0.0009082417,0.8685849,0.13141513
158,0.000900129,0.869485,0.13051498
159,0.0008888662,0.8703739,0.1296261
160,0.0008820016,0.87125593,0.12874407
161,0.0008763455,0.8721323,0.1278677
162,0.00086482894,0.8729971,0.1270029
163,0.00085915765,0.87385625,0.12614375
164,0.00085862924,0.87471485,0.12528515
165,0.0008475564,0.8755624,0.12443757
166,0.0008439431,0.8764064,0.12359363
167,0.0008354514,0.87724185,0.12275815
168,0.00082925125,0.8780711,0.12192887
169,0.0008255485,0.87889665,0.12110335
170,0.00081137137,0.87970805,0.12029195
171,0.0008052342,0.8805133,0.11948669
172,0.00079985114,0.88131315,0.118686855
173,0.0007977923,0.88211095,0.11788905
174,0.0007855067,0.8828965,0.11710352
175,0.0007837312,0.8836802,0.116319776
176,0.000778222,0.8844584,0.11554158
177,0.000776579,0.885235,0.11476499
178,0.0007574497,0.88599247,0.11400753
179,0.0007553498,0.88674784,0.11325216
180,0.00075325614,0.8875011,0.11249888
181,0.00074471044,0.8882458,0.11175418
182,0.0007437687,0.88898957,0.11101043
183,0.0007348408,0.88972443,0.11027557
184,0.00072672585,0.89045113,0.10954887
185,0.00071850745,0.89116967,0.10883033
186,0.0007152797,0.8918849,0.10811508
187,0.0007091001,0.89259404,0.10740596
188,0.00070608896,0.8933001,0.106699884
189,0.0006944747,0.89399457,0.10600543
190,0.0006927195,0.8946873,0.105312705
191,0.00068673433,0.895374,0.104626
192,0.00068405055,0.896058,0.10394198
193,0.00067972305,0.89673775,0.103262246
194,0.00067192136,0.8974097,0.10259032
195,0.0006560203,0.8980657,0.101934314
196,0.00065450737,0.8987202,0.101279795
197,0.0006501468,0.8993704,0.10062963
198,0.0006483861,0.90001875,0.09998125
199,0.00064248306,0.90066123,0.09933877
200,0.0006331081,0.90129435,0.09870565
201,0.0006297085,0.9019241,0.09807593
202,0.0006272234,0.9025513,0.09744871
203,0.0006181487,0.90316945,0.09683055
204,0.0006122554,0.9037817,0.09621829
205,0.00060513546,0.9043868,0.09561318
206,0.00060244196,0.90498924,0.09501076
207,0.00060066674,0.90558994,0.09441006
208,0.0005950639,0.90618503,0.09381497
209,0.00059305667,0.9067781,0.0932219
210,0.0005888668,0.907367,0.09263301
