component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.03739279,0.03739279,0.9626072
2,0.032397844,0.06979063,0.9302094
3,0.021849835,0.091640465,0.9083595
4,0.019473705,0.111114174,0.88888586
5,0.018617036,0.12973121,0.8702688
6,0.016935363,0.14666657,0.8533334
7,0.016090933,0.1627575,0.8372425
8,0.015320754,0.17807825,0.82192177
9,0.013263733,0.19134198,0.808658
10,0.012601852,0.20394383,0.79605615
11,0.011719996,0.21566384,0.78433615
12,0.011533748,0.22719759,0.7728024
13,0.010492377,0.23768997,0.76231
14,0.010240128,0.2479301,0.7520699
15,0.009745671,0.25767577,0.74232423
16,0.009669713,0.2673455,0.7326545
17,0.009137064,0.27648255,0.7235174
18,0.008813374,0.28529593,0.71470404
19,0.008461622,0.29375756,0.70624244
20,0.008251925,0.3020095,0.69799054
21,0.008042886,0.31005237,0.6899476
22,0.007943173,0.31799555,0.68200445
23,0.0076552113,0.32565075,0.67434925
24,0.007579773,0.33323053,0.6667695
25,0.007281641,0.34051216,0.65948784
26,0.0068749688,0.34738714,0.65261286
27,0.0067284377,0.35411558,0.6458844
28,0.0066707036,0.3607863,0.6392137
29,0.0065679196,0.3673542,0.6326458
30,0.0062847515,0.37363896,0.626361
31,0.006131642,0.3797706,0.62022936
32,0.006039467,0.38581008,0.6141899
33,0.005822951,0.39163303,0.60836697
34,0.0058046826,0.39743772,0.6025623
35,0.00559737,0.4030351,0.5969649
36,0.005458096,0.4084932,0.59150684
37,0.0053458503,0.41383904,0.58616096
38,0.005300553,0.4191396,0.5808604
39,0.0052121296,0.42435172,0.5756483
40,0.005138656,0.4294904,0.5705096
41,0.0050687413,0.43455914,0.5654409
42,0.005042785,0.43960193,0.5603981
43,0.0049317153,0.44453365,0.55546635
44,0.0049097654,0.4494434,0.5505566
45,0.0048302794,0.45427367,0.5457263
46,0.0046748677,0.45894855,0.54105145
47,0.004591835,0.46354038,0.5364596
48,0.004585358,0.46812573,0.5318743
49,0.0045125815,0.4726383,0.5273617
50,0.0044566714,0.47709498,0.522905
51,0.004377277,0.48147225,0.51852775
