component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.043091647,0.043091647,0.95690835
2,0.03315297,0.07624462,0.9237554
3,0.02248138,0.098726004,0.90127397
4,0.019371523,0.11809753,0.88190246
5,0.019169124,0.13726665,0.86273336
6,0.018495712,0.15576236,0.8442376
7,0.016192693,0.17195505,0.82804495
8,0.015240859,0.18719591,0.8128041
9,0.013637213,0.20083313,0.79916686
10,0.0127871735,0.2136203,0.7863797
11,0.012154582,0.22577488,0.7742251
12,0.011541824,0.23731671,0.7626833
13,0.0106822,0.24799891,0.7520011
14,0.010264561,0.25826347,0.74173653
15,0.010158867,0.26842234,0.73157763
16,0.009642999,0.27806532,0.7219347
17,0.009400443,0.28746578,0.7125342
18,0.008899774,0.29636556,0.70363444
19,0.008682406,0.30504796,0.694952
20,0.008320701,0.31336865,0.6866313
21,0.007911514,0.32128015,0.6787199
22,0.007758682,0.32903883,0.67096114
23,0.007656594,0.33669543,0.66330457
24,0.0075888,0.34428424,0.65571576
25,0.0074724057,0.35175663,0.64824337
26,0.0070095947,0.35876623,0.6412338
27,0.0067675756,0.3655338,0.6344662
28,0.006742551,0.37227634,0.6277237
29,0.0065523954,0.37882873,0.62117124
30,0.006422762,0.3852515,0.6147485
31,0.0062276116,0.3914791,0.60852087
32,0.0061259507,0.39760506,0.60239494
33,0.00599501,0.40360007,0.5963999
34,0.005915253,0.40951532,0.5904847
35,0.005879586,0.4153949,0.5846051
36,0.005642762,0.42103767,0.5789623
37,0.0055609155,0.42659858,0.57340145
38,0.0055183535,0.43211693,0.5678831
39,0.005448818,0.43756574,0.56243426
40,0.00538533,0.44295108,0.5570489
41,0.0053250957,0.4482762,0.55172384
42,0.005153113,0.4534293,0.54657066
43,0.005135538,0.45856485,0.5414351
44,0.005049042,0.4636139,0.53638613
45,0.0049360557,0.46854997,0.53145003
46,0.004920586,0.47347054,0.52652943
47,0.0048427526,0.4783133,0.5216867
48,0.004789159,0.48310247,0.51689756
49,0.004668336,0.4877708,0.5122292
50,0.0045557437,0.49232653,0.5076735
51,0.0045164833,0.496843,0.503157
52,0.0044667977,0.5013098,0.4986902
53,0.0043691085,0.5056789,0.4943211
54,0.0043257186,0.51000464,0.48999536
55,0.0043206294,0.51432526,0.48567474
56,0.0042965203,0.5186218,0.4813782
57,0.0041940296,0.5228158,0.47718418
58,0.0041785887,0.5269944,0.4730056
59,0.004074685,0.5310691,0.4689309
60,0.0040465686,0.53511566,0.46488434
61,0.003993952,0.5391096,0.4608904
62,0.0039666435,0.5430762,0.45692378
63,0.0039500757,0.5470263,0.45297372
64,0.003924538,0.5509508,0.44904917
65,0.0038640269,0.5548149,0.44518512
66,0.003825788,0.55864066,0.44135934
67,0.0038098115,0.56245047,0.43754953
68,0.003756989,0.56620747,0.43379253
69,0.0037375556,0.56994504,0.43005496
70,0.0036966794,0.5736417,0.42635828
71,0.0036260923,0.5772678,0.42273217
72,0.0035913065,0.5808591,0.41914088
73,0.003576001,0.5844351,0.4155649
74,0.0035177334,0.58795285,0.41204715
75,0.0035035254,0.59145635,0.40854365
76,0.0034678015,0.59492415,0.40507585
77,0.0034471855,0.5983713,0.40162867
78,0.0034243278,0.6017957,0.39820433
79,0.0033975313,0.6051932,0.3948068
80,0.003341185,0.6085344,0.3914656
81,0.0033381353,0.61187255,0.38812745
82,0.003312019,0.61518455,0.38481545
83,0.0032603415,0.61844486,0.38155514
84,0.0032197924,0.62166464,0.37833536
85,0.0031938395,0.6248585,0.3751415
86,0.0031835656,0.62804204,0.37195796
87,0.0031441494,0.6311862,0.3688138
88,0.0031394034,0.63432556,0.36567444
89,0.003099556,0.6374251,0.36257488
90,0.0030923772,0.6405175,0.35948253
91,0.0030582251,0.6435757,0.35642427
92,0.0030343817,0.6466101,0.35338992
93,0.0030169752,0.64962703,0.35037297
94,0.0029816919,0.6526087,0.3473913
95,0.0029467377,0.6555554,0.34444457
96,0.0029208588,0.6584763,0.3415237
97,0.0028935634,0.66136986,0.33863014
98,0.0028840718,0.66425395,0.33574605
99,0.002845215,0.6670992,0.33290082
100,0.0028362784,0.66993546,0.33006454
101,0.002813439,0.6727489,0.32725108
102,0.002790757,0.6755397,0.32446033
103,0.0027708902,0.6783106,0.32168943
104,0.0027466188,0.6810572,0.3189428
105,0.002741937,0.68379915,0.31620085
106,0.0027238796,0.686523,0.31347698
107,0.0026996122,0.68922263,0.31077737
108,0.0026844551,0.6919071,0.3080929
109,0.0026807263,0.6945878,0.30541217
110,0.0026553113,0.69724315,0.30275685
111,0.0026199264,0.6998631,0.30013692
112,0.0026135445,0.7024766,0.29752338
113,0.0026062666,0.7050829,0.2949171
114,0.0025848325,0.7076677,0.2923323
115,0.0025616167,0.71022934,0.28977066
116,0.0025454464,0.7127748,0.2872252
117,0.002505227,0.71528006,0.28471994
118,0.0025010363,0.71778107,0.28221893
119,0.002483582,0.7202647,0.27973533
120,0.0024627591,0.7227274,0.27727258
121,0.0024585873,0.725186,0.274814
122,0.0024433373,0.7276293,0.2723707
123,0.0024128174,0.7300421,0.2699579
124,0.0023970313,0.73243916,0.26756084
125,0.0023845686,0.7348237,0.2651763
126,0.002378888,0.7372026,0.26279742
127,0.002370686,0.7395733,0.2604267
128,0.0023601046,0.7419334,0.2580666
129,0.00233897,0.74427235,0.25572765
130,0.002308572,0.7465809,0.2534191
131,0.0022996946,0.74888057,0.25111943
132,0.0022734983,0.75115407,0.24884593
133,0.002265893,0.75341994,0.24658006
134,0.002262344,0.7556823,0.24431771
135,0.0022304612,0.75791276,0.24208724
136,0.0022206812,0.76013345,0.23986655
137,0.0022169836,0.76235044,0.23764956
138,0.0022060524,0.76455647,0.23544353
139,0.0021780133,0.7667345,0.23326552
140,0.0021597939,0.76889426,0.23110574
141,0.0021473686,0.77104163,0.22895837
142,0.0021331871,0.7731748,0.22682518
143,0.0021285128,0.77530336,0.22469664
144,0.0021108403,0.7774142,0.2225858
145,0.002098862,0.77951306,0.22048694
146,0.0020908692,0.78160393,0.21839607
147,0.0020781076,0.78368205,0.21631795
148,0.0020591205,0.78574115,0.21425885
149,0.0020506817,0.78779185,0.21220815
150,0.0020394912,0.78983134,0.21016866
151,0.0020134465,0.7918448,0.20815521
152,0.002006306,0.7938511,0.20614892
153,0.0019846759,0.79583573,0.20416427
154,0.001965316,0.7978011,0.20219892
155,0.0019581316,0.7997592,0.20024079
156,0.0019517276,0.80171096,0.19828904
157,0.0019466846,0.80365765,0.19634235
158,0.0019367548,0.8055944,0.19440562
159,0.0019199968,0.80751437,0.19248563
160,0.0019068011,0.8094212,0.19057882
161,0.0018997457,0.8113209,0.1886791
162,0.0018883672,0.8132093,0.1867907
163,0.0018624392,0.81507176,0.18492824
164,0.0018598413,0.8169316,0.1830684
165,0.0018367704,0.8187684,0.18123162
166,0.0018255088,0.8205939,0.1794061
167,0.0018209254,0.8224148,0.17758518
168,0.0018086906,0.8242235,0.17577648
169,0.001785973,0.8260095,0.17399049
170,0.0017678047,0.8277773,0.17222267
171,0.0017574311,0.82953477,0.17046523
172,0.0017496323,0.8312844,0.1687156
173,0.0017406427,0.83302504,0.16697496
174,0.001731026,0.8347561,0.16524392
175,0.0017254807,0.8364816,0.16351843
176,0.0017209203,0.8382025,0.16179752
177,0.0016970558,0.83989954,0.16010046
178,0.0016827334,0.8415823,0.1584177
179,0.0016729217,0.8432552,0.15674478
180,0.0016565439,0.84491175,0.15508825
181,0.0016447557,0.8465565,0.15344352
182,0.0016359665,0.84819245,0.15180755
183,0.0016271924,0.84981966,0.15018034
184,0.0016171879,0.85143685,0.14856315
185,0.0016105933,0.85304743,0.14695257
186,0.0015960339,0.85464346,0.14535654
187,0.0015905444,0.856234,0.14376599
188,0.0015726676,0.8578067,0.14219332
189,0.001569841,0.85937655,0.14062345
190,0.0015636781,0.8609402,0.13905978
191,0.0015531612,0.8624934,0.1375066
192,0.0015477134,0.8640411,0.13595891
193,0.0015347257,0.8655758,0.13442421
194,0.0015287237,0.86710453,0.13289547
195,0.0015197601,0.86862427,0.13137573
196,0.0015111143,0.87013537,0.12986463
197,0.0014983388,0.8716337,0.12836629
198,0.0014979301,0.87313163,0.12686837
199,0.0014891778,0.8746208,0.1253792
200,0.001470403,0.8760912,0.12390882
201,0.0014639024,0.8775551,0.12244493
202,0.0014517708,0.87900686,0.12099314
203,0.0014500491,0.8804569,0.119543076
204,0.0014327323,0.88188964,0.11811036
205,0.001428168,0.8833178,0.11668217
206,0.0014234915,0.8847413,0.11525869
207,0.0014107632,0.8861521,0.11384791
208,0.0014007546,0.88755286,0.11244714
209,0.0013947922,0.88894767,0.111052334
210,0.001383301,0.890331,0.10966903
211,0.0013738482,0.8917048,0.1082952
212,0.0013674583,0.89307225,0.10692775
213,0.0013485181,0.89442074,0.10557926
214,0.0013461454,0.8957669,0.104233086
215,0.0013308341,0.89709777,0.10290223
216,0.0013274791,0.8984252,0.10157478
217,0.0013158134,0.89974105,0.10025895
218,0.0012977378,0.90103877,0.098961234
219,0.0012882649,0.902327,0.097673
220,0.0012737863,0.9036008,0.09639919
221,0.0012618782,0.9048627,0.0951373
222,0.0012569831,0.9061197,0.093880296
223,0.0012535539,0.90737325,0.09262675
224,0.0012485432,0.9086218,0.09137821
225,0.001240397,0.90986216,0.09013784
226,0.0012270354,0.9110892,0.08891082
227,0.0012204422,0.91230965,0.08769035
228,0.0012152934,0.9135249,0.086475074
229,0.001208361,0.9147333,0.08526671
230,0.001201791,0.9159351,0.0840649
231,0.0011947525,0.9171299,0.082870126
232,0.0011832026,0.9183131,0.081686914
233,0.0011753836,0.9194885,0.08051151
234,0.0011657301,0.92065424,0.07934576
235,0.0011489101,0.9218032,0.07819682
236,0.00114567,0.92294884,0.07705116
237,0.0011266243,0.9240755,0.075924516
238,0.0011198991,0.9251954,0.074804604
239,0.0011152906,0.92631066,0.07368934
240,0.0011086897,0.92741936,0.072580636
241,0.0010970169,0.9285164,0.07148361
242,0.0010922746,0.92960864,0.07039136
243,0.0010794761,0.93068814,0.06931186
244,0.0010705041,0.93175864,0.06824136
245,0.0010689519,0.9328276,0.06717241
246,0.0010554524,0.9338831,0.06611693
247,0.0010528867,0.934936,0.06506401
248,0.0010459262,0.9359819,0.06401807
249,0.0010285602,0.93701047,0.06298953
250,0.0010202957,0.9380308,0.06196922
251,0.0010081523,0.93903893,0.060961068
252,0.0009997783,0.9400387,0.05996132
253,0.000993338,0.941032,0.058968008
254,0.0009860264,0.94201803,0.057981968
255,0.00097771,0.9429957,0.057004273
256,0.0009686683,0.9439644,0.05603558
257,0.00096296665,0.9449274,0.055072606
258,0.0009523932,0.9458798,0.054120183
259,0.00093446363,0.9468143,0.0531857
260,0.00092330243,0.9477376,0.052262425
261,0.0009191898,0.94865674,0.051343262
262,0.0009075454,0.9495643,0.050435722
263,0.00090100185,0.95046526,0.049534738
264,0.0008814035,0.95134664,0.048653364
265,0.00087602,0.95222265,0.047777355
266,0.00086360157,0.95308626,0.046913743
267,0.00085786596,0.95394415,0.046055853
268,0.0008488956,0.95479304,0.045206964
269,0.0008478792,0.9556409,0.044359088
270,0.0008395146,0.95648044,0.043519557
271,0.0008315917,0.95731205,0.042687953
272,0.0008269784,0.958139,0.041860998
273,0.0008190867,0.9589581,0.04104191
274,0.0008003634,0.95975846,0.04024154
275,0.0007903638,0.9605488,0.039451182
276,0.0007752506,0.9613241,0.038675904
277,0.00076058635,0.9620847,0.03791529
278,0.00075327355,0.962838,0.037162006
279,0.0007460619,0.96358407,0.036415935
280,0.00074247294,0.96432656,0.03567344
281,0.0007274795,0.96505404,0.034945965
282,0.00072227453,0.9657763,0.034223676
283,0.00071522046,0.9664915,0.03350848
284,0.00070056674,0.9671921,0.032807887
285,0.0006957982,0.96788794,0.032112062
286,0.0006814603,0.9685694,0.031430602
287,0.00067340804,0.9692428,0.030757189
288,0.0006574646,0.96990025,0.03009975
289,0.00064690254,0.97054714,0.02945286
290,0.0006396676,0.9711868,0.028813183
291,0.0006339735,0.9718208,0.028179228
292,0.0006312193,0.972452,0.027548015
293,0.00062742917,0.97307944,0.026920557
294,0.0006119811,0.9736914,0.026308596
295,0.00059838087,0.9742898,0.025710225
296,0.0005902081,0.97488,0.02512002
297,0.0005800732,0.97546005,0.024539948
298,0.0005726791,0.97603273,0.023967266
299,0.00056438084,0.97659713,0.02340287
300,0.00054905587,0.9771462,0.022853792
301,0.00054066384,0.9776869,0.022313118
302,0.000528838,0.9782157,0.021784306
303,0.0005232127,0.9787389,0.021261096
304,0.0005112576,0.97925013,0.020749867
305,0.00050029875,0.97975045,0.020249546
306,0.00048776352,0.9802382,0.0197618
307,0.00047912495,0.9807173,0.019282699
308,0.00046807557,0.9811854,0.018814623
309,0.000462168,0.98164755,0.018352449
310,0.00045710106,0.98210466,0.01789534
311,0.0004542891,0.98255897,0.017441034
312,0.00044457623,0.98300356,0.016996443
313,0.0004348076,0.9834384,0.016561627
314,0.0004292627,0.98386765,0.016132355
315,0.00041728912,0.98428494,0.015715063
316,0.0004087807,0.9846937,0.015306294
317,0.0004051269,0.98509884,0.014901161
318,0.00040073603,0.98549956,0.014500439
319,0.00039016036,0.98588973,0.014110267
320,0.00038081413,0.98627055,0.013729453
321,0.00037616614,0.9866467,0.013353288
322,0.00036766264,0.98701435,0.012985647
323,0.00036293425,0.9873773,0.012622714
324,0.00035330243,0.98773056,0.012269437
325,0.00034897588,0.98807955,0.011920452
326,0.0003437981,0.98842335,0.0115766525
327,0.00033480782,0.98875815,0.011241853
328,0.00032178042,0.98907995,0.010920048
329,0.00031765806,0.9893976,0.010602415
330,0.00031292526,0.9897105,0.01028949
331,0.00030812222,0.9900186,0.009981394
