component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.060792018,0.060792018,0.939208
2,0.054353513,0.115145534,0.88485444
3,0.034623615,0.14976916,0.8502308
4,0.029663654,0.17943281,0.8205672
5,0.023860717,0.20329353,0.79670644
6,0.023032026,0.22632556,0.7736744
7,0.021425191,0.24775074,0.75224924
8,0.01899305,0.26674378,0.7332562
9,0.0185152,0.28525898,0.714741
10,0.01659305,0.30185202,0.698148
11,0.015163176,0.3170152,0.6829848
12,0.014496879,0.3315121,0.6684879
13,0.013525139,0.34503722,0.6549628
14,0.0129405465,0.35797778,0.64202225
15,0.012111532,0.37008932,0.6299107
16,0.012041221,0.38213053,0.6178695
17,0.011467401,0.39359793,0.60640204
18,0.01082809,0.404426,0.595574
19,0.010116391,0.4145424,0.58545756
20,0.009200062,0.42374247,0.5762575
21,0.008941358,0.43268383,0.5673162
22,0.008343196,0.44102702,0.55897295
23,0.008271411,0.44929844,0.55070156
24,0.007960604,0.45725906,0.54274094
25,0.007869985,0.46512905,0.534871
26,0.0077850614,0.4729141,0.5270859
27,0.0071603963,0.4800745,0.5199255
28,0.007056676,0.48713118,0.5128688
29,0.0068920953,0.49402326,0.50597674
30,0.006525126,0.50054836,0.49945164
31,0.006233009,0.5067814,0.4932186
32,0.0060212775,0.51280266,0.48719734
33,0.006009002,0.51881164,0.48118836
34,0.0058653764,0.52467704,0.47532296
35,0.0056377836,0.5303148,0.4696852
36,0.0055856956,0.5359005,0.46409953
37,0.0053582275,0.5412587,0.4587413
38,0.005231505,0.5464902,0.4535098
39,0.005088026,0.5515782,0.44842178
40,0.004937232,0.55651546,0.44348454
41,0.0048449403,0.5613604,0.43863958
42,0.004712918,0.56607336,0.43392664
43,0.0046012425,0.5706746,0.4293254
44,0.004549776,0.5752244,0.4247756
45,0.0044725393,0.57969695,0.42030305
46,0.0043636374,0.5840606,0.4159394
47,0.0043350924,0.5883957,0.4116043
48,0.004255568,0.5926513,0.4073487
49,0.004191351,0.59684265,0.40315735
50,0.0041233697,0.60096604,0.39903396
51,0.004059871,0.6050259,0.3949741
52,0.003958478,0.60898435,0.39101565
53,0.003905843,0.6128902,0.38710982
54,0.0038402476,0.61673045,0.38326955
55,0.003755164,0.6204856,0.3795144
56,0.0037025977,0.6241882,0.37581182
57,0.0036599988,0.6278482,0.3721518
58,0.0035367936,0.631385,0.36861497
59,0.0034283844,0.6348134,0.36518657
60,0.0034188395,0.6382323,0.3617677
61,0.0033233704,0.64155567,0.35844433
62,0.0032962475,0.6448519,0.35514808
63,0.0032606286,0.64811254,0.35188746
64,0.0032349732,0.6513475,0.34865248
65,0.003152133,0.65449965,0.34550035
66,0.003133979,0.6576336,0.3423664
67,0.0029775954,0.6606112,0.3393888
68,0.0029736175,0.6635848,0.33641517
69,0.0029428455,0.6665277,0.3334723
70,0.0029206285,0.6694483,0.33055168
71,0.0028806466,0.67232895,0.32767105
72,0.0028236846,0.67515266,0.32484734
73,0.0027287067,0.67788136,0.32211864
74,0.0027032248,0.6805846,0.3194154
75,0.0026789564,0.68326354,0.31673646
76,0.0026484383,0.68591195,0.31408805
77,0.0026059458,0.6885179,0.31148207
78,0.002580825,0.69109875,0.30890125
79,0.0025643213,0.69366306,0.30633694
80,0.0025272018,0.69619024,0.30380976
81,0.00247099,0.6986612,0.3013388
82,0.0024561414,0.70111734,0.29888266
83,0.0023894864,0.7035068,0.29649317
84,0.0023724048,0.7058792,0.2941208
85,0.0023489487,0.7082282,0.29177183
86,0.002307981,0.7105361,0.28946388
87,0.0022927502,0.7128289,0.28717113
88,0.002243342,0.7150722,0.2849278
89,0.0021921436,0.71726435,0.28273565
90,0.0021891247,0.71945345,0.28054655
91,0.002170672,0.72162414,0.27837586
92,0.0021498168,0.72377396,0.27622604
93,0.0021186413,0.7258926,0.2741074
94,0.002084602,0.7279772,0.27202278
95,0.0020560292,0.7300332,0.26996678
96,0.00204999,0.7320832,0.2679168
97,0.002023706,0.7341069,0.2658931
98,0.0019871395,0.73609406,0.26390594
99,0.0019783075,0.73807234,0.26192766
100,0.0019458393,0.7400182,0.2599818
101,0.0019414419,0.74195963,0.25804037
102,0.0019049377,0.7438646,0.2561354
103,0.0018980327,0.74576265,0.25423735
104,0.001869796,0.74763244,0.25236756
105,0.0018637455,0.74949616,0.25050384
106,0.0018302776,0.75132644,0.24867356
107,0.0018056949,0.75313216,0.24686784
108,0.0017847181,0.7549169,0.2450831
109,0.0017670933,0.756684,0.243316
110,0.0017336761,0.75841767,0.24158233
111,0.001713879,0.76013154,0.23986846
112,0.0017033742,0.7618349,0.23816508
113,0.0016590828,0.763494,0.23650599
114,0.0016421806,0.7651362,0.23486382
115,0.0016387138,0.7667749,0.2332251
116,0.0016129136,0.7683878,0.2316122
117,0.0015990351,0.7699868,0.23001319
118,0.0015901305,0.77157694,0.22842306
119,0.0015749835,0.77315193,0.22684807
120,0.0015710498,0.774723,0.225277
121,0.0015563726,0.7762794,0.22372061
122,0.001539141,0.77781856,0.22218144
123,0.0015180984,0.77933663,0.22066337
124,0.0014961023,0.7808327,0.21916729
125,0.001480903,0.7823136,0.21768641
126,0.0014705933,0.78378415,0.21621585
127,0.0014628643,0.785247,0.21475297
128,0.0014491555,0.7866962,0.2133038
129,0.0014236255,0.7881198,0.2118802
130,0.0014171075,0.7895369,0.2104631
131,0.0014103417,0.79094726,0.20905274
132,0.0014049537,0.7923522,0.2076478
133,0.0013873457,0.79373956,0.20626044
134,0.0013640497,0.7951036,0.20489639
135,0.0013582755,0.7964619,0.20353812
136,0.0013413784,0.7978033,0.20219672
137,0.0013221239,0.79912543,0.20087457
138,0.0013156697,0.8004411,0.19955891
139,0.0013017429,0.80174285,0.19825715
140,0.0012857252,0.8030286,0.19697142
141,0.0012637534,0.8042923,0.19570768
142,0.0012537361,0.80554605,0.19445395
143,0.001244628,0.80679065,0.19320935
144,0.0012406325,0.80803126,0.19196874
145,0.0012249969,0.80925626,0.19074374
146,0.0012173405,0.8104736,0.18952638
147,0.0012064432,0.8116801,0.18831992
148,0.0011936397,0.8128737,0.18712628
149,0.0011896194,0.8140634,0.18593663
150,0.0011830825,0.81524646,0.18475354
151,0.0011752071,0.8164217,0.18357831
152,0.0011617676,0.81758344,0.18241656
153,0.0011487801,0.8187322,0.1812678
154,0.0011350195,0.8198672,0.1801328
155,0.0011187826,0.820986,0.17901403
156,0.0011132412,0.8220992,0.17790079
157,0.0011005418,0.82319975,0.17680025
158,0.0010940335,0.8242938,0.17570621
159,0.0010868999,0.8253807,0.17461932
160,0.0010784554,0.8264591,0.17354089
161,0.0010656065,0.8275247,0.17247528
162,0.0010629259,0.82858765,0.17141235
163,0.0010547879,0.8296424,0.17035758
164,0.0010392537,0.8306817,0.16931832
165,0.0010317761,0.83171344,0.16828656
166,0.0010263252,0.8327398,0.16726023
167,0.0010177415,0.8337575,0.16624248
168,0.0010083219,0.83476585,0.16523415
169,0.0009981075,0.83576393,0.16423607
170,0.0009892001,0.83675313,0.16324687
171,0.0009863699,0.8377395,0.16226047
172,0.0009831067,0.83872265,0.16127735
173,0.00096110144,0.8396838,0.16031623
174,0.0009592627,0.84064305,0.15935695
175,0.00095242285,0.8415955,0.15840453
