component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.049727175,0.049727175,0.9502728
2,0.024740236,0.07446741,0.9255326
3,0.01973776,0.09420517,0.90579486
4,0.017752824,0.111958,0.888042
5,0.015526774,0.12748477,0.8725152
6,0.01492038,0.14240515,0.85759485
7,0.012583082,0.15498823,0.8450118
8,0.0121346805,0.16712292,0.8328771
9,0.0115067195,0.17862964,0.82137036
10,0.01098397,0.18961361,0.8103864
11,0.010590324,0.20020394,0.79979604
12,0.010015071,0.21021901,0.789781
13,0.0090572005,0.2192762,0.7807238
14,0.008797633,0.22807384,0.77192616
15,0.008581049,0.23665488,0.7633451
16,0.007906244,0.24456112,0.75543886
17,0.007726652,0.25228778,0.74771225
18,0.0074810823,0.25976884,0.74023116
19,0.007127241,0.2668961,0.7331039
20,0.0070312875,0.2739274,0.7260726
21,0.0068448894,0.28077227,0.71922773
22,0.0067637325,0.287536,0.712464
23,0.0066443942,0.2941804,0.7058196
24,0.0064648828,0.30064526,0.69935477
25,0.0062258,0.30687106,0.69312894
26,0.0060491133,0.31292018,0.6870798
27,0.0059997444,0.31891993,0.6810801
28,0.005837187,0.3247571,0.6752429
29,0.0057326835,0.33048978,0.66951025
30,0.0056148777,0.33610466,0.66389537
31,0.0055032377,0.3416079,0.6583921
32,0.0053395806,0.3469475,0.6530525
33,0.0052732634,0.35222074,0.6477792
34,0.005211958,0.3574327,0.6425673
35,0.0051244427,0.36255714,0.6374428
36,0.0050916513,0.36764878,0.6323512
37,0.004951862,0.37260064,0.6273993
38,0.0048915916,0.37749225,0.62250775
39,0.004787868,0.3822801,0.6177199
40,0.0047250316,0.38700515,0.61299485
41,0.004635106,0.39164025,0.60835975
42,0.00459016,0.3962304,0.6037696
43,0.0045500896,0.4007805,0.5992195
44,0.004496491,0.40527698,0.594723
45,0.0043889005,0.40966588,0.5903341
46,0.0043448685,0.41401076,0.58598924
47,0.004221068,0.41823184,0.58176816
48,0.004188838,0.42242068,0.5775793
49,0.0041525643,0.42657325,0.5734267
50,0.004091627,0.43066487,0.5693351
51,0.0040329797,0.43469784,0.56530213
52,0.004020832,0.43871868,0.5612813
53,0.003942949,0.4426616,0.55733836
54,0.0038812128,0.44654283,0.55345714
55,0.0038650592,0.4504079,0.54959214
56,0.003824309,0.45423222,0.5457678
57,0.0037673705,0.4579996,0.5420004
58,0.0037333001,0.4617329,0.53826714
59,0.003684579,0.46541747,0.5345825
60,0.003609314,0.46902677,0.5309732
61,0.0035884066,0.47261518,0.5273848
62,0.0035385042,0.47615367,0.5238463
63,0.0034962248,0.4796499,0.5203501
64,0.0034806847,0.48313057,0.5168694
65,0.0034375892,0.48656815,0.51343185
66,0.0034314678,0.48999962,0.51000035
67,0.0033789629,0.49337858,0.5066214
68,0.0033505396,0.4967291,0.50327086
69,0.0033099493,0.50003904,0.49996096
70,0.0032821787,0.50332123,0.49667877
71,0.0032441383,0.5065654,0.4934346
72,0.0032306497,0.509796,0.49020398
73,0.003224322,0.51302034,0.48697966
74,0.0031577,0.516178,0.483822
75,0.0031518722,0.5193299,0.4806701
76,0.00311297,0.5224429,0.47755712
77,0.0030973265,0.52554023,0.47445977
78,0.003055009,0.52859527,0.47140473
79,0.0030053149,0.5316006,0.4683994
80,0.0029881971,0.5345888,0.4654112
81,0.0029835373,0.5375723,0.46242768
82,0.002949227,0.54052156,0.45947844
83,0.0029234649,0.54344505,0.45655495
84,0.002885727,0.54633075,0.45366925
85,0.0028529747,0.5491837,0.45081627
86,0.002839049,0.55202276,0.44797724
87,0.0028230967,0.55484587,0.44515413
88,0.002800988,0.5576469,0.44235313
89,0.0027925025,0.56043935,0.43956065
90,0.0027570133,0.56319636,0.43680364
91,0.0027420723,0.5659384,0.4340616
92,0.0027186363,0.56865704,0.43134296
93,0.0027060735,0.5713631,0.4286369
94,0.002658366,0.57402146,0.42597854
95,0.002630732,0.57665217,0.42334783
96,0.0026100345,0.5792622,0.4207378
97,0.0025895245,0.5818517,0.41814828
98,0.0025599916,0.58441174,0.41558826
99,0.0025481605,0.5869599,0.4130401
100,0.0025419816,0.58950186,0.41049814
101,0.0025314104,0.59203327,0.40796673
102,0.0024935228,0.59452677,0.40547323
103,0.0024730053,0.59699976,0.40300024
104,0.0024668043,0.59946656,0.40053344
105,0.002451208,0.60191774,0.39808226
106,0.0024426172,0.60436034,0.39563966
107,0.0024231893,0.6067835,0.3932165
108,0.0023819513,0.6091655,0.3908345
109,0.0023780612,0.61154354,0.38845646
110,0.0023507345,0.6138943,0.38610572
111,0.0023413922,0.6162357,0.38376433
112,0.0023274738,0.6185632,0.38143682
113,0.002313152,0.6208763,0.3791237
114,0.0022857995,0.6231621,0.3768379
115,0.0022791186,0.6254412,0.3745588
116,0.0022585262,0.62769973,0.37230027
117,0.0022531566,0.6299529,0.3700471
118,0.0022221457,0.632175,0.36782497
119,0.0022081686,0.6343832,0.3656168
120,0.0022059109,0.6365891,0.3634109
121,0.0021867948,0.6387759,0.3612241
122,0.0021562923,0.6409322,0.3590678
123,0.0021417402,0.6430739,0.35692608
124,0.002131184,0.6452051,0.35479492
125,0.0021185274,0.6473236,0.3526764
126,0.002090564,0.6494142,0.35058582
127,0.0020877586,0.65150195,0.34849805
128,0.0020807867,0.65358275,0.34641725
129,0.002061273,0.655644,0.344356
130,0.0020476235,0.6576916,0.3423084
131,0.0020355494,0.65972716,0.34027284
132,0.0020269204,0.6617541,0.33824593
133,0.0020190906,0.6637732,0.33622682
134,0.0020068667,0.66578007,0.33421993
