component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.06589644,0.06589644,0.93410355
2,0.046029095,0.11192553,0.88807446
3,0.041151755,0.15307727,0.84692276
4,0.034739,0.18781628,0.81218374
5,0.031868618,0.2196849,0.7803151
6,0.02636676,0.24605165,0.75394833
7,0.024138544,0.2701902,0.72980976
8,0.021700162,0.29189038,0.7081096
9,0.020474343,0.31236473,0.6876353
10,0.020209542,0.33257428,0.66742575
11,0.018606026,0.35118032,0.6488197
12,0.01829714,0.36947745,0.63052255
13,0.01700254,0.38648,0.61352
14,0.01501755,0.40149754,0.59850246
15,0.014256734,0.4157543,0.5842457
16,0.01399519,0.4297495,0.5702505
17,0.012930351,0.44267985,0.5573201
18,0.012500697,0.45518056,0.5448195
19,0.012146927,0.46732748,0.5326725
20,0.011635215,0.4789627,0.52103734
21,0.01150351,0.4904662,0.50953376
22,0.011042738,0.50150895,0.49849105
23,0.010839082,0.51234806,0.48765194
24,0.0101466095,0.5224947,0.47750533
25,0.009948137,0.5324428,0.4675572
26,0.009515792,0.5419586,0.45804143
27,0.0092472965,0.5512059,0.44879413
28,0.009113965,0.56031984,0.43968016
29,0.008481177,0.56880105,0.43119895
30,0.008160082,0.5769611,0.4230389
31,0.007970769,0.58493185,0.41506815
32,0.0076447823,0.5925766,0.40742338
33,0.007364215,0.59994084,0.40005916
34,0.007101373,0.6070422,0.3929578
35,0.006841682,0.61388385,0.38611615
36,0.0065965243,0.62048036,0.37951964
37,0.0064999405,0.6269803,0.3730197
38,0.006339945,0.6333203,0.36667973
39,0.006168348,0.63948864,0.36051136
40,0.0059437384,0.64543235,0.35456765
41,0.00591763,0.65134996,0.34865004
42,0.0058120396,0.657162,0.342838
43,0.0056657516,0.6628278,0.3371722
44,0.00547674,0.6683045,0.3316955
45,0.0053454437,0.67364997,0.32635003
46,0.0051564914,0.6788065,0.32119352
47,0.0050615827,0.68386805,0.31613195
48,0.0048907697,0.68875885,0.31124115
49,0.0048078946,0.69356674,0.30643326
50,0.004756114,0.69832283,0.30167717
51,0.0046818117,0.70300466,0.29699534
52,0.004465827,0.7074705,0.29252952
53,0.004407068,0.7118775,0.28812248
54,0.004340122,0.71621764,0.28378236
55,0.0042076274,0.72042525,0.27957475
56,0.004157288,0.72458255,0.27541745
57,0.0041382154,0.7287208,0.27127922
58,0.0041115093,0.7328323,0.2671677
59,0.0040472173,0.7368795,0.26312047
60,0.0037911134,0.7406706,0.25932938
61,0.0037744644,0.7444451,0.2555549
62,0.0036696207,0.7481147,0.2518853
63,0.0035884387,0.75170314,0.24829686
