component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.19884367,0.19884367,0.80115634
2,0.044196676,0.24304035,0.7569597
3,0.02435038,0.26739073,0.7326093
4,0.020985177,0.2883759,0.7116241
5,0.0203094,0.3086853,0.6913147
6,0.017273422,0.32595873,0.6740413
7,0.01479911,0.34075785,0.65924215
8,0.013384194,0.35414204,0.64585793
9,0.012235141,0.36637717,0.6336228
10,0.010669083,0.37704626,0.6229538
11,0.009753193,0.38679945,0.61320055
12,0.008810279,0.39560974,0.60439026
13,0.008535751,0.40414548,0.5958545
14,0.00800693,0.4121524,0.5878476
15,0.007533293,0.4196857,0.5803143
16,0.0071617966,0.4268475,0.57315254
17,0.0067734886,0.433621,0.566379
18,0.0062818713,0.43990287,0.5600971
19,0.0061819977,0.44608486,0.55391514
20,0.00563114,0.451716,0.548284
21,0.0055081607,0.45722416,0.54277587
22,0.0051820646,0.46240622,0.5375938
23,0.005078128,0.46748435,0.53251565
24,0.0047699288,0.47225428,0.5277457
25,0.0046364707,0.47689074,0.52310926
26,0.004312707,0.48120344,0.51879656
27,0.004128789,0.48533222,0.51466775
28,0.003935765,0.48926798,0.51073205
29,0.0038849474,0.49315292,0.5068471
30,0.0037256086,0.49687853,0.5031215
31,0.0036325797,0.5005111,0.4994889
32,0.003564501,0.5040756,0.4959244
33,0.0035256187,0.5076012,0.4923988
34,0.0033487328,0.5109499,0.4890501
35,0.0032487286,0.51419866,0.48580134
36,0.0031395338,0.5173382,0.48266178
37,0.0030847404,0.52042294,0.47957706
38,0.0030083251,0.52343124,0.47656876
39,0.0029505407,0.5263818,0.4736182
40,0.00288644,0.5292682,0.4707318
41,0.0028644458,0.5321326,0.46786737
42,0.0028095497,0.53494215,0.46505785
43,0.0027617237,0.5377039,0.46229613
44,0.0026673344,0.5403712,0.45962882
45,0.0026395998,0.5430108,0.45698923
46,0.0025842271,0.545595,0.454405
47,0.0024917163,0.5480867,0.4519133
48,0.0024369298,0.55052364,0.44947636
49,0.0024318018,0.55295545,0.44704455
50,0.0024250718,0.5553805,0.44461948
51,0.0023397973,0.5577203,0.4422797
52,0.002287644,0.5600079,0.43999207
53,0.0022289322,0.56223685,0.43776315
54,0.002165222,0.56440204,0.43559796
55,0.0021351834,0.5665372,0.4334628
56,0.0021162706,0.56865346,0.43134654
57,0.0020651678,0.57071865,0.42928135
58,0.0020643254,0.572783,0.427217
59,0.0019863918,0.5747694,0.42523062
60,0.0019388362,0.5767082,0.4232918
61,0.0019370589,0.5786452,0.42135477
62,0.0018927746,0.580538,0.41946203
63,0.0018477301,0.5823857,0.41761428
64,0.0018226324,0.58420837,0.41579163
65,0.0018095487,0.5860179,0.4139821
66,0.0018004461,0.5878183,0.41218168
67,0.0017772842,0.5895956,0.41040438
68,0.0017641643,0.5913598,0.4086402
69,0.0017405122,0.5931003,0.4068997
70,0.0017180456,0.59481835,0.40518165
71,0.0016839467,0.5965023,0.4034977
72,0.0016636379,0.5981659,0.40183407
73,0.0016451394,0.5998111,0.40018892
74,0.0016367733,0.6014478,0.39855218
75,0.0016174836,0.6030653,0.3969347
76,0.0015564004,0.6046217,0.3953783
77,0.0015489426,0.60617065,0.39382935
78,0.0015405698,0.6077112,0.3922888
79,0.0015275899,0.6092388,0.3907612
80,0.0015038139,0.6107426,0.38925737
81,0.0014766061,0.6122192,0.3877808
82,0.0014654589,0.61368465,0.38631535
83,0.0014499988,0.61513466,0.38486534
84,0.0014366914,0.61657137,0.38342863
85,0.001416439,0.6179878,0.3820122
86,0.0014127998,0.6194006,0.38059938
87,0.0014033258,0.62080395,0.37919605
88,0.0013854627,0.6221894,0.3778106
89,0.0013617382,0.62355113,0.37644887
90,0.001327538,0.62487864,0.37512136
91,0.0013140994,0.62619275,0.37380725
92,0.0013096243,0.6275024,0.37249762
93,0.00130093,0.6288033,0.3711967
94,0.0012867983,0.6300901,0.36990988
95,0.0012779351,0.63136804,0.36863196
96,0.0012596562,0.6326277,0.36737227
97,0.0012410852,0.6338688,0.3661312
98,0.0012288843,0.6350977,0.36490232
99,0.001217798,0.63631546,0.36368454
100,0.0012050321,0.6375205,0.3624795
101,0.001192672,0.6387132,0.36128682
102,0.0011829663,0.63989615,0.36010385
103,0.0011715561,0.6410677,0.35893232
104,0.0011651414,0.64223284,0.35776716
105,0.0011462098,0.64337903,0.35662097
106,0.0011389392,0.64451796,0.35548204
107,0.0011376243,0.6456556,0.35434443
108,0.001132131,0.6467877,0.3532123
109,0.0011197559,0.64790744,0.35209256
110,0.0011034323,0.6490109,0.3509891
111,0.0010967721,0.6501077,0.34989232
112,0.0010880003,0.6511957,0.3488043
113,0.0010768118,0.6522725,0.34772748
114,0.0010713423,0.65334386,0.34665614
115,0.0010652137,0.65440905,0.34559095
116,0.0010491691,0.6554582,0.3445418
117,0.0010466785,0.65650487,0.34349513
118,0.0010412942,0.65754616,0.34245384
119,0.0010349702,0.65858114,0.34141886
120,0.0010209285,0.65960205,0.34039795
121,0.001017507,0.66061956,0.33938044
122,0.0010112432,0.6616308,0.3383692
123,0.0009949635,0.6626258,0.3373742
124,0.0009870532,0.66361284,0.33638716
125,0.0009804114,0.6645933,0.33540672
126,0.0009766944,0.66556996,0.33443004
127,0.00096644566,0.6665364,0.3334636
128,0.0009634834,0.6674999,0.3325001
129,0.0009548704,0.66845477,0.33154523
130,0.00094967795,0.66940445,0.33059555
131,0.00094433036,0.67034876,0.32965124
132,0.0009375729,0.67128634,0.32871366
133,0.00092946703,0.6722158,0.32778418
134,0.0009145045,0.67313033,0.32686967
135,0.0009104377,0.6740408,0.3259592
136,0.0009026068,0.6749434,0.3250566
137,0.0008965353,0.6758399,0.3241601
138,0.0008919077,0.6767318,0.32326818
139,0.00088677014,0.6776186,0.32238138
140,0.00088255864,0.6785012,0.3214988
141,0.0008787386,0.67937994,0.32062006
142,0.00087189995,0.68025184,0.31974816
143,0.0008659542,0.6811178,0.31888223
144,0.0008611231,0.6819789,0.31802112
145,0.0008514396,0.68283033,0.31716967
146,0.0008482694,0.6836786,0.31632137
147,0.0008421178,0.6845207,0.31547928
148,0.0008360706,0.6853568,0.3146432
149,0.0008283023,0.6861851,0.31381488
150,0.0008220297,0.6870071,0.31299287
151,0.0008172688,0.68782437,0.31217563
152,0.0008151443,0.6886395,0.31136048
153,0.00080527284,0.6894448,0.31055522
154,0.00080335746,0.69024813,0.30975187
155,0.0007954802,0.6910436,0.30895638
156,0.00078849,0.6918321,0.30816787
157,0.00078486506,0.692617,0.307383
158,0.00078192726,0.69339895,0.30660105
159,0.0007777694,0.69417673,0.30582327
160,0.0007689707,0.6949457,0.3050543
161,0.00076428166,0.69571,0.30429
162,0.00076350797,0.69647354,0.30352646
163,0.00075619883,0.69722974,0.30277026
164,0.0007550545,0.6979848,0.3020152
165,0.0007512669,0.6987361,0.30126393
166,0.0007487281,0.6994848,0.30051517
167,0.0007460186,0.70023084,0.29976916
168,0.00073949934,0.70097035,0.29902965
169,0.00073423114,0.70170456,0.29829544
170,0.0007297148,0.7024343,0.2975657
171,0.00072254473,0.7031568,0.29684317
172,0.00071872165,0.70387554,0.29612446
173,0.000716121,0.7045917,0.2954083
174,0.0007107356,0.7053024,0.29469758
175,0.0007099138,0.7060123,0.2939877
176,0.0007081213,0.7067204,0.2932796
177,0.00069685053,0.70741725,0.29258275
178,0.000692892,0.70811015,0.29188985
179,0.00069136365,0.7088015,0.2911985
180,0.00069016946,0.70949167,0.29050833
181,0.0006894775,0.7101812,0.28981882
182,0.00068377616,0.71086496,0.28913504
183,0.00068220554,0.7115472,0.2884528
184,0.0006772296,0.7122244,0.28777558
185,0.00067157357,0.712896,0.287104
186,0.0006682734,0.7135643,0.28643572
187,0.0006652923,0.7142296,0.28577042
188,0.0006619581,0.71489155,0.28510845
189,0.000656738,0.7155483,0.28445172
190,0.00065532274,0.7162036,0.28379643
191,0.0006535731,0.71685714,0.28314286
192,0.0006504841,0.7175076,0.2824924
193,0.0006453779,0.718153,0.281847
194,0.00063935027,0.7187924,0.28120762
195,0.00063748,0.71942985,0.28057015
196,0.00063458225,0.72006446,0.27993554
197,0.0006308944,0.7206954,0.27930462
