component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.1794882,0.1794882,0.8205118
2,0.050880045,0.23036824,0.76963174
3,0.047193363,0.2775616,0.7224384
4,0.031525653,0.30908725,0.6909127
5,0.02918018,0.33826742,0.66173255
6,0.01927334,0.35754076,0.6424593
7,0.01869269,0.37623346,0.62376654
8,0.01751254,0.393746,0.606254
9,0.016425448,0.41017145,0.58982855
10,0.014139451,0.4243109,0.5756891
11,0.012510524,0.43682143,0.56317854
12,0.011493458,0.44831488,0.5516851
13,0.011071418,0.4593863,0.5406137
14,0.010663825,0.47005013,0.5299499
15,0.009731331,0.47978145,0.52021855
16,0.009555114,0.48933655,0.51066345
17,0.008871685,0.49820822,0.5017918
18,0.008454471,0.50666267,0.49333733
19,0.008338707,0.51500136,0.48499864
20,0.008102445,0.5231038,0.47689623
21,0.0073793577,0.5304831,0.46951687
22,0.007129421,0.53761256,0.46238744
23,0.0067755403,0.5443881,0.45561188
24,0.0061759874,0.5505641,0.4494359
25,0.0060828407,0.55664694,0.44335306
26,0.0058506536,0.5624976,0.43750238
27,0.0057834466,0.56828105,0.43171895
28,0.005615129,0.57389617,0.42610383
29,0.0054998063,0.57939595,0.42060405
30,0.0051319795,0.5845279,0.4154721
31,0.00509229,0.5896202,0.41037983
32,0.004849965,0.59447014,0.40552986
33,0.0048055276,0.59927565,0.40072435
34,0.00467532,0.603951,0.39604902
35,0.0045133047,0.6084643,0.3915357
36,0.004426515,0.61289084,0.38710916
37,0.004271522,0.61716235,0.38283765
38,0.004251473,0.6214138,0.37858617
39,0.0041313716,0.6255452,0.3744548
40,0.0040171784,0.6295624,0.37043762
41,0.0039370507,0.63349944,0.36650056
42,0.0038407103,0.6373401,0.36265987
43,0.0037428858,0.641083,0.358917
44,0.0036681574,0.64475113,0.35524887
45,0.0035627647,0.6483139,0.35168612
46,0.0034413962,0.6517553,0.34824473
47,0.003402403,0.6551577,0.3448423
48,0.0033767908,0.65853447,0.34146553
49,0.003279348,0.6618138,0.3381862
50,0.0032157965,0.6650296,0.3349704
51,0.0031838778,0.6682135,0.3317865
52,0.0031216901,0.67133516,0.32866484
53,0.0030718674,0.674407,0.325593
54,0.0030299597,0.67743695,0.32256305
55,0.0030040236,0.68044096,0.31955904
56,0.0029641264,0.6834051,0.3165949
57,0.002886081,0.68629116,0.31370884
58,0.002832919,0.68912405,0.31087595
59,0.002810185,0.6919342,0.30806577
60,0.002773126,0.69470733,0.30529267
61,0.002723626,0.69743097,0.30256903
62,0.0026711868,0.70010215,0.29989785
63,0.0025957255,0.7026979,0.29730213
64,0.0025760266,0.7052739,0.29472607
65,0.0025450985,0.70781904,0.29218096
66,0.002504741,0.7103238,0.2896762
