component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.031885024,0.031885024,0.968115
2,0.030396825,0.062281847,0.93771815
3,0.020213544,0.08249539,0.9175046
4,0.019404214,0.10189961,0.8981004
5,0.017322483,0.11922209,0.8807779
6,0.01542518,0.13464727,0.86535275
7,0.014631164,0.14927843,0.8507216
8,0.0140073225,0.16328576,0.83671427
9,0.013531832,0.1768176,0.8231824
10,0.0127117485,0.18952934,0.81047064
11,0.011502858,0.2010322,0.7989678
12,0.011266391,0.2122986,0.78770137
13,0.010646937,0.22294554,0.7770544
14,0.009799728,0.23274527,0.7672547
15,0.009602375,0.24234766,0.75765234
16,0.009219648,0.2515673,0.7484327
17,0.009172233,0.26073954,0.73926044
18,0.008806891,0.26954642,0.7304536
19,0.008173975,0.2777204,0.7222796
20,0.00797585,0.28569624,0.71430373
21,0.007820062,0.2935163,0.7064837
22,0.007595204,0.30111152,0.6988885
23,0.007231,0.30834252,0.6916575
24,0.0071582035,0.3155007,0.68449926
25,0.00698924,0.32248995,0.67751
26,0.0066847494,0.3291747,0.6708253
27,0.0066554844,0.33583018,0.6641698
28,0.006547287,0.34237748,0.6576225
29,0.0063511524,0.34872863,0.65127134
30,0.006285395,0.35501403,0.644986
31,0.006068593,0.3610826,0.6389174
32,0.005925118,0.36700773,0.63299227
33,0.0058849147,0.37289265,0.6271074
34,0.005801165,0.37869382,0.6213062
35,0.0056920606,0.38438588,0.6156141
36,0.005483698,0.38986957,0.6101304
37,0.0054577487,0.39532733,0.6046727
38,0.0053288336,0.40065616,0.59934384
39,0.005169733,0.40582588,0.59417415
40,0.0050218296,0.41084772,0.5891523
41,0.0049740192,0.41582173,0.58417827
42,0.0048690606,0.4206908,0.5793092
43,0.0048029334,0.42549375,0.5745063
44,0.0047464804,0.4302402,0.5697598
45,0.0047173793,0.4349576,0.5650424
46,0.0046172016,0.4395748,0.56042516
47,0.004603637,0.44417843,0.55582154
48,0.004540541,0.44871897,0.55128103
49,0.004446881,0.45316586,0.5468341
50,0.004393072,0.45755893,0.54244107
51,0.004286997,0.46184593,0.53815407
52,0.004239065,0.466085,0.53391504
53,0.004201784,0.47028676,0.5297133
54,0.0041305055,0.47441727,0.52558273
55,0.004109963,0.47852722,0.5214728
56,0.0040427316,0.48256996,0.51743007
57,0.004005442,0.4865754,0.51342463
58,0.0039104307,0.49048582,0.5095142
59,0.0039036812,0.4943895,0.50561047
60,0.0038174791,0.49820697,0.501793
61,0.003813432,0.5020204,0.49797958
62,0.003762149,0.50578254,0.49421746
63,0.0036704384,0.509453,0.490547
64,0.003660094,0.5131131,0.48688692
65,0.0036152906,0.5167284,0.4832716
66,0.0035810843,0.5203095,0.4796905
67,0.003532768,0.5238423,0.47615772
68,0.0035178983,0.5273602,0.4726398
69,0.0034690222,0.53082925,0.46917075
70,0.0034358462,0.5342651,0.4657349
71,0.003389868,0.537655,0.462345
72,0.003348723,0.5410037,0.4589963
73,0.0033265643,0.54433024,0.45566976
74,0.0033218206,0.54765207,0.45234793
75,0.0032864858,0.55093855,0.44906145
76,0.0032616958,0.55420023,0.44579977
77,0.0032225812,0.5574228,0.44257718
78,0.0031560825,0.5605789,0.43942112
79,0.003146016,0.5637249,0.43627512
80,0.0031095955,0.56683445,0.43316555
81,0.003091257,0.5699257,0.43007427
82,0.003080188,0.5730059,0.4269941
83,0.0030592447,0.5760652,0.42393482
84,0.0030198165,0.579085,0.420915
85,0.002997881,0.58208287,0.41791713
86,0.0029571573,0.58504003,0.41495997
87,0.0029303136,0.5879704,0.41202962
88,0.002897134,0.5908675,0.40913248
89,0.00287553,0.593743,0.40625697
90,0.0028315873,0.5965746,0.4034254
91,0.0028221335,0.59939677,0.40060323
92,0.0027686618,0.6021654,0.3978346
93,0.0027570687,0.6049225,0.39507753
94,0.0027471918,0.60766965,0.39233035
95,0.0026889872,0.61035866,0.38964134
96,0.002647429,0.61300606,0.38699394
97,0.0026334047,0.61563945,0.38436055
98,0.0026196633,0.61825913,0.38174087
99,0.002579089,0.6208382,0.37916178
100,0.002570238,0.62340844,0.37659156
101,0.0025607476,0.6259692,0.37403083
102,0.0025439814,0.62851316,0.37148684
103,0.0025243007,0.6310375,0.36896253
104,0.002500703,0.6335382,0.3664618
105,0.0024967357,0.6360349,0.3639651
106,0.0024593268,0.63849425,0.36150575
107,0.0024356728,0.64092994,0.35907006
108,0.0024203423,0.6433503,0.3566497
109,0.0024064071,0.6457567,0.35424328
110,0.002395842,0.6481526,0.3518474
111,0.0023815956,0.6505342,0.3494658
112,0.0023737461,0.65290797,0.34709203
113,0.002343056,0.655251,0.34474897
114,0.002327104,0.6575781,0.3424219
115,0.0023139298,0.659892,0.34010798
116,0.0022973614,0.66218936,0.33781064
117,0.0022939385,0.6644833,0.3355167
118,0.0022708827,0.6667542,0.3332458
119,0.0022541326,0.6690083,0.3309917
120,0.002227109,0.67123544,0.32876456
121,0.0022142378,0.6734497,0.3265503
122,0.0022037157,0.6756534,0.3243466
123,0.002193431,0.67784685,0.32215315
124,0.0021856623,0.6800325,0.3199675
125,0.00215814,0.68219066,0.31780934
126,0.0021334786,0.68432415,0.31567585
127,0.0021191584,0.6864433,0.31355667
128,0.00210552,0.68854886,0.31145114
129,0.0020875866,0.69063646,0.30936354
130,0.0020731457,0.6927096,0.30729038
131,0.002061727,0.69477135,0.30522865
132,0.002042883,0.69681424,0.30318576
133,0.0020328884,0.6988471,0.30115288
134,0.0020231414,0.7008703,0.29912972
135,0.0020155013,0.70288575,0.29711425
136,0.0020072872,0.70489305,0.29510695
137,0.0019881749,0.7068812,0.29311877
138,0.0019685929,0.70884985,0.29115015
139,0.0019639195,0.71081376,0.28918624
140,0.0019385834,0.71275234,0.28724766
141,0.0019331034,0.71468544,0.28531456
142,0.0019252083,0.71661067,0.28338933
143,0.0019141365,0.7185248,0.2814752
144,0.0019016287,0.72042644,0.27957356
145,0.0018821831,0.72230864,0.27769136
146,0.0018748177,0.72418344,0.27581656
147,0.001851246,0.7260347,0.2739653
148,0.001840922,0.72787565,0.27212435
149,0.0018256195,0.7297013,0.27029872
150,0.0018197722,0.73152107,0.26847893
151,0.0018125797,0.73333365,0.26666635
152,0.0018077982,0.73514146,0.26485854
153,0.0017947671,0.7369362,0.2630638
154,0.0017870307,0.7387232,0.26127678
155,0.0017699674,0.7404932,0.25950682
156,0.0017531909,0.7422464,0.2577536
157,0.0017369477,0.7439833,0.25601667
158,0.0017146548,0.745698,0.25430202
159,0.0017031649,0.7474011,0.25259888
160,0.0016983717,0.7490995,0.2509005
161,0.0016966566,0.75079614,0.24920386
162,0.0016882812,0.75248444,0.24751556
163,0.0016798988,0.75416434,0.24583566
164,0.0016701585,0.7558345,0.24416548
165,0.0016582134,0.7574927,0.24250728
166,0.0016507724,0.7591435,0.24085653
167,0.0016439052,0.76078737,0.23921263
168,0.0016300716,0.76241744,0.23758256
169,0.0016259089,0.76404333,0.23595667
170,0.0016211424,0.76566446,0.23433554
171,0.00160147,0.7672659,0.23273408
172,0.0015979118,0.76886386,0.23113614
173,0.0015901742,0.77045405,0.22954595
174,0.0015764477,0.7720305,0.22796953
175,0.0015555017,0.773586,0.22641402
176,0.0015513797,0.77513736,0.22486264
177,0.001542,0.77667934,0.22332066
178,0.0015288113,0.77820814,0.22179186
179,0.0015228377,0.779731,0.22026902
180,0.0015182734,0.7812492,0.21875077
181,0.0015074359,0.7827567,0.21724331
182,0.0014880821,0.7842448,0.21575522
183,0.0014800692,0.7857248,0.21427518
184,0.0014765764,0.7872014,0.2127986
185,0.0014642436,0.78866565,0.21133435
186,0.0014592772,0.79012495,0.20987505
187,0.0014540487,0.791579,0.20842099
188,0.0014432067,0.7930222,0.20697778
189,0.0014341613,0.79445636,0.20554364
190,0.001423593,0.79587996,0.20412004
191,0.0014123974,0.79729235,0.20270765
192,0.0014114279,0.7987038,0.20129621
193,0.0013998002,0.8001036,0.1998964
194,0.0013913751,0.80149496,0.19850504
195,0.001386068,0.802881,0.197119
196,0.0013733327,0.80425435,0.19574565
197,0.0013680196,0.8056224,0.1943776
198,0.0013597732,0.80698216,0.19301784
199,0.0013554206,0.80833757,0.19166243
200,0.0013417405,0.8096793,0.19032067
201,0.001330506,0.8110098,0.18899018
202,0.0013246284,0.8123345,0.18766552
203,0.0013176391,0.8136521,0.1863479
204,0.0013127727,0.8149649,0.18503511
205,0.0013016978,0.8162666,0.1837334
206,0.0012987035,0.8175653,0.18243468
207,0.0012841767,0.8188495,0.1811505
208,0.0012758678,0.8201254,0.1798746
209,0.0012683483,0.8213937,0.17860627
210,0.0012648555,0.8226586,0.1773414
211,0.0012489597,0.82390755,0.17609245
212,0.0012457406,0.8251533,0.17484671
213,0.0012315505,0.82638484,0.17361516
214,0.0012297665,0.8276146,0.1723854
215,0.001225673,0.82884026,0.17115974
216,0.0012236403,0.8300639,0.16993612
217,0.0012091848,0.8312731,0.16872692
218,0.0012054883,0.8324786,0.16752142
219,0.0012000296,0.8336786,0.1663214
220,0.0011941198,0.8348727,0.16512728
221,0.0011863057,0.83605903,0.16394097
222,0.0011776467,0.8372367,0.1627633
223,0.0011660934,0.8384028,0.16159719
