component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.036766384,0.036766384,0.9632336
2,0.029530883,0.06629726,0.9337027
3,0.021147097,0.08744436,0.91255563
4,0.020596934,0.108041294,0.8919587
5,0.017506469,0.12554777,0.87445223
6,0.015399828,0.1409476,0.8590524
7,0.014402245,0.15534984,0.84465015
8,0.013913954,0.1692638,0.8307362
9,0.013475448,0.18273924,0.81726074
10,0.012843016,0.19558226,0.8044177
11,0.011559847,0.2071421,0.7928579
12,0.011099581,0.21824168,0.7817583
13,0.010365662,0.22860734,0.77139264
14,0.01003109,0.23863843,0.7613616
15,0.009531787,0.24817021,0.7518298
16,0.009353828,0.25752404,0.742476
17,0.009141216,0.26666525,0.7333348
18,0.008584923,0.27525017,0.7247498
19,0.008370324,0.28362048,0.7163795
20,0.008223715,0.2918442,0.7081558
21,0.008121239,0.29996544,0.70003456
22,0.007680348,0.3076458,0.6923542
23,0.007377983,0.31502378,0.6849762
24,0.0072566685,0.32228044,0.6777196
25,0.0069811484,0.32926157,0.67073846
26,0.0068843947,0.33614597,0.663854
27,0.006769842,0.3429158,0.6570842
28,0.0066571687,0.349573,0.650427
29,0.006436627,0.3560096,0.6439904
30,0.006416679,0.36242628,0.6375737
31,0.0061770068,0.3686033,0.6313967
32,0.006045593,0.37464887,0.62535113
33,0.0059633185,0.3806122,0.6193878
34,0.0058897985,0.386502,0.613498
35,0.0057964325,0.39229843,0.60770154
36,0.005629033,0.39792746,0.60207254
37,0.0055972696,0.40352473,0.59647524
38,0.0053960974,0.40892082,0.5910792
39,0.0053353943,0.41425622,0.5857438
40,0.005192745,0.41944897,0.580551
41,0.0051331003,0.42458206,0.57541794
42,0.0050174235,0.4295995,0.5704005
43,0.004947152,0.43454665,0.56545335
44,0.004903211,0.43944985,0.56055015
45,0.0048525953,0.44430244,0.55569756
46,0.0048311614,0.4491336,0.55086637
47,0.004796242,0.45392984,0.54607016
48,0.00473114,0.458661,0.54133904
49,0.0046619256,0.4633229,0.5366771
50,0.004621577,0.46794447,0.5320555
51,0.0045927293,0.4725372,0.52746284
52,0.004426793,0.476964,0.523036
53,0.0043598255,0.4813238,0.51867616
54,0.00429902,0.48562282,0.5143772
55,0.0042848527,0.48990768,0.5100923
56,0.0042082854,0.49411598,0.50588405
57,0.004175703,0.49829167,0.5017083
58,0.004162887,0.5024546,0.49754542
59,0.0040522018,0.5065068,0.4934932
60,0.004002012,0.51050884,0.48949116
61,0.003964863,0.5144737,0.48552632
62,0.0039286767,0.51840234,0.48159766
63,0.0038772298,0.52227956,0.47772044
64,0.0038403205,0.5261199,0.4738801
65,0.0038141182,0.529934,0.470066
66,0.0037717037,0.5337057,0.4662943
67,0.003753537,0.53745925,0.46254075
68,0.003716866,0.54117614,0.45882386
69,0.0036693497,0.54484546,0.45515454
70,0.0036587291,0.5485042,0.45149583
71,0.0036224113,0.5521266,0.4478734
72,0.00359876,0.55572534,0.44427466
73,0.0035690481,0.5592944,0.4407056
74,0.0035112514,0.56280565,0.43719435
75,0.0035038958,0.5663096,0.43369043
76,0.003472737,0.5697823,0.43021768
77,0.0034658466,0.57324815,0.42675185
78,0.0034191643,0.5766673,0.4233327
79,0.003392501,0.5800598,0.41994017
80,0.0033590728,0.5834189,0.4165811
81,0.0033244672,0.58674335,0.41325665
82,0.0032976808,0.59004104,0.40995896
83,0.0032617403,0.5933028,0.4066972
84,0.003261449,0.59656423,0.40343577
85,0.0032366873,0.59980094,0.40019906
86,0.0032182804,0.60301924,0.39698076
87,0.0031951175,0.60621434,0.39378566
88,0.0031638548,0.6093782,0.39062178
89,0.0031216945,0.6124999,0.3875001
90,0.0030938883,0.6155938,0.3844062
