component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.11598287,0.11598287,0.8840171
2,0.070468426,0.18645129,0.8135487
3,0.03658368,0.22303496,0.776965
4,0.03510005,0.25813502,0.741865
5,0.02740247,0.28553748,0.7144625
6,0.025619226,0.31115672,0.68884325
7,0.022681078,0.3338378,0.6661622
8,0.020676253,0.35451406,0.64548594
9,0.017954918,0.37246898,0.62753105
10,0.015246416,0.3877154,0.6122846
11,0.014142048,0.40185744,0.59814256
12,0.013457314,0.41531476,0.5846852
13,0.013369315,0.4286841,0.5713159
14,0.012739662,0.44142374,0.5585762
15,0.011744208,0.45316795,0.5468321
16,0.011261335,0.4644293,0.53557074
17,0.0105011575,0.47493044,0.5250696
18,0.010321018,0.48525146,0.5147486
19,0.0100576235,0.49530908,0.5046909
20,0.009233511,0.5045426,0.4954574
21,0.008436362,0.512979,0.48702103
22,0.008233954,0.52121294,0.47878706
23,0.007900319,0.52911323,0.47088677
24,0.007405184,0.5365184,0.4634816
25,0.007345802,0.5438642,0.4561358
26,0.0070250463,0.55088925,0.44911075
27,0.00688994,0.5577792,0.4422208
28,0.006772781,0.56455195,0.43544805
29,0.0063885185,0.5709405,0.4290595
30,0.0060963663,0.57703686,0.42296314
31,0.0059974133,0.5830343,0.41696572
32,0.005937301,0.58897156,0.41102844
33,0.0057273842,0.59469897,0.40530103
34,0.0056471042,0.6003461,0.3996539
35,0.005491928,0.605838,0.394162
36,0.0052187853,0.6110568,0.3889432
37,0.0050750636,0.61613184,0.38386816
38,0.004980668,0.6211125,0.37888747
39,0.0048008207,0.6259133,0.37408668
40,0.004751348,0.63066465,0.36933535
41,0.004563209,0.63522786,0.36477214
42,0.0043927943,0.63962066,0.36037934
43,0.0043353066,0.64395595,0.35604405
44,0.004250044,0.648206,0.351794
45,0.004184846,0.65239084,0.34760916
46,0.0041315313,0.6565224,0.3434776
47,0.0039991657,0.66052157,0.33947843
48,0.0039073285,0.6644289,0.3355711
49,0.003802035,0.66823095,0.33176905
50,0.0036578942,0.6718888,0.32811117
51,0.0036346924,0.6755235,0.32447648
52,0.0035437706,0.6790673,0.3209327
53,0.0034812035,0.6825485,0.31745148
54,0.0034487874,0.6859973,0.3140027
55,0.0034237967,0.6894211,0.31057888
56,0.0033456376,0.6927667,0.30723327
57,0.0033329357,0.69609964,0.30390036
58,0.003260909,0.69936055,0.30063945
59,0.0032318481,0.7025924,0.29740763
60,0.0031276746,0.70572007,0.29427993
61,0.0030750146,0.7087951,0.29120493
62,0.0030343104,0.71182936,0.28817064
63,0.002991671,0.71482104,0.28517896
64,0.0029633292,0.71778435,0.28221565
65,0.0029182956,0.72070265,0.27929735
66,0.0028784685,0.72358114,0.27641886
67,0.0028331818,0.7264143,0.27358568
68,0.0028238033,0.72923815,0.27076185
69,0.0027330155,0.73197114,0.26802886
70,0.0026992944,0.73467046,0.26532954
71,0.0026772174,0.73734766,0.26265234
72,0.0026257765,0.7399734,0.26002657
73,0.0025708545,0.7425443,0.2574557
74,0.0025549615,0.74509925,0.25490075
75,0.0025021713,0.7476014,0.2523986
76,0.0024835642,0.75008494,0.24991506
77,0.0024628057,0.75254774,0.24745226
78,0.002416642,0.7549644,0.24503559
79,0.0023519124,0.75731635,0.24268365
80,0.0023398648,0.7596562,0.24034381
81,0.0022928128,0.761949,0.238051
82,0.002279347,0.76422834,0.23577166
83,0.0022601476,0.7664885,0.23351151
84,0.0022226565,0.76871115,0.23128885
85,0.0021947178,0.77090585,0.22909415
86,0.0021444713,0.7730503,0.22694969
87,0.0021172864,0.7751676,0.22483242
88,0.0020856792,0.77725327,0.22274673
89,0.0020780533,0.7793313,0.22066867
90,0.0020399292,0.78137124,0.21862876
91,0.0020175632,0.7833888,0.2166112
92,0.0020129173,0.7854017,0.2145983
93,0.0019704138,0.7873721,0.21262789
94,0.0019364358,0.78930855,0.21069145
95,0.0019279262,0.79123646,0.20876354
96,0.001897673,0.79313415,0.20686585
97,0.0018916491,0.7950258,0.20497417
98,0.0018498275,0.79687566,0.20312434
99,0.00180424,0.7986799,0.20132011
100,0.0017874723,0.8004674,0.19953263
101,0.0017733781,0.8022407,0.19775927
102,0.0017389447,0.8039797,0.1960203
103,0.00173102,0.80571073,0.19428927
104,0.0017109845,0.80742174,0.19257826
105,0.0016930461,0.8091148,0.19088519
106,0.0016567311,0.8107715,0.18922848
107,0.0016487878,0.8124203,0.18757969
108,0.0016381303,0.8140584,0.18594158
109,0.0016071725,0.8156656,0.1843344
110,0.0015772865,0.81724286,0.18275714
111,0.0015650146,0.8188079,0.1811921
112,0.0015583824,0.82036626,0.17963374
113,0.0015296991,0.82189596,0.17810404
114,0.001523438,0.8234194,0.17658061
115,0.0014868723,0.8249063,0.17509371
116,0.0014758847,0.82638216,0.17361784
117,0.0014606017,0.8278428,0.17215723
118,0.0014519518,0.82929474,0.17070526
119,0.001427916,0.83072263,0.16927737
120,0.0014156505,0.8321383,0.1678617
121,0.0013872908,0.8335256,0.1664744
122,0.0013725134,0.8348981,0.16510189
123,0.0013562783,0.8362544,0.16374558
124,0.0013489174,0.83760333,0.16239667
125,0.0013238041,0.83892715,0.16107285
126,0.001306623,0.84023374,0.15976626
127,0.0012976248,0.8415314,0.1584686
128,0.0012948349,0.84282625,0.15717375
129,0.0012729993,0.8440992,0.15590078
130,0.0012578272,0.84535706,0.15464294
131,0.0012468821,0.84660393,0.15339607
132,0.0012365179,0.8478404,0.15215957
133,0.0012155173,0.84905595,0.15094405
134,0.0012134725,0.85026944,0.14973056
135,0.0011956776,0.8514651,0.1485349
