component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.036472484,0.036472484,0.9635275
2,0.02310782,0.059580304,0.9404197
3,0.0220934,0.081673704,0.9183263
4,0.018079126,0.09975283,0.90024716
5,0.015062189,0.11481502,0.885185
6,0.014304673,0.1291197,0.8708803
7,0.014039177,0.14315887,0.85684115
8,0.011983234,0.1551421,0.84485793
9,0.011473465,0.16661556,0.83338445
10,0.01047042,0.17708598,0.822914
11,0.010316189,0.18740217,0.8125978
12,0.009870751,0.19727293,0.8027271
13,0.009325466,0.20659839,0.7934016
14,0.008811005,0.2154094,0.7845906
15,0.008554465,0.22396386,0.77603614
16,0.008140124,0.23210397,0.76789606
17,0.007929974,0.24003395,0.759966
18,0.007794617,0.24782857,0.7521714
19,0.007670776,0.25549936,0.74450064
20,0.0074527413,0.2629521,0.7370479
21,0.0073426827,0.2702948,0.7297052
22,0.0070674703,0.27736226,0.7226378
23,0.006979565,0.2843418,0.7156582
24,0.0068132337,0.29115504,0.70884496
25,0.006643623,0.29779866,0.70220137
26,0.0065099453,0.30430862,0.69569135
27,0.006229231,0.31053784,0.6894622
28,0.0061866604,0.3167245,0.68327546
29,0.006100813,0.3228253,0.6771747
30,0.0060582436,0.32888356,0.6711165
31,0.0057798754,0.33466342,0.6653366
32,0.0057057347,0.34036916,0.65963084
33,0.005685131,0.3460543,0.6539457
34,0.0056591197,0.35171342,0.6482866
35,0.0055575296,0.35727096,0.64272904
36,0.0055167326,0.3627877,0.6372123
37,0.0052896403,0.36807734,0.63192266
38,0.0052259904,0.37330332,0.6266967
39,0.005187416,0.37849075,0.62150925
40,0.0051449067,0.38363564,0.61636436
41,0.005083396,0.38871902,0.611281
42,0.004957112,0.39367613,0.60632384
43,0.0048789936,0.39855513,0.60144484
44,0.0048733307,0.40342847,0.59657156
45,0.0048169745,0.40824544,0.59175456
46,0.0047700764,0.4130155,0.5869845
47,0.0047225794,0.41773808,0.5822619
48,0.0046883863,0.42242646,0.57757354
49,0.0045648036,0.42699125,0.5730088
50,0.004525017,0.43151626,0.5684837
51,0.004466713,0.43598297,0.56401706
52,0.0044308854,0.44041386,0.55958617
53,0.0044222963,0.44483617,0.55516386
54,0.004314357,0.44915053,0.55084944
55,0.0042578704,0.4534084,0.54659164
56,0.0042228578,0.45763126,0.54236877
57,0.0041572545,0.4617885,0.53821146
58,0.0041385796,0.4659271,0.5340729
59,0.004114127,0.47004122,0.5299588
60,0.0040538358,0.47409505,0.52590495
61,0.004002259,0.47809732,0.5219027
62,0.0039474913,0.48204482,0.5179552
63,0.003910339,0.48595515,0.5140449
64,0.0038444079,0.48979956,0.51020044
65,0.0038258894,0.49362546,0.50637454
66,0.0037343367,0.4973598,0.5026402
67,0.0037270829,0.5010869,0.4989131
68,0.0036865484,0.50477344,0.49522656
69,0.003655927,0.50842935,0.49157065
70,0.0036276751,0.512057,0.487943
71,0.0035698225,0.51562685,0.48437315
72,0.003550005,0.51917684,0.48082316
73,0.0035220776,0.52269894,0.47730106
74,0.0035016926,0.52620065,0.47379935
75,0.0034564424,0.52965707,0.47034293
76,0.0034210896,0.53307813,0.46692187
77,0.0033840563,0.5364622,0.4635378
78,0.0033740543,0.5398362,0.46016377
79,0.0033315863,0.5431678,0.45683217
80,0.003285504,0.54645336,0.45354664
