component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.082637854,0.082637854,0.91736215
2,0.04683626,0.12947412,0.8705259
3,0.0412085,0.17068261,0.8293174
4,0.031081911,0.20176452,0.7982355
5,0.02674491,0.22850943,0.7714906
6,0.025467088,0.25397652,0.7460235
7,0.021612855,0.27558938,0.72441065
8,0.021028897,0.29661828,0.7033817
9,0.019492902,0.31611118,0.6838888
10,0.018262867,0.33437404,0.66562593
11,0.015378201,0.34975225,0.65024775
12,0.0143383,0.36409056,0.63590944
13,0.013986211,0.37807676,0.6219232
14,0.013432144,0.3915089,0.60849106
15,0.013126578,0.4046355,0.5953645
16,0.012087846,0.41672334,0.5832766
17,0.0116703445,0.4283937,0.5716063
18,0.011601223,0.4399949,0.56000507
19,0.0111655565,0.45116046,0.54883957
20,0.010563231,0.4617237,0.5382763
21,0.010394614,0.4721183,0.52788174
22,0.0102071725,0.48232546,0.51767457
23,0.0097299665,0.49205542,0.5079446
24,0.009440549,0.50149596,0.49850404
25,0.008643281,0.5101392,0.48986077
26,0.008542615,0.5186818,0.48131818
27,0.008209184,0.526891,0.473109
28,0.008145349,0.5350363,0.46496367
29,0.007911654,0.542948,0.457052
30,0.0076087425,0.5505568,0.44944322
31,0.007411968,0.55796874,0.44203126
32,0.0073278584,0.5652966,0.4347034
33,0.007046686,0.5723433,0.4276567
34,0.0066486984,0.578992,0.421008
35,0.0065654856,0.5855575,0.41444248
36,0.006307186,0.5918647,0.4081353
37,0.006213961,0.59807867,0.40192133
38,0.0060273106,0.60410595,0.39589405
39,0.0058765803,0.60998255,0.39001745
40,0.005793837,0.61577636,0.38422364
41,0.005534038,0.6213104,0.3786896
42,0.005381686,0.6266921,0.37330788
43,0.005273869,0.631966,0.368034
44,0.005136988,0.63710296,0.36289704
45,0.0050199106,0.64212286,0.35787714
46,0.004912797,0.64703566,0.35296434
47,0.004852725,0.6518884,0.34811163
48,0.0048346226,0.656723,0.34327698
49,0.0047796126,0.66150266,0.33849734
50,0.0045446996,0.66604733,0.33395267
51,0.0045292224,0.6705766,0.32942343
52,0.004436234,0.6750128,0.32498717
53,0.004383541,0.6793964,0.3206036
54,0.004333915,0.6837303,0.3162697
55,0.004169889,0.6879002,0.3120998
56,0.0041410145,0.6920412,0.30795878
57,0.004000825,0.69604206,0.30395794
58,0.003932903,0.69997495,0.30002505
59,0.0038653368,0.7038403,0.29615968
60,0.0038345396,0.70767486,0.29232514
61,0.003793205,0.71146804,0.28853196
62,0.0037312491,0.7151993,0.2848007
63,0.0036536432,0.71885294,0.28114706
64,0.0036064247,0.7224594,0.27754062
65,0.0035482245,0.7260076,0.27399242
66,0.003463329,0.7294709,0.2705291
67,0.0034065896,0.7328775,0.2671225
68,0.003321352,0.73619884,0.26380116
69,0.0032815794,0.73948044,0.26051956
70,0.003239179,0.7427196,0.2572804
71,0.003137422,0.745857,0.254143
72,0.0030490565,0.7489061,0.25109392
73,0.0030454625,0.7519515,0.24804848
74,0.0030053202,0.75495684,0.24504316
75,0.002917342,0.7578742,0.24212581
76,0.0028348751,0.76070905,0.23929095
77,0.0027646017,0.76347363,0.23652637
78,0.0026963006,0.7661699,0.2338301
79,0.0026462467,0.7688162,0.23118383
80,0.0025961266,0.7714123,0.22858769
81,0.0025446813,0.773957,0.22604299
82,0.0025256576,0.7764827,0.2235173
83,0.0024698656,0.77895254,0.22104746
84,0.0024372383,0.7813898,0.21861023
85,0.0024167243,0.7838065,0.2161935
86,0.0023920913,0.7861986,0.21380138
87,0.002349225,0.7885478,0.21145219
88,0.0023426693,0.79089046,0.20910954
89,0.0022870617,0.79317755,0.20682245
