component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.19633363,0.19633363,0.80366635
2,0.05572436,0.252058,0.747942
3,0.028142309,0.2802003,0.7197997
4,0.023494294,0.3036946,0.6963054
5,0.017600201,0.3212948,0.6787052
6,0.016628245,0.33792305,0.66207695
7,0.014793135,0.35271618,0.6472838
8,0.012625512,0.3653417,0.63465834
9,0.011291683,0.37663338,0.6233666
10,0.010797,0.38743037,0.61256963
11,0.010303925,0.39773428,0.6022657
12,0.008887596,0.40662187,0.5933781
13,0.008460841,0.41508272,0.5849173
14,0.008002986,0.42308572,0.5769143
15,0.007112129,0.43019783,0.56980217
16,0.006992989,0.43719083,0.56280917
17,0.0067900172,0.44398084,0.5560192
18,0.0063184346,0.45029926,0.54970074
19,0.0061117383,0.456411,0.543589
20,0.0058506606,0.46226168,0.5377383
21,0.0056643737,0.46792606,0.532074
22,0.005294711,0.47322077,0.52677923
23,0.005261463,0.47848222,0.52151775
24,0.0051345206,0.48361674,0.5163833
25,0.0049909703,0.4886077,0.5113923
26,0.004722902,0.4933306,0.5066694
27,0.004520098,0.4978507,0.50214934
28,0.0044309627,0.50228167,0.49771833
29,0.004144012,0.5064257,0.49357432
30,0.003945776,0.51037145,0.48962855
31,0.0037960699,0.5141675,0.4858325
32,0.0037330121,0.5179005,0.48209947
33,0.0036825174,0.521583,0.47841698
34,0.0035909142,0.52517396,0.47482604
35,0.0035364036,0.52871037,0.47128963
36,0.0034498265,0.53216016,0.46783984
37,0.0034393577,0.5355995,0.46440047
38,0.003359088,0.5389586,0.4610414
39,0.00324932,0.54220796,0.45779204
40,0.003185478,0.5453934,0.4546066
41,0.0031172896,0.5485107,0.45148933
42,0.0030796118,0.55159026,0.44840974
43,0.0030038496,0.5545941,0.4454059
44,0.002952466,0.55754656,0.44245344
45,0.002944261,0.56049085,0.43950915
46,0.0028130435,0.5633039,0.4366961
47,0.0027718283,0.56607574,0.43392426
48,0.0027373468,0.5688131,0.4311869
49,0.0027161497,0.5715292,0.4284708
50,0.002661524,0.57419074,0.42580926
51,0.0026473703,0.57683814,0.42316186
52,0.0026251515,0.5794633,0.4205367
53,0.0025423537,0.5820057,0.41799432
54,0.0025108252,0.5845165,0.41548347
55,0.0024899621,0.5870065,0.4129935
56,0.002447955,0.5894545,0.41054553
57,0.0024075224,0.591862,0.40813798
58,0.0023466847,0.5942087,0.40579128
59,0.0023355072,0.5965442,0.4034558
60,0.0023281751,0.59887236,0.40112764
61,0.0022784076,0.60115075,0.39884925
62,0.0022540311,0.60340476,0.39659524
63,0.0022057542,0.6056105,0.3943895
64,0.0021649397,0.60777545,0.39222455
65,0.0021312963,0.60990673,0.39009327
66,0.0021254346,0.6120322,0.38796782
67,0.0020956623,0.6141278,0.3858722
68,0.0020593582,0.61618716,0.38381284
69,0.0020490615,0.61823624,0.38176376
70,0.0020365703,0.6202728,0.37972718
71,0.0020169176,0.6222897,0.37771028
72,0.0019928839,0.6242826,0.3757174
73,0.0019257164,0.6262083,0.3737917
74,0.0018867621,0.6280951,0.3719049
75,0.0018791229,0.6299742,0.3700258
76,0.0018629209,0.6318371,0.36816287
77,0.001829617,0.63366675,0.36633325
78,0.0018130857,0.63547987,0.36452013
79,0.0017850422,0.6372649,0.3627351
80,0.001758058,0.63902295,0.36097705
81,0.0017478912,0.64077085,0.35922915
82,0.0016966398,0.6424675,0.3575325
83,0.0016795845,0.6441471,0.3558529
84,0.0016630874,0.6458102,0.3541898
85,0.001656743,0.64746696,0.35253304
86,0.0016372944,0.64910424,0.35089576
87,0.0016106504,0.6507149,0.34928513
88,0.0015955238,0.6523104,0.34768963
89,0.0015800402,0.65389043,0.34610957
90,0.0015762062,0.6554666,0.34453338
91,0.0015563385,0.65702295,0.34297705
92,0.0015440894,0.6585671,0.34143293
93,0.0015150582,0.6600821,0.3399179
94,0.0015028813,0.661585,0.33841503
95,0.0014808737,0.66306585,0.33693415
96,0.0014746162,0.66454047,0.33545953
97,0.0014683438,0.66600883,0.33399117
98,0.0014289216,0.66743773,0.33256227
99,0.001426135,0.6688639,0.3311361
100,0.001403736,0.67026764,0.32973236
101,0.0013986222,0.67166626,0.32833374
102,0.0013855088,0.6730518,0.32694823
103,0.0013711151,0.67442286,0.32557714
104,0.0013561012,0.675779,0.32422101
105,0.0013503795,0.6771294,0.3228706
106,0.0013412457,0.6784706,0.3215294
107,0.0013295789,0.6798002,0.3201998
108,0.0013156153,0.6811158,0.3188842
109,0.0013007227,0.68241656,0.31758344
110,0.0012903746,0.68370694,0.31629306
111,0.0012801448,0.68498707,0.31501293
112,0.0012687062,0.68625575,0.31374425
113,0.0012595047,0.68751526,0.31248474
114,0.0012467566,0.688762,0.311238
115,0.0012301621,0.6899922,0.3100078
116,0.0012221138,0.6912143,0.30878568
117,0.0012200911,0.69243443,0.30756557
118,0.0012105373,0.69364494,0.30635506
119,0.0012033255,0.69484824,0.30515176
120,0.0011813445,0.6960296,0.3039704
121,0.0011745689,0.6972042,0.30279583
122,0.0011674437,0.6983716,0.3016284
123,0.0011611152,0.6995327,0.3004673
124,0.0011485971,0.70068127,0.29931873
125,0.0011299679,0.70181125,0.29818875
126,0.0011258991,0.7029371,0.29706287
127,0.0011133997,0.70405054,0.29594946
128,0.0011060613,0.7051566,0.29484338
