component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.20937341,0.20937341,0.7906266
2,0.10087243,0.31024584,0.6897541
3,0.059741955,0.3699878,0.6300122
4,0.043440744,0.41342854,0.58657146
5,0.03116481,0.44459337,0.55540663
6,0.02714204,0.47173542,0.5282646
7,0.022891775,0.49462718,0.5053728
8,0.021030197,0.51565737,0.48434263
9,0.019006588,0.534664,0.46533602
10,0.015648844,0.5503128,0.44968718
11,0.012314176,0.562627,0.43737298
12,0.011518248,0.57414526,0.42585474
13,0.010632293,0.58477753,0.41522247
14,0.009901571,0.5946791,0.40532088
15,0.008922399,0.6036015,0.39639848
16,0.008271312,0.61187285,0.38812715
17,0.007853264,0.6197261,0.38027388
18,0.0072071054,0.6269332,0.37306678
19,0.006881193,0.6338144,0.3661856
20,0.006566555,0.640381,0.35961902
21,0.0063221804,0.6467032,0.35329682
22,0.0056964704,0.65239966,0.34760034
23,0.0056452663,0.65804493,0.34195507
24,0.005342873,0.66338784,0.33661216
25,0.005255709,0.66864353,0.33135647
26,0.0051785777,0.6738221,0.3261779
27,0.0050128167,0.6788349,0.32116508
28,0.0048834644,0.6837184,0.31628162
29,0.0046058535,0.6883242,0.3116758
30,0.004434661,0.69275886,0.30724114
31,0.004309634,0.6970685,0.3029315
32,0.0041792127,0.70124775,0.29875225
33,0.0041230866,0.70537084,0.29462916
34,0.0039858064,0.70935667,0.29064333
35,0.0038520775,0.71320873,0.28679127
36,0.0038003752,0.7170091,0.28299087
37,0.0035966034,0.72060573,0.27939427
38,0.0035663177,0.72417206,0.27582794
39,0.003527513,0.7276996,0.27230042
40,0.003417313,0.7311169,0.2688831
41,0.0033525384,0.7344694,0.2655306
42,0.0033201915,0.73778963,0.26221037
43,0.003259546,0.7410492,0.25895083
44,0.0032442645,0.74429345,0.25570655
45,0.0030780376,0.7473715,0.2526285
46,0.0030589604,0.75043046,0.24956954
47,0.0030079267,0.7534384,0.24656159
48,0.002975073,0.75641346,0.24358654
49,0.0028575792,0.759271,0.24072897
50,0.0028003638,0.7620714,0.23792863
51,0.0027344835,0.76480585,0.23519415
52,0.0026646361,0.7674705,0.23252952
53,0.002620473,0.77009094,0.22990906
54,0.0026166015,0.7727075,0.22729248
55,0.002600642,0.7753082,0.22469181
56,0.002550328,0.7778585,0.2221415
57,0.00247689,0.78033537,0.21966463
58,0.0024110822,0.78274643,0.21725357
59,0.002366859,0.7851133,0.21488672
60,0.0023290198,0.78744227,0.21255773
61,0.0022756502,0.7897179,0.21028209
62,0.0022455244,0.79196346,0.20803654
63,0.0022313718,0.7941948,0.20580518
64,0.0022142688,0.7964091,0.20359093
65,0.0021768431,0.7985859,0.20141411
66,0.002120249,0.80070615,0.19929385
67,0.0020982604,0.8028044,0.19719559
68,0.0020907037,0.8048951,0.1951049
69,0.002072898,0.806968,0.19303203
70,0.0020479544,0.8090159,0.19098407
71,0.0019592154,0.81097513,0.18902487
72,0.001949639,0.8129248,0.1870752
73,0.0019176471,0.81484246,0.18515754
74,0.0019031495,0.81674564,0.18325436
75,0.0018350082,0.8185806,0.18141937
76,0.0018014463,0.82038206,0.17961794
77,0.0017835498,0.8221656,0.17783439
78,0.0017622592,0.8239279,0.17607212
79,0.0017511649,0.82567906,0.17432094
80,0.0017056243,0.8273847,0.17261529
81,0.0016997803,0.8290845,0.17091548
82,0.0016842969,0.8307688,0.16923118
83,0.0016647805,0.8324336,0.16756642
