component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.04858556,0.04858556,0.95141447
2,0.031213274,0.07979883,0.9202012
3,0.027063712,0.106862545,0.89313745
4,0.020563927,0.12742648,0.8725735
5,0.019125776,0.14655225,0.85344774
6,0.017279798,0.16383205,0.83616793
7,0.016275816,0.18010786,0.81989217
8,0.015163812,0.19527167,0.8047283
9,0.0136297755,0.20890145,0.79109854
10,0.012853295,0.22175474,0.7782453
11,0.012311253,0.234066,0.765934
12,0.0122028375,0.24626884,0.75373113
13,0.011451126,0.25771996,0.74228
14,0.011183142,0.2689031,0.73109686
15,0.010132618,0.27903572,0.7209643
16,0.009281005,0.28831673,0.7116833
17,0.00911825,0.297435,0.702565
18,0.008966584,0.30640158,0.6935984
19,0.008619282,0.31502086,0.68497914
20,0.008333522,0.3233544,0.67664564
21,0.007917945,0.33127233,0.66872764
22,0.007874377,0.3391467,0.66085327
23,0.0075611994,0.3467079,0.65329206
24,0.007310062,0.35401797,0.645982
25,0.007020534,0.3610385,0.6389615
26,0.0068126163,0.3678511,0.63214886
27,0.0066806898,0.3745318,0.6254682
28,0.0065262346,0.38105804,0.61894196
29,0.006411145,0.38746917,0.6125308
30,0.0062335776,0.39370275,0.60629725
31,0.006133257,0.399836,0.600164
32,0.0060116136,0.4058476,0.5941524
33,0.005965691,0.4118133,0.58818674
34,0.0057104034,0.41752368,0.5824763
35,0.0054680803,0.42299175,0.57700825
36,0.00540827,0.4284,0.57159996
37,0.005375519,0.4337755,0.56622446
38,0.005310921,0.43908644,0.56091356
39,0.0052381526,0.44432458,0.5556754
40,0.0051452536,0.44946983,0.5505302
41,0.0050660516,0.45453587,0.54546416
42,0.0050179404,0.4595538,0.54044616
43,0.0049372544,0.46449107,0.53550893
44,0.004897432,0.4693885,0.5306115
45,0.004841158,0.47422966,0.5257703
46,0.0047906567,0.47902033,0.52097964
47,0.0047088545,0.48372918,0.5162708
48,0.004631713,0.48836088,0.5116391
49,0.0045618694,0.49292275,0.5070772
50,0.0045109764,0.49743372,0.5025663
51,0.0044632168,0.5018969,0.49810308
52,0.0043793824,0.5062763,0.4937237
53,0.0043268376,0.51060313,0.48939687
54,0.0042740586,0.5148772,0.4851228
55,0.004207352,0.5190846,0.48091543
56,0.004144036,0.5232286,0.4767714
57,0.004090771,0.5273194,0.47268063
58,0.0040545505,0.5313739,0.46862608
59,0.0040258733,0.5353998,0.4646002
60,0.0039958092,0.53939563,0.46060437
61,0.0039702374,0.5433659,0.4566341
62,0.0038971188,0.547263,0.45273697
63,0.0038319991,0.551095,0.448905
64,0.003789734,0.55488473,0.44511527
65,0.0037671272,0.55865186,0.44134814
66,0.0037004778,0.56235236,0.43764764
67,0.0036718824,0.56602424,0.43397576
68,0.0036425504,0.5696668,0.4303332
69,0.0036136021,0.5732804,0.4267196
70,0.0036019937,0.57688236,0.42311764
71,0.0035520163,0.5804344,0.41956562
72,0.0035141646,0.58394855,0.41605145
73,0.003467041,0.5874156,0.41258442
74,0.003461158,0.59087676,0.40912324
75,0.0034169315,0.5942937,0.4057063
76,0.0034035505,0.59769726,0.40230274
77,0.0033880933,0.60108536,0.39891464
78,0.003337991,0.60442334,0.39557666
79,0.0033033323,0.6077267,0.3922733
