component,explained_variance_ratio,cumulative_explained_variance,residual_variance
1,0.046824,0.046824,0.953176
2,0.029074175,0.07589818,0.9241018
3,0.024765417,0.100663595,0.8993364
4,0.020917583,0.12158118,0.8784188
5,0.019324379,0.14090556,0.85909444
6,0.017265122,0.15817069,0.8418293
7,0.015885223,0.1740559,0.82594407
8,0.014871127,0.18892702,0.81107295
9,0.013718841,0.20264587,0.7973541
10,0.0129982205,0.21564409,0.7843559
11,0.012694266,0.22833836,0.77166164
12,0.012214093,0.24055246,0.7594476
13,0.011479487,0.25203195,0.7479681
14,0.0112554515,0.2632874,0.7367126
15,0.010800162,0.27408755,0.72591245
16,0.010307875,0.28439543,0.71560454
17,0.009889742,0.29428518,0.7057148
18,0.009555825,0.303841,0.696159
19,0.009266471,0.31310746,0.6868925
20,0.009000908,0.32210836,0.6778916
21,0.008817725,0.3309261,0.66907394
22,0.0084025245,0.33932862,0.66067135
23,0.0081158485,0.34744447,0.6525555
24,0.007929053,0.35537353,0.6446265
25,0.0077920347,0.36316556,0.63683444
26,0.0076445574,0.37081012,0.62918985
27,0.0074426974,0.3782528,0.6217472
28,0.0072586644,0.38551146,0.61448854
29,0.0069751423,0.3924866,0.6075134
30,0.006947618,0.3994342,0.6005658
31,0.006852032,0.40628624,0.59371376
32,0.006664413,0.41295066,0.58704937
33,0.006473057,0.41942373,0.5805763
34,0.006461791,0.42588553,0.57411444
35,0.0063482407,0.43223378,0.5677662
36,0.0062455186,0.4384793,0.5615207
37,0.0061069187,0.44458622,0.5554138
38,0.00588799,0.4504742,0.5495258
39,0.0058146175,0.4562888,0.5437112
40,0.0057071433,0.46199596,0.53800404
41,0.0056625186,0.4676585,0.5323415
42,0.0055303024,0.4731888,0.52681124
43,0.0054446333,0.47863343,0.5213666
44,0.0054006767,0.48403412,0.5159659
45,0.005375378,0.4894095,0.5105905
46,0.0052942056,0.4947037,0.5052963
47,0.0052875914,0.4999913,0.5000087
48,0.005193677,0.50518495,0.49481505
49,0.005165374,0.51035035,0.48964965
50,0.0049809804,0.5153313,0.48466867
51,0.004972155,0.5203035,0.4796965
52,0.004907733,0.5252112,0.47478878
53,0.0048242877,0.5300355,0.4699645
54,0.0047678207,0.53480333,0.46519667
55,0.004728652,0.539532,0.460468
56,0.0046336404,0.5441657,0.45583433
57,0.0045764875,0.5487422,0.45125782
58,0.004552888,0.5532951,0.44670492
59,0.004530989,0.55782604,0.44217396
60,0.0044750064,0.56230104,0.43769896
61,0.004450451,0.5667515,0.43324852
62,0.004379047,0.5711305,0.4288695
63,0.004352643,0.57548314,0.42451686
64,0.004239856,0.579723,0.420277
65,0.0042158877,0.5839389,0.4160611
